,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_oracle,nn_pi_oracle,nn_wmse_oracle
1,11.90991738,11.8228642,11.2497491,12.60130049,11.33342718,11.32200388,11.78643883,11.74197615,-34.85723293
2,11.90991738,12.16188525,11.66976138,12.85165551,11.75578101,11.75376211,12.10745035,12.14232976,-2379.962258
3,11.90991738,11.56499517,11.02277096,12.20350415,11.19343261,11.18227737,11.56724809,11.59578581,159.7694206
4,11.90991738,11.81245491,11.17907891,12.44877689,11.30204078,11.30527785,11.80229393,11.77069228,-86.96462931
5,11.90991738,12.02394494,11.55701032,12.74088461,11.59776323,11.60614608,11.98133494,11.98894623,-393.5789354
6,11.90991738,12.01810729,11.47018795,12.66659989,11.5510193,11.53352624,11.91389841,12.01914779,-14.91204627
7,11.90991738,11.62879473,10.99131207,12.35386986,11.03279629,11.03181387,11.5323658,11.54602599,-1829.552094
8,11.90991738,11.60400362,11.09234328,12.24456005,11.23321313,11.23101416,11.54864305,11.58525113,-131.1550222
9,11.90991738,12.10597659,11.60049527,12.74649601,11.67752235,11.68350581,12.04435301,12.05815349,-529.0360648
10,11.90991738,12.10427684,11.60760445,12.77937356,11.71427871,11.70261214,12.07903879,12.00853284,30.66677425
11,11.90991738,11.76639434,11.23732864,12.51102636,11.3636349,11.36934168,11.70743743,11.71289482,-257.1208465
12,11.90991738,11.64785708,11.15308391,12.40957392,11.21058555,11.20365403,11.64557817,11.58498829,-161.6662204
13,11.90991738,11.52035733,10.94973707,12.20856815,11.07230389,11.06410618,11.51775861,11.51904541,145.6808872
14,11.90991738,11.84224691,11.28738307,12.51575071,11.38193319,11.35760889,11.75987953,11.80909504,-282.9356651
15,11.90991738,11.81886412,11.28154895,12.46468993,11.34569143,11.35613582,11.72875812,11.7489847,-3121.119952
16,11.90991738,11.89840572,11.38211003,12.62414413,11.48119802,11.47907222,11.81778553,11.82375091,-3105.797672
17,11.90991738,11.73727399,11.04717633,12.32041944,11.2032379,11.22211341,11.69407594,11.68931077,-87.06813199
18,11.90991738,11.91910205,11.35710434,12.50989818,11.47502061,11.47148769,11.86282958,11.89059183,-395.6308748
19,11.90991738,11.77186418,11.15529845,12.38285108,11.29924081,11.27160477,11.70263176,11.70205477,-1231.709373
20,11.90991738,11.89101572,11.32644344,12.50901608,11.4513706,11.43683035,11.84370662,11.88412747,-1221.147648
21,11.90991738,12.12642268,11.58712316,12.77510152,11.72044735,11.70333436,12.04429593,12.05767595,-566.3691853
22,11.90991738,11.75192349,11.2824931,12.44730024,11.3893028,11.37125075,11.75637945,11.661584,7.049773582
23,11.90991738,11.8749414,11.2950139,12.49911814,11.3979589,11.38931144,11.86004274,11.8418315,-1868.317027
24,11.90991738,12.00064054,11.57526878,12.67135082,11.63650373,11.60268953,12.00868461,12.04999029,1060.79145
