,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean,nn_deriv_imp_mean
1,62702.47745,62720.62835,46940.25663,43608.90654,49796.91032,51458.87205,47969.13661,51122.30121,53335.50819,52024.33023
2,62702.47745,62720.62835,46664.25001,43696.98882,49906.64197,51208.84242,50185.49772,52633.19609,50527.28456,51526.70645
3,62702.47745,62720.62835,47103.35109,43475.50745,50095.68898,52009.51443,49265.26227,55093.53385,52010.98624,52635.84231
4,62702.47745,62720.62835,46759.64064,43625.48556,49790.90022,49666.75115,51035.8759,51794.70223,50817.58514,51675.23322
5,62702.47745,62720.62835,46949.29818,43804.33252,50046.57978,51234.84412,50939.98645,52001.60137,53765.29723,52701.56765
1,62702.47745,62720.62835,46940.25663,43608.90654,49796.91032,53593.55557,51444.6796,51844.58581,51883.27782,51817.48976
2,62702.47745,62720.62835,46664.25001,43696.98882,49906.64197,52207.65597,50527.9791,52146.88908,51312.81664,51229.50046
3,62702.47745,62720.62835,47103.35109,43475.50745,50095.68898,51610.57704,51323.06561,52038.0503,50977.36208,52999.61027
4,62702.47745,62720.62835,46759.64064,43625.48556,49790.90022,48993.59698,51870.54342,51849.93114,52129.92591,50212.54582
5,62702.47745,62720.62835,46949.29818,43804.33252,50046.57978,51427.28217,51053.99106,52448.68215,51507.09704,50120.57747
6,62702.47745,62720.62835,47450.94582,44183.34696,50252.17059,50500.69168,50446.72443,53191.87527,51465.33503,51181.26346
7,62702.47745,62720.62835,47099.69361,43962.39459,50005.27454,51682.73675,50747.07733,51045.801,50587.70552,49720.69235
8,62702.47745,62720.62835,46808.33484,43799.00811,49443.55248,49234.49161,50068.21564,52081.17318,49572.18745,50602.29205
9,62702.47745,62720.62835,46115.64122,43361.78791,48990.30837,51265.46067,50490.7195,51986.81608,50216.17472,50066.12694
10,62702.47745,62720.62835,46557.89454,43637.87731,49430.54238,51923.17091,49740.25278,53793.01737,50537.21327,50735.28635
11,62702.47745,62720.62835,45939.21472,42955.33335,48670.70292,50548.65638,49069.93501,51769.90089,51241.16785,48738.38455
12,62702.47745,62720.62835,46560.09902,43666.45669,49307.983,50577.86206,50447.6349,52376.07124,50630.56885,49884.84878
13,62702.47745,62720.62835,46298.62494,43560.0887,49260.75412,50317.10458,51376.01891,51881.78237,50439.12354,51365.51443
14,62702.47745,62720.62835,46763.39455,43562.27867,49676.72038,52362.02771,50704.12036,52919.40685,52106.68192,50289.04595
15,62702.47745,62720.62835,46103.49938,43211.01548,49193.58995,52076.44344,50166.50907,51493.03587,49955.78191,49645.52581
