"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20151","02792065",6,0,"1","170","D","13","D",50,"D"
"20151","02792115",10,0,"1","150","D","12","D",100,"D"
"20151","02792115",11,0,"1","160","D","12","D",40,"D"
"20151","02792155",1,0,"1","160","D","12","D",500,"D"
"20151","02792225",1,0,"1","150","D","13","D",10,"D"
"20151","02792265",2,0,"1","150","D","13","D",5,"D"
"20151","02792295",5,0,"1","100","D","11","D",500,"D"
"20151","02792295",6,0,"1","170","D","01","D",2000,"D"
"20151","02792295",7,0,"1","150","D","01","D",1000,"D"
"20151","02792295",8,0,"2","170","D","11","D",500,"D"
"20151","02792385",2,0,"1","150","D","13","D",200,"D"
"20151","02792415",1,0,"1","170","D","12","D",300,"D"
"20151","02792435",1,0,"1","150","D","13","D",20,"D"
"20151","02792585",1,0,"1","150","D","13","D",200,"D"
"20151","02792595",6,0,"1","150","D","11","D",200,"D"
"20151","02792595",7,0,"1","150","D","12","D",500,"D"
"20151","02792595",8,0,"1","150","D","01","D",200,"D"
"20151","02792645",17,0,"1","170","D","11","D",50,"D"
"20151","02792645",18,0,"1","170","D","12","D",80,"D"
"20151","02792645",19,0,"1","160","D","01","D",20,"D"
"20151","02792645",20,0,"1","150","D","13","D",120,"D"
"20151","02792755",1,0,"1","170","D","12","D",60,"D"
"20151","02792805",2,0,"1","170","D","12","D",400,"D"
"20151","02792805",3,0,"1","140","D","01","D",25,"D"
"20151","02792805",4,0,"1","150","D","12","D",50,"D"
"20151","02792805",5,0,"2","170","D","11","D",50,"D"
"20151","02792815",18,0,"1","150","D","11","D",100,"D"
"20151","02792815",19,0,"1","150","D","12","D",80,"D"
"20151","02792815",20,0,"1","150","D","01","D",125,"D"
"20151","02792825",3,0,"1","150","D","12","D",500,"D"
"20151","02792955",3,0,"1","170","D","11","D",50,"D"
"20151","02792955",4,0,"1","170","D","12","D",175,"D"
"20151","02792955",5,0,"1","130","D","12","D",375,"D"
"20151","02792955",6,0,"1","150","D","12","D",50,"D"
"20151","02792955",7,0,"1","150","D","12","D",50,"D"
"20151","02792955",8,0,"1","160","D","12","D",25,"D"
"20151","02792955",9,0,"1","160","D","12","D",25,"D"
"20151","02792955",10,0,"1","160","D","12","D",25,"D"
"20151","02792955",11,0,"1","160","D","12","D",25,"D"
"20151","02792955",12,0,"1","160","D","12","D",25,"D"
"20151","02792955",13,0,"1","150","D","13","D",152,"D"
"20151","02792955",14,0,"2","150","D","11","D",50,"D"
"20151","02793235",16,0,"1","110","D","13","D",965,"D"
"20151","02793235",17,0,"1","150","D","13","D",600,"D"
"20151","02793245",6,0,"1","100","D","13","D",300,"D"
"20151","02793245",7,0,"2","100","D","11","D",300,"D"
"20151","02793255",9,0,"1","150","D","13","D",200,"D"
"20151","02793275",2,0,"1","100","D","13","D",200,"D"
"20151","02793275",3,0,"1","160","D","12","D",100,"D"
"20151","02793355",2,0,"1","170","D","12","D",100,"D"
"20151","02793355",3,0,"1","120","D","13","D",1670,"D"
"20151","02793525",1,0,"1","170","D","12","D",150,"D"
"20151","02793525",2,0,"1","170","D","11","D",150,"D"
"20151","02793525",3,0,"1","170","D","12","D",150,"D"
"20151","02793525",4,0,"1","170","D","01","D",150,"D"
"20151","02793795",3,0,"1","150","D","13","D",160,"D"
"20151","02793815",6,0,"1","170","D","12","D",50,"D"
"20151","02793815",7,0,"1","170","D","12","D",150,"D"
"20151","02793815",8,0,"1","170","D","12","D",50,"D"
"20151","02793855",4,0,"1","170","D","12","D",600,"D"
"20151","02793855",5,0,"1","160","D","11","D",120,"D"
"20151","02793855",6,0,"1","160","D","12","D",240,"D"
"20151","02793985",1,0,"1","160","D","01","D",135,"D"
"20151","02794015",13,0,"1","170","D","12","D",500,"D"
"20151","02794015",14,0,"1","150","D","13","D",600,"D"
"20151","02794015",15,0,"1","160","D","01","D",25,"D"
"20151","02794015",16,0,"2","160","D","11","D",25,"D"
"20151","02794075",1,0,"1","100","D","13","D",717,"F"
"20151","02794075",2,0,"1","170","D","12","D",476,"F"
"20151","02794095",6,0,"1","170","D","12","D",150,"D"
"20151","02794155",14,0,"1","170","D","12","D",450,"D"
"20151","02794155",15,0,"1","170","D","12","D",310,"D"
"20151","02794155",16,0,"1","160","D","13","D",450,"D"
"20151","02794165",11,0,"1","140","D","13","D",200,"D"
"20151","02794165",12,0,"1","150","D","13","D",753,"D"
"20151","02794165",13,0,"1","130","D","13","D",1469,"D"
"20151","02794175",1,0,"1","160","D","13","D",3,"D"
"20151","02794205",8,0,"1","160","D","12","D",80,"D"
"20151","02794315",16,0,"1","170","D","13","D",15,"D"
"20151","02794315",17,0,"1","130","D","12","D",350,"D"
"20151","02794315",18,0,"1","160","D","12","D",275,"D"
"20151","02794315",19,0,"1","160","D","11","D",300,"D"
"20151","02794315",20,0,"1","150","D","13","D",25,"D"
"20151","02794335",6,0,"1","170","D","12","D",100,"D"
"20151","02794335",7,0,"1","170","D","01","D",55,"D"
"20151","02794335",8,0,"1","130","D","01","D",50,"D"
"20151","02794335",9,0,"1","130","D","12","D",50,"D"
"20151","02794365",3,0,"1","160","D","12","D",50,"D"
"20151","02794365",4,0,"1","130","D","12","D",1000,"D"
"20151","02794405",5,0,"1","150","D","13","D",100,"D"
"20151","02794635",1,0,"1","150","D","13","D",900,"D"
"20151","02794755",3,0,"1","170","D","12","D",400,"D"
"20151","02794855",4,0,"1","150","D","13","D",350,"D"
"20151","02794855",5,0,"1","160","D","12","D",400,"D"
"20151","02794955",4,0,"1","160","D","13","D",50,"D"
"20151","02795165",17,0,"1","170","D","13","D",10,"D"
"20151","02795165",18,0,"1","170","D","13","D",35,"D"
"20151","02795165",19,0,"1","160","D","13","D",20,"D"
"20151","02795165",20,0,"1","160","D","12","D",20,"D"
"20151","02795165",21,0,"1","160","D","12","D",25,"D"
"20151","02795165",22,0,"1","160","D","12","D",15,"D"
"20151","02795165",23,0,"1","160","D","12","D",10,"D"
"20151","02795165",24,0,"1","150","D","01","D",225,"D"
"20151","02795165",25,0,"1","150","D","11","D",225,"D"
"20151","02795165",26,0,"1","150","D","12","D",250,"D"
"20151","02795195",1,0,"1","170","D","13","D",20,"D"
"20151","02795205",5,0,"1","160","D","12","D",150,"D"
"20151","02795205",6,0,"1","160","D","12","D",250,"D"
"20151","02795295",5,0,"1","170","D","12","D",1000,"D"
"20151","02795315",3,0,"1","130","D","13","D",2500,"D"
"20151","02795335",3,0,"1","170","D","12","D",700,"D"
"20151","02795365",3,0,"1","170","D","13","D",250,"D"
"20151","02795365",4,0,"1","150","D","13","D",20,"D"
"20151","02795465",10,0,"1","150","D","13","D",30,"D"
"20151","02795465",11,0,"1","160","D","11","D",50,"D"
"20151","02795515",6,0,"1","170","D","01","D",30,"D"
"20151","02795515",7,0,"1","150","D","11","D",699,"D"
"20151","02795515",8,0,"1","150","D","01","D",208,"D"
"20151","02795515",9,0,"1","150","D","12","D",200,"D"
"20151","02795695",3,0,"1","150","D","13","D",80,"D"
"20151","02796055",1,0,"1","150","D","13","D",250,"D"
"20151","02796085",6,0,"1","170","D","12","D",100,"D"
"20151","02796085",7,0,"1","150","D","12","D",60,"D"
"20151","02796085",8,0,"2","150","D","11","D",50,"D"
"20151","02796235",18,0,"1","170","D","12","D",1000,"D"
"20151","02796235",19,0,"1","170","D","01","D",100,"D"
"20151","02796245",15,0,"1","160","D","11","D",50,"D"
"20151","02796245",16,0,"1","150","D","13","D",400,"D"
"20151","02796265",2,0,"1","150","D","13","D",140,"D"
"20151","02796485",1,0,"1","150","D","13","D",161,"F"
