"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CRMCODEB","CRMC_DEB","CRMPROPI","CRMP_OPI","CRMTYPE","CRMTYPE_","APPCDE1","APPCDE1_","APPCDE2","APPCDE2_","APPCDE3","APPCDE3_","APPCDE4","APPCDE4_","APPCDE5","APPCDE5_","APPCDE6","APPCDE6_","REIMBRSZ","REIM_RSZ","CRMBSNSZ","CRMB_NSZ","QADEQPX1","QADE_PX1","QADEQPX2","QADE_PX2","QADEQPX3","QADE_PX3","QADEQPX4","QADE_PX4","QADEQPX5","QADE_PX5","QADEQPX6","QADE_PX6","QADPSP3X","QADP_P3X","QADPSP2X","QADP_P2X","QADPSPLX","QADP_PLX","QADRSP3X","QADR_P3X","QADRSP2X","QADR_P2X","QADRSPLX","QADR_PLX","CRMPTYPE","CRMP_YPE","CRMCODE","CRMCODE_","CRMCDB1","CRMCDB1_","CRMCDB2","CRMCDB2_","CRMCDB3","CRMCDB3_","CRMCDB4","CRMCDB4_","CRMCDB5","CRMCDB5_","CRMCDB6","CRMCDB6_","CRMCDB7","CRMCDB7_","CRMCDB8","CRMCDB8_","CRMCDB9","CRMCDB9_","CONTRACT","CONT_ACT","JLABOR1X","JLAB_R1X","JLABOR2X","JLAB_R2X","JLABOR3X","JLAB_R3X"
"20151","02792335",1,0,"1","235","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","409","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20151","02792525",11,0,"1","210","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","406","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",147,"D",0,"D",0,"D"
"20151","02792595",9,0,"1","130","D","01","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","218","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",5000,"D"
"20151","02792725",2,0,"1","175","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",100,"D",0,"D",.,"A",.,"A",.,"A","1","D","401","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20151","02792725",3,0,"1","160","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","499","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",500,"D",0,"D",0,"D"
"20151","02792885",6,0,"1","235","D","01","D","3","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","620","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",400,"D",0,"D",0,"D"
"20151","02792925",19,0,"1","200","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",0,"D",0,"D",.,"A",.,"A",.,"A","1","D","403","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
"20151","02792955",47,0,"2","200","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","403","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",0,"D",0,"D",182,"D"
"20151","02793155",6,0,"1","290","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D","499","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","2","D",5000,"D",0,"D",0,"D"
"20151","02793235",18,0,"1","175","D","01","D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",163,"D",0,"D",0,"D",.,"A",.,"A",.,"A","1","D","401","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D",.,"A",.,"A",.,"A"
