"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20151","02792815",29,0,"1",.,"A",6,"D"
"20151","02798695",6,0,"1",.,"A",300,"D"
"20151","02804575",9,0,"1",.,"A",260,"D"
"20151","02813465",17,0,"1",.,"A",300,"D"
"20151","02813745",12,0,"1",306,"D",.,"A"
"20151","02813975",6,0,"1",.,"A",0,"D"
"20151","02838384",10,0,"1",111,"D",.,"A"
"20151","02841934",4,0,"1",0,"D",.,"A"
"20151","02843944",26,0,"1",.,"A",10,"D"
"20151","02925613",4,0,"1",.,"A",250,"D"
"20151","02926743",5,0,"1",.,"A",40,"D"
"20151","02933733",10,0,"1",.,"A",300,"D"
"20151","02945863",3,0,"1",.,"A",291,"D"
"20151","02949923",17,0,"1",.,"A",90,"D"
"20151","02950603",29,0,"1",.,"A",30,"D"
"20151","02992612",8,0,"1",1200,"D",.,"A"
"20151","02998682",5,0,"1",.,"A",0,"D"
"20151","03001032",17,0,"1",.,"A",800,"D"
"20151","03007955",1,0,"1",215,"D",.,"A"
"20151","03009932",6,0,"1",2800,"D",.,"A"
"20151","03010232",4,0,"1",.,"A",100,"D"
"20151","03045724",2,0,"1",260,"D",.,"A"
"20151","03047004",10,0,"1",0,"D",.,"A"
"20151","03049621",6,0,"1",.,"A",0,"D"
"20151","03052944",1,0,"1",.,"A",.,"A"
"20151","03062961",8,0,"1",.,"A",0,"D"
"20151","03064244",6,0,"1",.,"A",0,"D"
"20151","03065831",12,0,"1",320,"D",.,"A"
"20151","03067041",18,0,"1",.,"A",52,"D"
"20151","03075271",6,0,"1",.,"A",12,"D"
"20151","03075934",9,0,"1",.,"A",5000,"D"
"20151","03076302",7,0,"1",307,"D",.,"A"
"20151","03079113",10,0,"1",.,"A",20,"D"
"20151","03080002",1,0,"1",.,"A",.,"A"
"20151","03082361",8,0,"1",.,"A",300,"D"
"20151","03083131",1,0,"1",.,"A",.,"A"
"20152","02819395",7,0,"1",.,"A",0,"D"
"20152","02868065",6,0,"1",.,"A",0,"D"
"20152","02903224",10,0,"1",900,"D",.,"A"
"20152","02904714",4,0,"1",410,"D",.,"A"
"20152","02904814",11,0,"1",.,"A",140,"D"
"20152","02908324",13,0,"1",140,"D",.,"A"
"20152","02908924",18,0,"1",34,"D",.,"A"
"20152","02926664",8,0,"1",.,"A",54,"D"
"20152","02930814",3,0,"1",.,"A",35,"D"
"20152","02967233",6,0,"1",.,"A",750,"D"
"20152","02969973",9,0,"1",.,"A",95,"D"
"20152","02971213",9,0,"1",.,"A",20,"D"
"20152","02992913",1,0,"1",.,"A",.,"A"
"20152","02993473",16,0,"1",.,"A",250,"D"
"20152","02995453",15,0,"1",.,"A",60,"D"
"20152","03000683",1,0,"1",.,"A",.,"A"
"20152","03001033",15,0,"1",.,"A",900,"D"
"20152","03001493",11,0,"1",.,"A",3,"D"
"20152","03010743",33,0,"1",0,"D",.,"A"
"20152","03045725",5,0,"1",540,"D",.,"A"
"20152","03048684",1,0,"1",180,"D",.,"A"
"20152","03049244",3,0,"1",.,"A",40,"D"
"20152","03057494",1,0,"1",.,"A",.,"A"
"20152","03058142",12,0,"1",.,"A",621,"D"
"20152","03058334",8,0,"1",.,"A",20,"D"
"20152","03060884",2,0,"1",0,"D",.,"A"
"20152","03060932",2,0,"1",.,"A",0,"D"
"20152","03062252",19,0,"1",1400,"D",.,"A"
"20152","03062572",18,0,"1",.,"A",0,"D"
"20152","03067513",17,0,"1",.,"A",100,"D"
"20152","03084122",1,0,"1",.,"A",50,"D"
"20152","03084603",1,0,"1",.,"A",.,"A"
"20152","03085784",11,0,"1",.,"A",370,"D"
"20152","03085874",1,0,"1",.,"A",.,"A"
"20152","03087474",12,0,"1",.,"A",0,"D"
"20152","03088654",5,0,"1",.,"A",0,"D"
"20152","03088882",7,0,"1",.,"A",600,"D"
"20152","03088943",2,0,"1",3258,"D",.,"A"
"20152","03090993",11,0,"1",.,"A",75,"D"
"20152","03092113",3,0,"1",0,"D",.,"A"
"20152","03093911",4,0,"1",176,"D",.,"A"
"20152","03096041",11,0,"1",1990,"D",.,"A"
"20152","03096601",6,0,"1",.,"A",60,"D"
"20152","03099123",5,0,"1",.,"A",150,"D"
"20152","03100443",9,0,"1",.,"A",90,"D"
"20152","03102163",9,0,"1",1200,"D",.,"A"
"20152","03102282",13,0,"1",.,"A",400,"D"
"20152","03102433",4,0,"1",0,"D",.,"A"
"20152","03104131",8,0,"1",.,"A",40,"D"
"20152","03105402",11,0,"1",.,"A",0,"D"
"20152","03105513",4,0,"1",240,"D",.,"A"
"20152","03105982",10,0,"1",400,"D",.,"A"
"20152","03107771",9,0,"1",.,"A",60,"D"
"20152","03143061",21,0,"1",.,"A",210,"D"
"20152","03143531",20,0,"1",.,"A",51,"D"
"20152","03146341",17,0,"1",.,"A",275,"D"
"20152","03146841",12,0,"1",.,"A",0,"D"
"20152","03146981",1,0,"1",.,"A",.,"A"
"20152","03147211",12,0,"1",200,"D",.,"A"
"20152","03149161",17,0,"1",.,"A",100,"D"
"20152","03151001",1,0,"1",.,"A",.,"A"
"20152","03151581",3,0,"1",.,"A",0,"D"
"20152","03152211",2,0,"1",240,"D",.,"A"
"20152","03152401",14,0,"1",.,"A",30,"D"
"20152","03152594",1,0,"1",.,"A",.,"A"
"20152","03164291",1,0,"1",.,"A",.,"A"
"20152","03164711",4,0,"1",.,"A",175,"D"
"20152","03165461",11,0,"1",474,"D",.,"A"
