"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20151","02793515",27,0,"5","01","D","100","D",0.06,"D",16590,"D",15,"D",140,"D",,"A",,"A",,"A",,"A",0,"D",74,"D",74,"D",75,"D",66,"D",66,"D",65,"D",,"A","07","D","2010","D","1","D",,"A",13212,"D",13138,"D",13063,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02796055",14,0,"5","01","D","100","D",0.0859,"F",6427,"F",10,"F",80,"F",,"C",,"C",,"C",,"C",0,"F",34,"F",35,"F",35,"F",46,"F",45,"F",45,"F",,"A","10","F","2014","F","1","F",,"A",6359,"F",6324,"F",6290,"F","01","D","1","D",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20151","02796765",35,0,"5","01","D","100","D",0.0859,"D",10000,"D",10,"D",125,"D",,"B",,"B",,"B",,"B",1,"D",102,"D",102,"D",103,"D",22,"D",22,"D",21,"D",,"A","02","D","2007","D","1","D",,"A",3107,"D",3006,"D",2903,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02797585",19,0,"5","01","D","100","D",0.05,"F",25000,"F",15,"F",294,"F","3","F","4","F",,"A",,"A",96,"F",158,"F",159,"F",160,"F",40,"F",39,"F",38,"F",,"A","06","F","2004","F","1","F",,"A",9492,"F",9334,"F",9175,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02799785",18,0,"5","01","D","100","D",0.0859,"D",14343,"D",15,"D",142,"D",,"A",,"A",,"A",,"A",0,"D",57,"D",58,"D",58,"D",85,"D",84,"D",84,"D",,"A","06","D","2010","D","1","D",,"A",11819,"D",11762,"D",11704,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02799835",32,0,"5","01","D","100","D",0.0859,"F",74435,"F",12,"F",830,"F",,"A",,"A",,"A",,"A",0,"F",331,"F",333,"F",335,"F",499,"F",497,"F",495,"F",,"A","09","F","2013","F","1","F",,"A",69747,"F",69416,"F",69083,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02801015",21,0,"5","01","D","100","D",0.055,"D",148000,"D",15,"D",1458,"D","3","D","4","D",,"A",,"A",249,"D",548,"D",550,"D",553,"D",661,"D",659,"D",656,"D",,"A","04","D","2014","D","1","D",,"A",139206,"T",138128,"T",163675,"T","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02802195",35,0,"5","01","D","100","D",0.0859,"D",4524,"D",3,"D",143,"D",,"A",,"A",,"A",,"A",0,"D",114,"D",115,"D",115,"D",29,"D",28,"D",28,"D",,"A","07","D","2014","D","1","D",,"A",4077,"D",3963,"D",3848,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02803665",34,0,"5","01","D","100","D",0.0859,"D",41615,"D",15,"D",412,"D",,"A",,"A",,"A",,"A",0,"D",132,"D",133,"D",133,"D",280,"D",279,"D",279,"D",,"A","04","D","2013","D","1","D",,"A",39171,"D",39039,"D",38907,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02805385",30,0,"5","01","D","100","D",0.0859,"F",74435,"F",12,"F",830,"F",,"A",,"A",,"A",,"A",0,"F",331,"F",333,"F",335,"F",499,"F",497,"F",495,"F",,"A","09","F","2013","F","1","F",,"A",69747,"F",69416,"F",69083,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
