"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20151","02792125",8,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20151","02792155",4,0,1,"D","12","D","2005","D","1","D","1","D",75,"F",75,"F",75,"F",75,"F","1","D",.,"A"
"20151","02792225",6,0,1,"D","01","D","2009","D","1","D","1","D",15,"D",15,"D",15,"D",15,"D","1","D",.,"A"
"20151","02792805",13,0,1,"D","12","D","2005","D","2","D","1","D",133,"D",133,"D",133,"D",67,"D","2","D",67,"D"
"20151","02792805",14,0,2,"D","12","D","2005","D","2","D","1","D",133,"D",133,"D",133,"D",67,"D","2","D",67,"D"
"20151","02793985",11,0,2,"D","05","D","2014","D","1","D","1","D",21,"F",21,"F",21,"F",21,"F","1","D",.,"A"
"20151","02794175",6,0,1,"D","12","D","2005","D","1","D","1","D",120,"D",120,"D",120,"D",120,"D","1","D",.,"A"
"20151","02794825",4,0,1,"D","12","D","2005","D","1","D","1","D",75,"F",75,"F",75,"F",75,"F",,"C",.,"A"
"20151","02794955",9,0,1,"D","01","D","2006","D","1","D",,"A",27,"F",27,"F",27,"F",27,"F",,"A",.,"A"
"20151","02794955",10,0,2,"D","08","D","2006","D","1","D",,"A",31,"F",31,"F",31,"F",31,"F",,"A",.,"A"
"20151","02796105",6,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20151","02796255",8,0,1,"D","01","D","2015","D","2","D",,"A",0,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20151","02796255",9,0,2,"D","12","D","2005","D","2","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20151","02796255",10,0,3,"D","03","D","2006","D","2","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20151","02796275",6,0,1,"D","04","D","2014","D","1","D","1","D",19,"D",19,"D",19,"D",19,"D","1","D",.,"A"
"20151","02796275",7,0,2,"D","04","D","2014","D","1","D","1","D",19,"D",19,"D",19,"D",19,"D","1","D",.,"A"
"20151","02796485",6,0,1,"D","03","D","2014","D","1","D","1","D",90,"F",90,"F",90,"F",90,"F","1","D",.,"A"
"20151","02796485",7,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
