"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20151","02794715",10,0,"5","01","D","105","D","2009","D",.,"A",60,"D","01","D",100,"D","3","D",.,"A",2000,"D",2000,"D",.,"A",,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","GMCAO","D",,"A","2014","D"
"20151","02794755",14,0,"5","01","D","105","D","2013","D",.,"A",60,"D","04","D",427,"D","3","D",.,"A",2000,"D",.,"A",.,"A",,"A",427,"D",427,"D",427,"D",.,"A",.,"A",.,"A",.,"A",.,"A","DODAC","D",,"A","2013","D"
"20151","02795205",43,0,"5","01","D","105","D","2013","D",.,"A",36,"D","09","D",386,"D","3","D",.,"A",3000,"D",.,"A",.,"A",,"A",386,"D",386,"D",386,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAM","D",,"A","2012","D"
"20151","02796605",17,0,"5","01","D","105","D","2014","D",.,"A",36,"D","11","D",250,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBT","D",,"A","2014","D"
"20151","02796885",25,0,"5","01","D","105","D","2014","D",.,"A",36,"D","11","D",300,"D","3","D",.,"A",.,"A",4573,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",4573,"D",.,"A","FORBC","D",,"A","2014","D"
"20151","02798805",20,0,"5","01","D","105","D","2014","D",.,"A",27,"D","03","D",500,"D","3","D",500,"D",.,"A",.,"A",.,"A",,"A",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAB","D",,"A","2014","D"
"20151","02799985",18,0,"1","01","D","105","D","2013","D",.,"A",36,"D","08","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",500,"F",500,"F",500,"F",.,"A",.,"A",.,"A",.,"A",.,"A","NISAN","D",,"A","2013","D"
"20151","02800145",22,0,"5","01","D","105","D","2015","D",.,"A",36,"D","12","D",450,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",.,"A",450,"D",450,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","MRBAC","D",,"A","2014","D"
"20151","02800595",11,0,"5","01","D","105","D","2014","D",.,"A",27,"D","05","D",455,"D","3","D",.,"A",.,"A",4800,"D",.,"A",,"A",455,"D",455,"D",455,"D",.,"A",.,"A",.,"A",4800,"D",.,"A","LEXAG","D",,"A","2014","D"
"20151","02800595",12,0,"1","02","D","105","D","2014","D",.,"A",27,"D","05","D",455,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",455,"D",455,"D",455,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAG","D",,"A","2014","D"
