"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20151","02792005",9,0,"5","01","D","100","D",0.0784,"D",60495,"D",20,"D",500,"D",,"A",,"A",,"A",,"A",0,"D",299,"D",301,"D",303,"D",201,"D",199,"D",197,"D",,"A","06","D","2001","D","1","D",,"A",30778,"D",30479,"D",30178,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792095",9,0,"5","01","D","100","D",0.0425,"D",106000,"D",30,"D",884,"D","3","D","4","D","5","D",,"A",363,"D",165,"D",166,"D",167,"D",356,"D",355,"D",354,"D",,"A","11","D","2011","D","1","D",,"A",100421,"D",100255,"D",100089,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792335",11,0,"5","01","D","100","D",0.07,"D",94157,"D",20,"D",730,"D",,"A",,"A",,"A",,"A",0,"D",183,"D",184,"D",185,"D",547,"D",546,"D",545,"D",,"A","09","D","2014","D","1","D",,"A",93794,"D",93612,"D",93428,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792435",12,0,"5","01","D","100","D",0.0784,"D",106554,"D",30,"D",1100,"D","3","D","4","D",,"A",,"A",330,"D",362,"D",364,"D",366,"D",408,"D",406,"D",404,"D",,"A","07","D","1994","D","1","D",,"A",62488,"D",62126,"D",61762,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792525",47,0,"5","01","D","100","D",0.0784,"D",387467,"D",30,"D",2800,"D",,"A",,"A",,"A",,"A",0,"D",351,"D",353,"D",355,"D",2449,"D",2447,"D",2445,"D",,"A","06","D","2011","D","1","D",,"A",374888,"D",374537,"D",374184,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792605",9,0,"5","01","D","100","D",0.0725,"D",86000,"D",30,"D",780,"D","3","D","4","D","5","D",,"A",193,"D",347,"D",349,"D",351,"D",240,"D",238,"D",236,"D",,"A","03","D","1992","D","1","D",,"A",39727,"D",39380,"D",39031,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792645",50,0,"5","01","D","100","D",0.0784,"D",110000,"D",15,"D",1241,"D",,"B",,"B",,"B",,"B",200,"D",372,"D",374,"D",377,"D",669,"D",667,"D",664,"D",,"A","01","D","2013","D","1","D",,"A",102400,"D",102028,"D",101654,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792825",38,0,"5","01","D","100","D",0.0784,"D",350000,"D",30,"D",2529,"D",,"A",,"A",,"A",,"A",0,"D",157,"D",158,"D",159,"D",1243,"D",1242,"D",1241,"D",,"A","11","D","2012","D","2","D",,"A",343719,"D",343435,"D",343150,"D","01","D","1","D",,"A",,"A",1400,"D",1400,"D",1400,"D","1","D","2","D"
"20151","02792885",21,0,"5","01","D","100","D",0.06,"D",170000,"D",30,"D",1570,"D",,"B",,"B",,"B",,"B",551,"D",300,"D",301,"D",303,"D",719,"D",718,"D",716,"D",,"A","04","D","2005","D","1","D",,"A",143819,"D",143519,"D",143218,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20151","02792925",48,0,"1","01","D","100","D",0.0435,"D",199000,"D",30,"D",1200,"D",,"B",,"B",,"B",,"B",209,"D",270,"D",271,"D",272,"D",721,"D",720,"D",719,"D",,"A","11","D","2014","D","1","D",,"A",199000,"D",198730,"D",198460,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
