"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20151","02800595",20,0,"1","01","D","300","D","2","D",.,"A",.,"A","01","D","2015","D"
"20151","02800595",21,0,"1","02","D","300","D","2","D",.,"A",.,"A","01","D","2015","D"
"20151","02842284",49,0,"1","01","D","300","D","1","D",124000,"D",2500,"F","11","D","2014","D"
"20151","02869284",18,0,"1","02","D","200","D","1","D",8500,"D",0,"D","01","D","2015","D"
"20151","02878544",12,0,"1","01","D","300","D","3","D",.,"A",.,"A","12","D","2014","D"
"20151","02930763",27,0,"1","03","D","300","D","1","D",257500,"T",0,"D","12","D","2014","D"
"20151","02932805",13,0,"1","01","D","200","D","1","D",150000,"D",9795,"D","12","D","2014","D"
"20151","02947543",57,0,"1","09","D","300","D","3","D",.,"A",.,"A","12","D","2014","D"
"20151","02952425",47,0,"2","01","D","200","D","1","D",418000,"D",44000,"D","12","D","2014","D"
"20151","02992082",53,0,"1","02","D","300","D","3","D",.,"A",.,"A","01","D","2015","D"
"20151","03008392",48,0,"1","02","D","300","D","1","D",257500,"T",2500,"F","12","D","2014","D"
"20151","03009385",26,0,"1","02","D","300","D","1","D",59500,"D",0,"D","01","D","2015","D"
"20151","03010502",11,0,"1","01","D","300","D","3","D",.,"A",.,"A","01","D","2015","D"
"20151","03046635",34,0,"1","02","D","200","D","1","D",250000,"D",0,"D","01","D","2015","D"
"20151","03051411",22,0,"1","02","D","300","D","1","D",92000,"D",2500,"D","12","D","2014","D"
"20151","03060274",25,0,"1","03","D","300","D","3","D",.,"A",.,"A","12","D","2014","D"
"20151","03075934",20,0,"1","02","D","200","D","3","D",.,"A",.,"A","12","D","2014","D"
"20152","02824395",17,0,"1","01","D","300","D","2","D",.,"A",.,"A","01","D","2015","D"
"20152","02975863",37,0,"1","02","D","200","D","1","D",115000,"D",500,"F","03","D","2015","D"
"20152","03056033",28,0,"1","02","D","300","D","1","D",137000,"F",4100,"F","03","D","2015","D"
"20152","03069652",27,0,"1","02","D","300","D","1","D",84000,"F",8500,"D","03","D","2015","D"
"20152","03073663",40,0,"1","02","D","400","D","3","D",.,"A",.,"A","04","D","2015","D"
"20152","03081014",11,0,"1","02","D","200","D","2","D",.,"A",.,"A","04","D","2015","D"
"20152","03094082",24,0,"1","02","D","300","D","1","D",137000,"D",4100,"D","03","D","2015","D"
"20152","03094082",25,0,"1","04","D","300","D","1","D",137000,"D",4100,"D","03","D","2015","D"
"20152","03101674",19,0,"1","02","D","200","D","1","D",56000,"D",500,"D","01","D","2015","D"
"20152","03142301",29,0,"1","02","D","200","D","1","D",217000,"D",5000,"D","02","D","2015","D"
"20152","03152001",12,0,"1","04","D","400","D","1","D",40000,"D",600,"D","03","D","2015","D"
"20152","03172275",22,0,"1","01","D","200","D","1","D",601000,"T",5000,"D","04","D","2015","D"
"20152","03172991",20,0,"1","02","D","200","D","1","D",180000,"D",0,"D","05","D","2015","D"
"20152","03173584",11,0,"1","02","D","200","D","1","D",601000,"V",5000,"F","05","D","2015","D"
"20153","02905495",29,0,"1","02","D","200","D","1","D",203000,"D",15300,"D","04","D","2015","D"
"20153","02948755",40,0,"1","04","D","200","D","1","D",115000,"D",1800,"D","07","D","2015","D"
"20153","03004034",50,0,"1","02","D","200","D","1","D",201000,"D",14000,"D","06","D","2015","D"
"20153","03050354",29,0,"1","02","D","300","D","1","D",.,"A",.,"A","06","D","2015","D"
"20153","03055144",34,0,"2","01","D","200","D","1","D",205000,"D",15000,"D","05","D","2015","D"
"20153","03065524",15,0,"1","02","D","300","D","1","D",.,"A",.,"A","07","D","2015","D"
"20153","03068543",25,0,"1","02","D","300","D","2","D",.,"A",.,"A","06","D","2014","D"
"20153","03079573",49,0,"1","04","D","400","D","2","D",.,"A",.,"A","06","D","2015","D"
"20153","03092733",13,0,"1","01","D","200","D","2","D",.,"A",.,"A","06","D","2015","D"
"20153","03099354",12,0,"2","01","D","200","D","1","D",172800,"D",10000,"D","04","D","2015","D"
"20153","03099782",24,0,"1","02","D","400","D","2","D",.,"A",.,"A","06","D","2014","D"
"20153","03100094",14,0,"1","03","D","400","D","3","D",.,"A",.,"A","06","D","2015","D"
