"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20151","02792725",14,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",40000,"D"
"20151","02793855",35,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20151","02795865",16,0,"5","01","D","100","D","2","D",0.0475,"D",416,"F",2084,"F","01","D",35000,"F"
"20151","02796245",58,0,"5","01","D","100","D","1","D",0.0475,"D",669,"D",631,"D","01","D",56340,"D"
"20151","02797405",41,0,"5","01","D","100","D","1","D",0.0475,"D",808,"D",-58,"D","01","D",68000,"D"
"20151","02797405",42,0,"5","02","D","300","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20151","02799495",32,0,"5","01","D","100","D","1","D",0.0475,"D",926,"F",2674,"F","01","D",78000,"F"
"20151","02800175",63,0,"5","01","D","100","D","1","D",0.0475,"D",208,"D",2292,"D","01","D",17541,"D"
"20151","02800175",64,0,"5","01","D","100","D","1","D",0.0475,"D",220,"D",2780,"D","01","D",18497,"D"
"20151","02800175",65,0,"5","01","D","100","D","1","D",0.0475,"D",253,"D",2747,"D","01","D",21299,"D"
"20151","02800175",66,0,"5","01","D","100","D","1","D",0.0475,"D",297,"D",1803,"D","01","D",25000,"D"
"20151","02800175",67,0,"5","02","D","300","D","1","D",0.0475,"D",1175,"D",625,"D","01","D",98916,"D"
"20151","02800175",68,0,"5","02","D","300","D","1","D",0.0475,"D",120,"D",380,"D","01","D",10140,"D"
"20151","02800175",69,0,"5","02","D","300","D","1","D",0.0475,"D",95,"D",705,"D","02","D",8000,"D"
"20151","02800485",23,0,"5","01","D","100","D","1","D",0.0475,"D",1176,"D",1524,"D","01","D",99000,"D"
"20151","02801185",18,0,"5","01","D","100","D",,"C",0.0475,"D",380,"F",520,"F","01","D",32000,"F"
"20151","02801765",65,0,"5","01","D","100","D","1","D",0.0475,"D",570,"D",493,"D","01","D",48000,"D"
"20151","02801925",86,0,"5","01","D","100","D","2","D",0.0475,"D",570,"F",493,"F","01","D",48000,"F"
"20151","02805045",21,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",20000,"D"
"20151","02806195",27,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",363919,"T"
"20151","02806355",37,0,"5","01","D","100","D","1","D",0.0475,"D",57,"D",1143,"D","01","D",4800,"D"
"20151","02806925",32,0,"5","01","D","100","D","1","D",0.0475,"D",266,"D",242,"D","01","D",22386,"D"
"20151","02807615",21,0,"5","01","D","100","D","1","D",0.0475,"D",143,"F",424,"F","01","D",12000,"F"
"20151","02807645",29,0,"5","01","D","100","D","1","D",0.0475,"D",1051,"D",-121,"D","01","D",88500,"D"
"20151","02807645",30,0,"5","02","D","300","D","1","D",0.0475,"D",.,"A",.,"A","01","D",.,"A"
"20151","02808175",35,0,"5","01","D","100","D","1","D",0.0475,"D",208,"D",1304,"D","01","D",17500,"D"
"20151","02808255",19,0,"5","01","D","100","D","1","D",0.0475,"D",333,"D",1767,"D","01","D",28000,"D"
"20151","02810945",46,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20151","02811415",34,0,"5","01","D","100","D","1","D",0.0475,"D",855,"D",3545,"D","01","D",72000,"D"
"20151","02812245",33,0,"5","01","D","100","D","1","D",0.0475,"D",588,"D",282,"D","01","D",49500,"D"
"20151","02812945",49,0,"5","02","D","300","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20151","02813605",36,0,"5","01","D","100","D","1","D",0.0475,"D",171,"D",1029,"D","01","D",14400,"D"
"20151","02813775",43,0,"5","01","D","100","D","1","D",0.0475,"D",475,"D",19388,"T","01","D",40000,"D"
"20151","02838324",25,0,"5","01","D","100","D","1","D",0.0475,"D",416,"D",484,"D","01","D",35000,"D"
"20151","02838544",37,0,"5","01","D","100","D","1","D",0.0475,"D",83,"D",517,"D","01","D",7000,"D"
"20151","02838634",42,0,"5","01","D","100","D","1","D",0.0475,"D",662,"D",2338,"D","01","D",55774,"D"
"20151","02841094",49,0,"5","01","D","100","D","1","D",0.0475,"D",123,"D",627,"D","01","D",10376,"D"
"20151","02841124",17,0,"5","01","D","100","D","1","D",0.0475,"D",273,"D",267,"D","01","D",23000,"D"
"20151","02841704",16,0,"5","01","D","100","D","1","D",0.0475,"D",46,"D",254,"D","01","D",3900,"D"
"20151","02842734",16,0,"5","01","D","100","D","1","D",0.0475,"D",229,"D",221,"D","01","D",19250,"D"
"20151","02843464",36,0,"5","01","D","100","D","1","D",0.0475,"D",48,"D",1152,"D","01","D",4000,"D"
"20151","02843944",71,0,"5","01","D","100","D","1","D",0.0475,"D",265,"D",35,"D","01","D",22296,"D"
"20151","02844134",24,0,"1","01","D","100","D","1","D",0.0475,"D",297,"D",303,"D","01","D",25000,"D"
"20151","02845044",22,0,"5","01","D","100","D","1","D",0.0475,"D",279,"D",21,"D","01","D",23500,"D"
"20151","02845134",67,0,"5","01","D","100","D","1","D",0.0475,"D",5915,"D",-5949,"T","01","D",363919,"T"
"20151","02846264",61,0,"5","01","D","100","D","1","D",0.0475,"D",511,"D",3089,"D","01","D",42997,"D"
"20151","02846264",62,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","02","D",0,"D"
"20151","02846794",17,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20151","02846904",30,0,"5","01","D","100","D","1","D",0.0475,"D",523,"D",1457,"D","01","D",44000,"D"
"20151","02847134",76,0,"5","01","D","100","D","1","D",0.0475,"D",828,"D",-424,"D","01","D",69735,"D"
