"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20151","02792645",69,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02792645",70,0,"1","110","D","4","D","11","D",.,"A",6900,"D",.,"A","2","D",.,"A","02","D"
"20151","02793345",27,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02793585",26,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02793805",18,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02793985",35,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02796885",54,0,"1","100","D","1","D","12","D",12500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02797405",56,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02797585",25,0,"1","100","D","1","D","01","D",1500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02797915",25,0,"1","100","D","1","D","11","D",300,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02797995",12,0,"1","110","D","1","D","11","D",300,"F",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02798065",19,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02798075",75,0,"1","100","D","1","D","11","D",11500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02798075",76,0,"1","110","D","1","D","11","D",7700,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02798075",77,0,"1","140","D","1","D","01","D",29000,"D",.,"A",.,"A","2","D",.,"A","05","D"
"20151","02798985",22,0,"2","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20151","02798985",23,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02799985",27,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02800555",25,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02802345",23,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02802345",24,0,"1","120","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02803065",14,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02803415",43,0,"2","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02803545",11,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02804955",29,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02805815",11,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02805945",35,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02806385",15,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02807165",15,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02807815",47,0,"1","100","D","1","D","12","D",16500,"D",.,"A",.,"A","1","D",16500,"D","02","D"
"20151","02807855",21,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02807855",22,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",27000,"D","02","D"
"20151","02809005",51,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02809005",52,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02809375",45,0,"2","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02810005",41,0,"1","100","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02810515",16,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02811295",54,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",17000,"D","03","D"
"20151","02811555",32,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02811905",21,0,"1","100","D","1","D","01","D",250,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02812385",42,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02813895",26,0,"1","100","D","4","D","01","D",.,"A",6554,"D",.,"A","1","D",6554,"D","01","D"
"20151","02836634",30,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",11000,"D","01","D"
"20151","02837004",14,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02837244",24,0,"2","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02837524",32,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02837704",27,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02837934",37,0,"2","200","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02839524",32,0,"2","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02841804",19,0,"2","100","D","4","D","11","D",.,"A",3800,"D",.,"A","2","D",.,"A","02","D"
"20151","02844074",14,0,"1","100","D","1","D","12","D",1500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02844574",45,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02845424",22,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02846084",41,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02846174",25,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02846254",21,0,"1","100","D","1","D","11","D",8000,"F",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02867574",46,0,"1","110","D","1","D","02","D",1200,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02867784",13,0,"1","110","D","1","D","02","D",300,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02868514",27,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02868794",31,0,"1","100","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02868864",34,0,"2","110","D","3","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20151","02868944",27,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02869814",26,0,"1","100","D","1","D","12","D",26000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02871234",19,0,"1","100","D","1","D","12","D",10000,"F",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02872024",13,0,"1","110","D","1","D","12","D",11500,"F",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02873464",23,0,"1","110","D","4","D","02","D",.,"A",4752,"F",.,"A","2","D",.,"A","02","D"
"20151","02873584",39,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",6000,"D","02","D"
"20151","02873614",33,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02874704",51,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02875324",22,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02877044",56,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02878544",21,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02922513",58,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02922633",49,0,"2","100","D","4","D","11","D",.,"A",250,"D",.,"A","2","D",.,"A","03","D"
"20151","02922763",50,0,"2","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02923143",15,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02923843",41,0,"2","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02925023",28,0,"1","200","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02925653",26,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02926083",10,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A",,"C",.,"A","01","D"
"20151","02926653",29,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02927043",36,0,"1","200","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02927133",44,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02927223",40,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02927573",29,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02927913",60,0,"2","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20151","02928753",19,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02928903",62,0,"1","160","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20151","02929403",33,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02929743",17,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02929843",39,0,"1","130","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02930243",38,0,"1","160","D","4","D","12","D",.,"A",8200,"D",.,"A","2","D",.,"A","03","D"
"20151","02932693",32,0,"1","110","D","1","D","12","D",300,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20151","02932693",33,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20151","02932693",34,0,"1","150","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20151","02932693",35,0,"1","170","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
