"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20151","02795515",26,0,"1","105","D",.,"A",550,"D","1","D"
"20151","02797405",57,0,"1","105","D",.,"A",700,"D","1","D"
"20151","02801575",43,0,"1","105","D",.,"A",205,"F","1","D"
"20151","02801575",44,0,"1","105","D",.,"A",205,"F","1","D"
"20151","02805645",35,0,"1","180","D",.,"A",150,"D","2","D"
"20151","02808615",26,0,"1","105","D",.,"A",86,"D","1","D"
"20151","02809575",21,0,"1","105","D",.,"A",465,"D","2","D"
"20151","02810645",27,0,"1","105","D",.,"A",101,"D","2","D"
"20151","02810945",52,0,"1","105","D",.,"A",220,"D","2","D"
"20151","02811055",27,0,"1","105","D",.,"A",180,"D","2","D"
"20151","02811415",43,0,"1","105","D",.,"A",300,"D","1","D"
"20151","02813775",48,0,"1","105","D",.,"A",37,"D","1","D"
"20151","02813895",27,0,"1","105","D",.,"A",100,"D","2","D"
"20151","02837244",25,0,"1","105","D",.,"A",103,"D","1","D"
"20151","02837524",33,0,"1","105","D",.,"A",42,"D","2","D"
"20151","02840574",27,0,"1","105","D",.,"A",220,"D","1","D"
"20151","02841094",56,0,"1","105","D",.,"A",310,"D","1","D"
"20151","02841524",47,0,"1","105","D",.,"A",370,"D","2","D"
"20151","02842734",27,0,"1","105","D",.,"A",125,"D","1","D"
"20151","02843684",9,0,"1","105","D",.,"A",120,"D","2","D"
"20151","02843944",90,0,"1","105","D",.,"A",550,"D","1","D"
"20151","02844644",17,0,"1","105","D",.,"A",227,"D","2","D"
"20151","02867424",21,0,"1","105","D",.,"A",330,"F","2","D"
"20151","02870554",16,0,"1","105","D",.,"A",135,"D","2","D"
"20151","02871994",83,0,"1","105","D",.,"A",280,"D","1","D"
"20151","02872404",48,0,"1","105","D",.,"A",122,"D","2","D"
"20151","02873754",30,0,"1","105","D",.,"A",250,"D","1","D"
"20151","02875334",34,0,"1","105","D",.,"A",295,"D","1","D"
"20151","02875424",27,0,"1","105","D",.,"A",104,"D","1","D"
"20151","02876624",34,0,"1","105","D",.,"A",382,"D","1","D"
"20151","02922733",38,0,"1","200","D",.,"A",310,"D","1","D"
"20151","02923223",10,0,"1","105","D",.,"A",31,"D","2","D"
"20151","02927193",28,0,"1","105","D",.,"A",330,"F",,"C"
"20151","02930453",32,0,"1","105","D",.,"A",200,"D","1","D"
"20151","02930453",33,0,"1","105","D",.,"A",200,"D","1","D"
"20151","02930453",34,0,"1","105","D",.,"A",200,"D","1","D"
"20151","02930945",17,0,"1","105","D",.,"A",80,"D","1","D"
"20151","02931573",52,0,"1","105","D",.,"A",200,"D","2","D"
"20151","02947023",50,0,"1","105","D",.,"A",34,"D","2","D"
"20151","02947533",15,0,"1","105","D",.,"A",291,"F","2","D"
"20151","02947943",17,0,"1","105","D",.,"A",800,"D","1","D"
"20151","02948683",63,0,"1","105","D",.,"A",550,"D","1","D"
"20151","02948993",23,0,"1","105","D",.,"A",350,"D","1","D"
"20151","02950913",48,0,"1","105","D",.,"A",1,"D","2","D"
"20151","02953333",41,0,"1","105","D",1,"D",0,"D","1","D"
"20151","02955123",34,0,"1","105","D",.,"A",93,"D","1","D"
"20151","02991492",30,0,"1","105","D",.,"A",1000,"D","2","D"
"20151","02993514",28,0,"1","105","D",.,"A",295,"D","1","D"
"20151","02996102",23,0,"1","105","D",.,"A",100,"D","2","D"
"20151","02996142",42,0,"1","200","D",.,"A",100,"D","2","D"
"20151","02997372",23,0,"1","105","D",.,"A",100,"D","2","D"
"20151","02997622",27,0,"1","105","D",.,"A",136,"D","2","D"
"20151","02998032",74,0,"1","105","D",.,"A",45,"D","2","D"
"20151","02999932",27,0,"1","105","D",.,"A",60,"D","1","D"
"20151","03000142",55,0,"1","105","D",.,"A",270,"D","2","D"
"20151","03001492",30,0,"1","105","D",.,"A",500,"D","1","D"
"20151","03001622",25,0,"1","105","D",.,"A",170,"D","2","D"
"20151","03002112",13,0,"1","105","D",.,"A",260,"D","1","D"
"20151","03003822",16,0,"1","105","D",.,"A",30,"D","2","D"
"20151","03004692",8,0,"1","105","D",.,"A",260,"D","2","D"
"20151","03004772",39,0,"1","105","D",.,"A",385,"D","2","D"
"20151","03004912",40,0,"1","105","D",0.33,"D",151,"D","2","D"
"20151","03006952",20,0,"1","105","D",.,"A",300,"D","1","D"
"20151","03006952",21,0,"1","200","D",.,"A",80,"D","2","D"
"20151","03007442",52,0,"1","105","D",.,"A",220,"D","1","D"
"20151","03007842",31,0,"1","105","D",.,"A",70,"D","1","D"
"20151","03007842",32,0,"1","105","D",.,"A",275,"D","1","D"
"20151","03008102",26,0,"1","105","D",.,"A",300,"D","1","D"
"20151","03009385",31,0,"1","105","D",.,"A",1000,"D","1","D"
"20151","03045402",6,0,"1","105","D",.,"A",700,"D","2","D"
"20151","03045763",16,0,"1","105","D",.,"A",800,"D","2","D"
"20151","03045864",32,0,"1","105","D",.,"A",150,"D","2","D"
"20151","03047033",31,0,"1","170","D",.,"A",150,"D","1","D"
"20151","03047052",24,0,"1","105","D",.,"A",160,"D","2","D"
"20151","03050311",21,0,"1","105","D",.,"A",1,"D","2","D"
"20151","03051571",43,0,"1","105","D",.,"A",300,"D","1","D"
"20151","03052192",14,0,"1","105","D",.,"A",55,"D","2","D"
"20151","03052532",10,0,"1","105","D",.,"A",300,"D","2","D"
"20151","03052803",43,0,"1","105","D",.,"A",500,"D","1","D"
"20151","03054982",13,0,"1","105","D",0.2,"D",320,"D","2","D"
"20151","03056443",6,0,"1","105","D",.,"A",355,"D","1","D"
"20151","03057702",31,0,"1","105","D",.,"A",125,"D","1","D"
"20151","03057964",42,0,"1","105","D",.,"A",85,"D","2","D"
"20151","03059172",15,0,"1","105","D",.,"A",384,"D","2","D"
"20151","03059203",11,0,"1","105","D",.,"A",280,"D","2","D"
"20151","03059203",12,0,"1","105","D",.,"A",400,"D","2","D"
"20151","03060404",7,0,"1","105","D",.,"A",400,"D","2","D"
"20151","03061714",22,0,"1","105","D",.,"A",200,"D","2","D"
"20151","03061783",10,0,"1","200","D",.,"A",163,"F","2","D"
"20151","03062193",18,0,"1","105","D",.,"A",150,"D","1","D"
"20151","03064914",26,0,"1","105","D",.,"A",160,"D","1","D"
