"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20151","02792065",21,0,"1","830","D","1","D",50,"D","13","D"
"20151","02792065",22,0,"1","210","D","1","D",30,"D","01","D"
"20151","02792065",23,0,"1","360","D","1","D",8,"D","13","D"
"20151","02792065",24,0,"1","370","D","1","D",50,"D","12","D"
"20151","02792065",25,0,"1","370","D","1","D",100,"D","01","D"
"20151","02792115",21,0,"1","510","D","1","D",45,"D","12","D"
"20151","02792115",22,0,"1","160","D","1","D",20,"D","01","D"
"20151","02792155",17,0,"2","150","D","1","D",23,"D","11","D"
"20151","02792245",31,0,"1","600","D","1","D",200,"D","11","D"
"20151","02792245",32,0,"1","510","D","1","D",300,"D","12","D"
"20151","02792245",33,0,"1","210","D","1","D",200,"D","01","D"
"20151","02792245",34,0,"1","370","D","1","D",220,"D","12","D"
"20151","02792245",35,0,"1","350","D","1","D",100,"D","01","D"
"20151","02792245",36,0,"2","610","D","1","D",200,"D","11","D"
"20151","02792245",37,0,"2","600","D","1","D",300,"D","11","D"
"20151","02792245",38,0,"2","370","D","1","D",150,"D","11","D"
"20151","02792265",10,0,"2","160","D","1","D",25,"D","11","D"
"20151","02792525",55,0,"1","500","D","2","D",100,"D","12","D"
"20151","02792525",56,0,"1","160","D","1","D",25,"D","11","D"
"20151","02792525",57,0,"1","210","D","1","D",100,"D","11","D"
"20151","02792525",58,0,"1","310","D","1","D",75,"D","01","D"
"20151","02792525",59,0,"1","320","D","1","D",20,"D","11","D"
"20151","02792525",60,0,"1","340","D","1","D",40,"D","12","D"
"20151","02792525",61,0,"2","320","D","1","D",100,"D","11","D"
"20151","02792595",33,0,"1","830","D","1","D",20,"D","11","D"
"20151","02792595",34,0,"1","830","D","1","D",20,"D","12","D"
"20151","02792595",35,0,"1","320","D","1","D",5,"D","11","D"
"20151","02792645",71,0,"1","210","D","1","D",14,"D","12","D"
"20151","02792645",72,0,"1","210","D","1","D",26,"D","12","D"
"20151","02792645",73,0,"1","350","D","1","D",6,"D","13","D"
"20151","02792645",74,0,"1","350","D","1","D",7,"D","11","D"
"20151","02792645",75,0,"1","350","D","1","D",8,"D","01","D"
"20151","02792645",76,0,"1","320","D","1","D",25,"D","01","D"
"20151","02792645",77,0,"1","320","D","1","D",120,"D","12","D"
"20151","02792645",78,0,"1","340","D","1","D",20,"D","12","D"
"20151","02792725",20,0,"1","820","D","1","D",95,"D","01","D"
"20151","02792725",21,0,"1","350","D","1","D",6,"D","13","D"
"20151","02792805",34,0,"1","160","D","1","D",5,"D","11","D"
"20151","02792805",35,0,"1","160","D","1","D",5,"D","12","D"
"20151","02792805",36,0,"1","160","D","1","D",5,"D","01","D"
"20151","02792805",37,0,"1","150","D","1","D",18,"D","11","D"
"20151","02792805",38,0,"1","200","D","2","D",18,"D","13","D"
"20151","02792805",39,0,"1","210","D","1","D",14,"D","12","D"
"20151","02792805",40,0,"1","210","D","1","D",10,"D","01","D"
"20151","02792805",41,0,"2","950","D","1","D",100,"D","11","D"
"20151","02792815",51,0,"1","350","D","1","D",2,"D","12","D"
"20151","02792815",52,0,"1","340","D","1","D",30,"D","12","D"
"20151","02792815",53,0,"1","310","D","1","D",1,"D","11","D"
"20151","02792815",54,0,"1","310","D","1","D",4,"D","01","D"
"20151","02792825",59,0,"1","500","D","1","D",70,"D","12","D"
"20151","02792825",60,0,"1","510","D","1","D",80,"D","12","D"
"20151","02792825",61,0,"1","500","D","1","D",150,"D","12","D"
"20151","02792925",51,0,"1","820","D","1","D",20,"D","11","D"
"20151","02792925",52,0,"1","820","D","1","D",38,"D","12","D"
"20151","02792925",53,0,"1","510","D","1","D",10,"D","11","D"
"20151","02792925",54,0,"1","510","D","1","D",10,"D","12","D"
"20151","02792925",55,0,"1","510","D","1","D",10,"D","01","D"
"20151","02792955",38,0,"2","150","D","1","D",49,"D","11","D"
"20151","02793085",27,0,"1","830","D","1","D",27,"D","01","D"
"20151","02793085",28,0,"1","150","D","1","D",15,"D","12","D"
"20151","02793085",29,0,"1","150","D","1","D",15,"D","01","D"
"20151","02793085",30,0,"1","330","D","1","D",10,"D","13","D"
"20151","02793085",31,0,"1","360","D","1","D",20,"D","13","D"
"20151","02793085",32,0,"1","320","D","1","D",12,"D","11","D"
"20151","02793085",33,0,"1","320","D","1","D",69,"D","12","D"
"20151","02793085",34,0,"1","320","D","1","D",30,"D","01","D"
"20151","02793085",35,0,"1","340","D","1","D",34,"D","12","D"
"20151","02793085",36,0,"1","340","D","1","D",5,"D","01","D"
"20151","02793155",23,0,"1","600","D","1","D",75,"D","11","D"
"20151","02793155",24,0,"1","350","D","1","D",25,"D","01","D"
"20151","02793235",45,0,"1","510","D","1","D",420,"D","01","D"
"20151","02793235",46,0,"1","150","D","1","D",20,"D","01","D"
"20151","02793235",47,0,"1","340","D","1","D",65,"D","12","D"
"20151","02793235",48,0,"1","350","D","1","D",20,"D","12","D"
"20151","02793235",49,0,"1","360","D","1","D",10,"D","13","D"
"20151","02793235",50,0,"1","410","D","1","D",60,"D","12","D"
"20151","02793245",35,0,"1","830","D","1","D",20,"D","13","D"
"20151","02793245",36,0,"1","150","D","1","D",20,"D","11","D"
"20151","02793245",37,0,"1","150","D","1","D",20,"D","12","D"
"20151","02793245",38,0,"1","150","D","1","D",20,"D","01","D"
"20151","02793255",37,0,"1","500","D","1","D",175,"D","11","D"
"20151","02793255",38,0,"1","500","D","1","D",163,"D","01","D"
"20151","02793255",39,0,"1","510","D","1","D",20,"D","12","D"
"20151","02793255",40,0,"1","510","D","1","D",40,"D","01","D"
"20151","02793255",41,0,"1","150","D","1","D",16,"D","11","D"
"20151","02793255",42,0,"1","350","D","1","D",5,"D","13","D"
"20151","02793275",33,0,"1","830","D","1","D",90,"D","12","D"
"20151","02793275",34,0,"1","840","D","1","D",110,"D","12","D"
"20151","02793275",35,0,"1","840","D","1","D",50,"D","12","D"
"20151","02793275",36,0,"1","510","D","1","D",45,"D","12","D"
"20151","02793275",37,0,"1","350","D","1","D",2,"D","13","D"
"20151","02793345",29,0,"1","310","D","1","D",40,"D","12","D"
"20151","02793345",30,0,"1","350","D","1","D",8,"D","13","D"
"20151","02793345",31,0,"1","360","D","1","D",150,"D","12","D"
"20151","02793385",20,0,"1","600","D","1","D",30,"D","12","D"
"20151","02793465",17,0,"1","510","D","1","D",12,"D","11","D"
"20151","02793465",18,0,"1","510","D","1","D",24,"D","12","D"
"20151","02793465",19,0,"1","510","D","1","D",12,"D","01","D"
"20151","02793495",36,0,"1","830","D","1","D",80,"D","13","D"
"20151","02793495",37,0,"1","510","D","1","D",25,"D","12","D"
"20151","02793515",33,0,"2","840","D","1","D",79,"D","11","D"
"20151","02793515",34,0,"2","210","D","1","D",160,"D","11","D"
"20151","02793585",27,0,"1","830","D","1","D",40,"D","13","D"
"20151","02793645",15,0,"1","310","D","1","D",34,"D","11","D"
"20151","02793645",16,0,"1","340","D","1","D",80,"D","11","D"
"20151","02793795",22,0,"1","510","D","1","D",30,"D","12","D"
"20151","02793795",23,0,"1","510","D","1","D",30,"D","01","D"
"20151","02793795",24,0,"1","350","D","1","D",10,"D","13","D"
"20151","02793795",25,0,"2","510","D","1","D",40,"D","11","D"
"20151","02793805",20,0,"1","830","D","1","D",10,"D","13","D"
"20151","02793815",34,0,"1","830","D","1","D",11,"D","13","D"
"20151","02793815",35,0,"1","510","D","1","D",10,"D","01","D"
"20151","02793815",36,0,"1","510","D","1","D",10,"D","11","D"
"20151","02793815",37,0,"1","510","D","1","D",10,"D","12","D"
"20151","02794015",43,0,"1","320","D","1","D",25,"D","12","D"
"20151","02794015",44,0,"2","510","D","1","D",12,"D","11","D"
"20151","02794015",45,0,"2","400","D","1","D",15,"D","11","D"
"20151","02794095",29,0,"1","830","D","1","D",170,"D","13","D"
"20151","02794095",30,0,"1","510","D","1","D",100,"D","12","D"
"20151","02794145",31,0,"1","160","D","1","D",10,"D","11","D"
"20151","02794145",32,0,"1","160","D","1","D",10,"D","12","D"
"20151","02794145",33,0,"1","160","D","1","D",10,"D","01","D"
"20151","02794155",58,0,"1","500","D","1","D",95,"D","12","D"
"20151","02794155",59,0,"1","500","D","1","D",184,"D","01","D"
"20151","02794155",60,0,"1","510","D","1","D",165,"D","11","D"
"20151","02794155",61,0,"1","510","D","1","D",175,"D","12","D"
"20151","02794155",62,0,"1","510","D","1","D",145,"D","01","D"
"20151","02794155",63,0,"1","210","D","1","D",120,"D","11","D"
"20151","02794155",64,0,"1","210","D","1","D",125,"D","12","D"
"20151","02794155",65,0,"1","200","D","1","D",15,"D","01","D"
"20151","02794155",66,0,"1","370","D","1","D",125,"D","12","D"
"20151","02794155",67,0,"1","360","D","1","D",7,"D","13","D"
"20151","02794165",34,0,"1","600","D","1","D",249,"D","01","D"
"20151","02794315",64,0,"1","510","D","1","D",30,"D","12","D"
"20151","02794315",65,0,"1","510","D","1","D",30,"D","01","D"
"20151","02794315",66,0,"1","510","D","1","D",160,"D","01","D"
"20151","02794315",67,0,"1","150","D","1","D",48,"D","01","D"
"20151","02794315",68,0,"1","150","D","1","D",70,"D","11","D"
"20151","02794315",69,0,"1","150","D","1","D",30,"D","12","D"
"20151","02794315",70,0,"1","210","D","1","D",13,"D","12","D"
"20151","02794315",71,0,"1","350","D","1","D",8,"D","13","D"
"20151","02794315",72,0,"1","320","D","1","D",9,"D","12","D"
"20151","02794315",73,0,"1","370","D","1","D",30,"D","01","D"
"20151","02794335",47,0,"1","930","D","1","D",24,"D","13","D"
"20151","02794335",48,0,"1","310","D","1","D",38,"D","01","D"
"20151","02794335",49,0,"1","350","D","1","D",15,"D","01","D"
"20151","02794365",21,0,"1","840","D","1","D",50,"D","12","D"
"20151","02794385",24,0,"1","360","D","1","D",11,"D","13","D"
"20151","02794385",25,0,"1","350","D","1","D",3,"D","13","D"
"20151","02794405",30,0,"1","360","D","1","D",9,"D","13","D"
"20151","02794445",35,0,"1","830","D","1","D",100,"D","13","D"
"20151","02794445",36,0,"1","610","D","1","D",150,"D","11","D"
"20151","02794445",37,0,"1","340","D","1","D",122,"D","12","D"
"20151","02794445",38,0,"1","370","D","1","D",45,"D","12","D"
"20151","02794755",18,0,"1","210","D","1","D",65,"D","01","D"
"20151","02794815",22,0,"1","830","D","1","D",72,"D","13","D"
"20151","02794855",23,0,"1","800","D","1","D",50,"D","13","D"
"20151","02794855",24,0,"1","830","D","1","D",17,"D","13","D"
"20151","02795155",23,0,"1","500","D","1","D",60,"D","01","D"
"20151","02795155",24,0,"1","160","D","1","D",8,"D","01","D"
"20151","02795165",72,0,"1","510","D","1","D",12,"D","11","D"
"20151","02795165",73,0,"1","510","D","1","D",12,"D","01","D"
"20151","02795165",74,0,"1","350","D","1","D",8,"D","13","D"
"20151","02795165",75,0,"2","320","D","1","D",5,"D","11","D"
"20151","02795205",62,0,"1","830","D","1","D",200,"D","13","D"
"20151","02795205",63,0,"1","840","D","1","D",99,"D","01","D"
"20151","02795205",64,0,"1","510","D","1","D",150,"D","01","D"
"20151","02795205",65,0,"1","210","D","1","D",40,"D","12","D"
"20151","02795205",66,0,"1","350","D","1","D",10,"D","13","D"
"20151","02795205",67,0,"1","360","D","1","D",12,"D","13","D"
"20151","02795205",68,0,"2","810","D","1","D",180,"D","11","D"
"20151","02795205",69,0,"2","500","D","1","D",300,"D","11","D"
"20151","02795205",70,0,"2","510","D","1","D",100,"D","11","D"
"20151","02795205",71,0,"2","320","D","1","D",40,"D","11","D"
"20151","02795455",28,0,"1","320","D","1","D",22,"D","01","D"
"20151","02795455",29,0,"1","320","D","1","D",43,"D","12","D"
"20151","02795455",30,0,"1","340","D","1","D",87,"D","11","D"
"20151","02795455",31,0,"1","360","D","1","D",8,"D","13","D"
"20151","02795465",42,0,"1","610","D","1","D",350,"D","11","D"
"20151","02795465",43,0,"1","310","D","1","D",60,"D","01","D"
"20151","02795465",44,0,"1","360","D","1","D",9,"D","13","D"
"20151","02795465",45,0,"1","370","D","1","D",60,"D","12","D"
"20151","02795515",28,0,"1","510","D","1","D",24,"D","12","D"
"20151","02795515",29,0,"1","150","D","1","D",3,"D","01","D"
"20151","02795515",30,0,"1","330","D","1","D",10,"D","13","D"
"20151","02795515",31,0,"1","350","D","1","D",3,"D","01","D"
"20151","02795615",42,0,"1","510","D","1","D",28,"D","01","D"
"20151","02795645",7,0,"1","360","D","1","D",8,"D","13","D"
"20151","02795695",32,0,"1","150","D","1","D",8,"F","12","D"
"20151","02795695",33,0,"1","350","D","1","D",12,"D","13","D"
"20151","02795715",41,0,"1","830","D","1","D",40,"D","13","D"
"20151","02795715",42,0,"1","360","D","1","D",8,"D","13","D"
"20151","02795865",22,0,"1","510","D","1","D",30,"D","12","D"
"20151","02795865",23,0,"1","360","D","1","D",9,"D","13","D"
"20151","02795875",25,0,"1","810","D","1","D",35,"D","12","D"
"20151","02796085",40,0,"1","510","D","1","D",40,"D","11","D"
"20151","02796085",41,0,"1","510","D","1","D",40,"D","12","D"
"20151","02796085",42,0,"1","330","D","1","D",11,"D","13","D"
"20151","02796085",43,0,"1","320","D","1","D",30,"D","12","D"
"20151","02796085",44,0,"1","360","D","1","D",9,"D","13","D"
"20151","02796235",56,0,"1","840","D","1","D",110,"D","12","D"
"20151","02796235",57,0,"1","810","D","1","D",59,"D","12","D"
"20151","02796235",58,0,"1","510","D","1","D",100,"D","12","D"
"20151","02796235",59,0,"1","210","D","1","D",30,"D","12","D"
"20151","02796235",60,0,"1","320","D","1","D",35,"D","12","D"
"20151","02796235",61,0,"1","340","D","2","D",25,"D","12","D"
"20151","02796235",62,0,"1","340","D","1","D",25,"D","12","D"
"20151","02796245",65,0,"1","840","D","1","D",45,"D","11","D"
"20151","02796245",66,0,"1","150","D","1","D",25,"D","11","D"
"20151","02796245",67,0,"1","340","D","1","D",15,"D","12","D"
"20151","02796245",68,0,"1","340","D","1","D",7,"D","12","D"
"20151","02796245",69,0,"2","150","D","1","D",25,"D","11","D"
"20151","02796265",30,0,"1","500","D","1","D",70,"D","12","D"
"20151","02796265",31,0,"1","150","D","1","D",52,"D","12","D"
"20151","02796265",32,0,"1","360","D","1","D",9,"D","13","D"
"20151","02796265",33,0,"2","340","D","1","D",10,"D","11","D"
"20151","02796485",30,0,"1","150","D","1","D",18,"D","11","D"
"20151","02796485",31,0,"1","150","D","1","D",18,"D","12","D"
"20151","02796485",32,0,"1","150","D","1","D",18,"D","01","D"
"20151","02796555",45,0,"1","840","D","1","D",100,"D","11","D"
"20151","02796555",46,0,"1","510","D","1","D",55,"D","11","D"
"20151","02796555",47,0,"1","210","D","1","D",25,"D","01","D"
"20151","02796555",48,0,"1","340","D","1","D",30,"D","11","D"
"20151","02796575",13,0,"1","350","D","1","D",15,"D","13","D"
"20151","02796595",62,0,"1","830","D","1","D",40,"D","13","D"
"20151","02796595",63,0,"1","150","D","1","D",114,"D","01","D"
"20151","02796595",64,0,"1","150","D","1","D",20,"D","11","D"
"20151","02796595",65,0,"1","320","D","1","D",4,"D","11","D"
"20151","02796625",29,0,"1","360","D","1","D",9,"D","13","D"
"20151","02796765",43,0,"1","150","D","1","D",28,"D","12","D"
"20151","02796765",44,0,"1","320","D","1","D",25,"D","11","D"
"20151","02796765",45,0,"1","320","D","1","D",11,"D","01","D"
"20151","02796765",46,0,"1","360","D","1","D",5,"D","13","D"
"20151","02796775",45,0,"1","610","D","1","D",40,"D","01","D"
"20151","02796775",46,0,"1","610","D","1","D",75,"D","01","D"
"20151","02796775",47,0,"1","600","D","1","D",325,"D","12","D"
"20151","02796775",48,0,"1","300","D","1","D",35,"D","12","D"
"20151","02796775",49,0,"1","370","D","1","D",150,"D","12","D"
"20151","02796775",50,0,"2","840","D","1","D",90,"D","11","D"
"20151","02796885",55,0,"1","150","D","1","D",20,"D","01","D"
"20151","02796885",56,0,"1","350","D","1","D",12,"D","13","D"
"20151","02796885",57,0,"1","370","D","1","D",55,"D","11","D"
"20151","02796925",40,0,"1","810","D","1","D",257,"D","01","D"
"20151","02796925",41,0,"1","150","D","1","D",55,"D","01","D"
"20151","02796925",42,0,"1","360","D","1","D",13,"D","13","D"
"20151","02796995",14,0,"1","510","D","1","D",15,"D","11","D"
"20151","02796995",15,0,"1","510","D","1","D",15,"D","12","D"
"20151","02796995",16,0,"1","510","D","1","D",15,"D","01","D"
"20151","02797215",22,0,"1","350","D","1","D",21,"D","13","D"
"20151","02797315",20,0,"1","610","D","1","D",328,"D","12","D"
"20151","02797315",21,0,"1","510","D","1","D",36,"D","01","D"
"20151","02797315",22,0,"2","210","D","1","D",36,"D","11","D"
"20151","02797405",58,0,"1","830","D","1","D",89,"D","13","D"
"20151","02797405",59,0,"1","360","D","1","D",8,"D","13","D"
"20151","02797475",46,0,"1","500","D","1","D",7,"D","11","D"
"20151","02797475",47,0,"1","500","D","1","D",100,"D","12","D"
"20151","02797475",48,0,"1","500","D","1","D",100,"D","01","D"
"20151","02797475",49,0,"1","510","D","1","D",55,"D","01","D"
"20151","02797475",50,0,"1","310","D","1","D",14,"D","12","D"
"20151","02797475",51,0,"1","340","D","1","D",6,"D","01","D"
"20151","02797475",52,0,"1","340","D","1","D",6,"D","12","D"
"20151","02797475",53,0,"1","340","D","1","D",6,"D","11","D"
"20151","02797475",54,0,"1","310","D","1","D",30,"D","12","D"
"20151","02797475",55,0,"1","380","D","1","D",5,"D","12","D"
"20151","02797525",30,0,"1","510","D","1","D",35,"D","12","D"
"20151","02797655",32,0,"1","510","D","1","D",60,"D","01","D"
"20151","02797675",33,0,"1","360","D","1","D",40,"D","13","D"
"20151","02797725",27,0,"1","840","D","1","D",35,"D","12","D"
"20151","02797725",28,0,"1","340","D","1","D",50,"D","12","D"
"20151","02797895",43,0,"1","830","D","1","D",143,"D","13","D"
"20151","02797895",44,0,"1","500","D","1","D",200,"D","12","D"
"20151","02797895",45,0,"1","500","D","1","D",200,"D","01","D"
"20151","02797895",46,0,"1","510","D","1","D",100,"D","01","D"
"20151","02797895",47,0,"1","330","D","1","D",30,"D","01","D"
"20151","02797895",48,0,"1","360","D","1","D",3,"D","13","D"
"20151","02797895",49,0,"2","510","D","1","D",20,"D","11","D"
"20151","02797895",50,0,"2","210","D","1","D",10,"D","11","D"
"20151","02797895",51,0,"2","320","D","1","D",15,"D","11","D"
"20151","02798005",17,0,"1","350","D","1","D",16,"D","12","D"
"20151","02798005",18,0,"1","350","D","1","D",10,"D","01","D"
"20151","02798005",19,0,"2","350","D","1","D",3,"D","11","D"
"20151","02798035",43,0,"1","160","D","1","D",20,"D","01","D"
"20151","02798035",44,0,"1","160","D","1","D",20,"D","11","D"
"20151","02798035",45,0,"1","160","D","1","D",20,"D","12","D"
"20151","02798045",17,0,"1","200","D","1","D",20,"D","13","D"
"20151","02798075",78,0,"1","820","D","1","D",75,"D","11","D"
"20151","02798085",28,0,"1","610","D","1","D",60,"D","01","D"
"20151","02798085",29,0,"1","370","D","1","D",80,"D","12","D"
"20151","02798135",12,0,"1","840","D","1","D",100,"D","01","D"
"20151","02798155",11,0,"1","830","D","1","D",18,"D","13","D"
"20151","02798225",27,0,"1","150","D","1","D",24,"D","11","D"
"20151","02798275",22,0,"1","830","D","1","D",20,"D","13","D"
"20151","02798275",23,0,"1","510","D","1","D",20,"D","11","D"
"20151","02798275",24,0,"1","500","D","1","D",200,"D","12","D"
"20151","02798315",29,0,"1","150","D","1","D",78,"D","12","D"
"20151","02798315",30,0,"1","320","D","1","D",65,"D","12","D"
"20151","02798405",39,0,"1","510","D","1","D",450,"D","01","D"
"20151","02798405",40,0,"1","160","D","1","D",12,"D","01","D"
"20151","02798405",41,0,"1","330","D","1","D",12,"D","13","D"
"20151","02798405",42,0,"1","350","D","1","D",25,"D","13","D"
"20151","02798405",43,0,"1","380","D","1","D",10,"D","13","D"
"20151","02798465",18,0,"1","510","D","1","D",30,"D","12","D"
"20151","02798465",19,0,"1","510","D","1","D",30,"D","11","D"
"20151","02798465",20,0,"1","510","D","1","D",30,"D","01","D"
"20151","02798465",21,0,"1","360","D","1","D",9,"D","13","D"
"20151","02798465",22,0,"2","510","D","1","D",30,"D","11","D"
"20151","02798555",23,0,"2","150","D","1","D",20,"F","11","D"
"20151","02798615",26,0,"1","350","D","1","D",20,"D","13","D"
"20151","02798615",27,0,"1","360","D","1","D",9,"D","13","D"
"20151","02798665",47,0,"1","830","D","1","D",600,"D","01","D"
"20151","02798665",48,0,"1","210","D","1","D",180,"D","12","D"
"20151","02798665",49,0,"1","210","D","1","D",180,"D","01","D"
"20151","02798665",50,0,"1","210","D","1","D",180,"D","11","D"
"20151","02798695",41,0,"1","830","D","1","D",809,"D","01","D"
"20151","02798735",37,0,"1","500","D","1","D",100,"D","01","D"
