"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20151","02792815",55,0,"1",1,"D",.,"H",,"A"
"20151","02792815",55,1,"1",.,"A",3,"E","200","D"
"20151","02794445",39,0,"1",1,"D",.,"H",,"A"
"20151","02794445",39,1,"1",.,"A",4,"E","200","D"
"20151","02794445",39,2,"1",.,"A",11,"E","220","D"
"20151","02795335",13,0,"1",1,"D",.,"H",,"A"
"20151","02795335",13,1,"1",.,"A",373,"E","100","D"
"20151","02795335",13,2,"1",.,"A",22,"E","110","D"
"20151","02795335",13,3,"1",.,"A",46,"E","120","D"
"20151","02795335",13,4,"1",.,"A",169,"E","130","D"
"20151","02795335",13,5,"1",.,"A",17,"E","140","D"
"20151","02795335",13,6,"1",.,"A",769,"E","150","D"
"20151","02795335",13,7,"1",.,"A",56,"E","160","D"
"20151","02795335",13,8,"1",.,"A",48,"E","190","D"
"20151","02796925",43,0,"1",1,"D",.,"H",,"A"
"20151","02796925",43,1,"1",.,"A",122,"E","100","D"
"20151","02796925",43,2,"1",.,"A",36,"E","110","D"
"20151","02796925",43,3,"1",.,"A",52,"E","120","D"
"20151","02796925",43,4,"1",.,"A",655,"E","130","D"
"20151","02796925",43,5,"1",.,"A",5,"E","140","D"
"20151","02796925",43,6,"1",.,"A",545,"E","150","D"
"20151","02796925",43,7,"1",.,"A",373,"E","160","D"
"20151","02796925",43,8,"1",.,"A",6,"E","170","D"
"20151","02796925",43,9,"1",.,"A",56,"E","190","D"
"20151","02797675",34,0,"1",1,"D",.,"H",,"A"
"20151","02797675",34,1,"1",.,"A",256,"E","100","D"
"20151","02797675",34,2,"1",.,"A",76,"E","110","D"
"20151","02797675",34,3,"1",.,"A",110,"E","120","D"
"20151","02797675",34,4,"1",.,"A",11,"E","140","D"
"20151","02797675",34,5,"1",.,"A",1133,"E","150","D"
"20151","02797675",34,6,"1",.,"A",781,"E","160","D"
"20151","02797675",34,7,"1",.,"A",14,"E","170","D"
"20151","02797675",34,8,"1",.,"A",119,"E","190","D"
"20151","02798695",42,0,"1",1,"D",.,"H",,"A"
"20151","02798695",42,1,"1",.,"A",101,"E","100","D"
"20151","02798695",42,2,"1",.,"A",39,"E","110","D"
"20151","02798695",42,3,"1",.,"A",41,"E","120","D"
"20151","02798695",42,4,"1",.,"A",426,"E","150","D"
"20151","02798695",42,5,"1",.,"A",106,"E","170","D"
"20151","02798695",42,6,"1",.,"A",10,"E","190","D"
"20151","02798695",42,7,"1",.,"A",37,"E","200","D"
"20151","02798695",42,8,"1",.,"A",161,"E","210","D"
"20151","02798695",42,9,"1",.,"A",197,"E","220","D"
"20151","02798805",43,0,"1",2,"D",.,"H",,"A"
"20151","02798805",43,1,"1",.,"A",60,"E","100","D"
"20151","02798805",43,2,"1",.,"A",15,"E","110","D"
"20151","02798805",43,3,"1",.,"A",32,"E","120","D"
"20151","02798805",43,4,"1",.,"A",7,"E","140","D"
"20151","02798805",43,5,"1",.,"A",192,"E","150","D"
"20151","02798805",43,6,"1",.,"A",175,"E","160","D"
"20151","02798805",43,7,"1",.,"A",19,"E","190","D"
"20151","02799975",18,0,"1",11,"D",.,"H",,"A"
"20151","02799975",18,1,"1",.,"A",22,"E","120","D"
"20151","02799975",18,2,"1",.,"A",200,"E","150","D"
"20151","02799975",18,3,"1",.,"A",49,"E","170","D"
"20151","02799975",18,4,"1",.,"A",4,"E","190","D"
"20151","02806855",39,0,"1",1,"D",.,"H",,"A"
"20151","02806855",39,1,"1",.,"A",154,"E","100","D"
"20151","02806855",39,2,"1",.,"A",46,"E","110","D"
"20151","02808185",32,0,"1",1,"D",.,"H",,"A"
"20151","02808185",32,1,"1",.,"A",33,"E","100","D"
"20151","02808185",32,2,"1",.,"A",9,"E","110","D"
"20151","02808185",32,3,"1",.,"A",19,"E","120","D"
"20151","02808185",32,4,"1",.,"A",177,"E","130","D"
"20151","02808185",32,5,"1",.,"A",1,"E","140","D"
"20151","02808185",32,6,"1",.,"A",145,"E","150","D"
"20151","02808185",32,7,"1",.,"A",100,"E","160","D"
"20151","02808185",32,8,"1",.,"A",1,"E","170","D"
"20151","02808185",32,9,"1",.,"A",15,"E","190","D"
"20151","02808585",23,0,"1",1,"D",.,"H",,"A"
"20151","02808585",23,1,"1",.,"A",137,"E","100","D"
"20151","02808585",23,2,"1",.,"A",39,"E","110","D"
"20151","02808585",23,3,"1",.,"A",56,"E","120","D"
"20151","02808585",23,4,"1",.,"A",709,"E","130","D"
"20151","02808585",23,5,"1",.,"A",5,"E","140","D"
"20151","02808585",23,6,"1",.,"A",583,"E","150","D"
"20151","02808585",23,7,"1",.,"A",403,"E","160","D"
"20151","02808585",23,8,"1",.,"A",7,"E","170","D"
"20151","02808585",23,9,"1",.,"A",61,"E","190","D"
"20151","02809085",52,0,"1",1,"D",.,"H",,"A"
"20151","02809085",52,1,"1",.,"A",60,"E","100","D"
"20151","02809085",52,2,"1",.,"A",18,"E","110","D"
