"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20151","02804455",72,0,"1",.,"H",,"A"
"20151","02804455",72,1,"1",292,"E","100","D"
"20151","02804455",72,2,"1",83,"E","110","D"
"20151","02804455",72,3,"1",111,"E","120","D"
"20151","02804455",72,4,"1",538,"E","130","D"
"20151","02804455",72,5,"1",16,"E","140","D"
"20151","02804455",72,6,"1",903,"E","150","D"
"20151","02804455",72,7,"1",102,"E","160","D"
"20151","02804455",72,8,"1",102,"E","170","D"
"20151","02804455",72,9,"1",766,"E","180","D"
"20151","02804455",72,10,"1",87,"E","190","D"
"20151","02804775",49,0,"1",.,"H",,"A"
"20151","02804775",49,1,"1",58,"E","120","D"
"20151","02804775",49,2,"1",8,"E","140","D"
"20151","02804775",49,3,"1",452,"E","150","D"
"20151","02804775",49,4,"1",51,"E","160","D"
"20151","02804775",49,5,"1",51,"E","170","D"
"20151","02804775",49,6,"1",383,"E","180","D"
"20151","02804775",49,7,"1",43,"E","190","D"
"20151","02804955",31,0,"1",.,"H",,"A"
"20151","02804955",31,1,"1",600,"E","130","D"
"20151","02805515",25,0,"1",.,"H",,"A"
"20151","02805515",25,1,"1",25,"E","120","D"
"20151","02805515",25,2,"1",9,"E","140","D"
"20151","02805515",25,3,"1",143,"E","150","D"
"20151","02805515",25,4,"1",10,"E","160","D"
"20151","02805515",25,5,"1",11,"E","170","D"
"20151","02805515",25,6,"1",52,"E","190","D"
"20151","02805565",64,0,"1",.,"H",,"A"
"20151","02805565",64,1,"1",8,"E","120","D"
"20151","02805565",64,2,"1",4,"E","140","D"
"20151","02805565",64,3,"1",67,"E","150","D"
"20151","02805565",64,4,"1",9,"E","160","D"
"20151","02805565",64,5,"1",6,"E","170","D"
"20151","02805565",64,6,"1",767,"E","180","D"
"20151","02805565",64,7,"1",6,"E","190","D"
"20151","02808165",54,0,"1",.,"H",,"A"
"20151","02808165",54,1,"1",89,"E","120","D"
"20151","02808165",54,2,"1",12,"E","140","D"
"20151","02808165",54,3,"1",691,"E","150","D"
"20151","02808165",54,4,"1",78,"E","160","D"
"20151","02808165",54,5,"1",78,"E","170","D"
