"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20151","02794335",51,0,"1",2,"D",.,"A",50,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",106,"D",.,"A"
"20151","02794405",31,0,"1",1,"D",340,"G",.,"A",.,"A",.,"A","2","D","1","D","2","D","2","D",100,"D",.,"A"
"20151","02796555",49,0,"1",2,"D",210,"D",24,"D",.,"A",62,"D",,"A",,"A",,"A",,"A",83,"D",.,"A"
"20151","02800335",48,0,"1",1,"D",143,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20151","02809085",53,0,"1",5,"D",700,"D",200,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",800,"D",.,"A"
"20151","02809315",57,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20151","02811975",57,0,"1",1,"D",97,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20151","02813465",63,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20151","02846794",25,0,"1",1,"D",129,"D",25,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20151","02867264",11,0,"1",4,"D",400,"D",30,"F",.,"A",.,"A",,"A",,"A",,"A",,"A",70,"F",.,"A"
"20151","02875024",60,0,"1",1,"D",45,"D",150,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",350,"D",.,"A"
"20151","02925603",33,0,"1",1,"D",85,"D",50,"D",.,"A",40,"D",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20151","02927193",41,0,"1",1,"D",.,"A",42,"G",.,"A",.,"A","1","D","2","D","2","D","2","D",99,"G",50,"D"
"20151","02932703",107,0,"1",1,"D",62,"G",24,"G",.,"A",24,"G","1","D","1","D","1","D","2","D",70,"G",.,"A"
"20151","02946873",35,0,"1",2,"D",150,"D",.,"A",.,"A",300,"D",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20151","02947463",21,0,"1",6,"D",6300,"D",.,"A",.,"A",240,"D",,"A",,"A",,"A",,"A",1200,"D",.,"A"
