"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151","02792005",19,0,"1",.,"A"
"20151","02792065",27,0,"1",.,"A"
"20151","02792075",19,0,"1",.,"A"
"20151","02792095",19,0,"1",.,"A"
"20151","02792115",26,0,"1",.,"A"
"20151","02792125",17,0,"1",.,"A"
"20151","02792155",23,0,"1",.,"A"
"20151","02792225",12,0,"1",.,"A"
"20151","02792245",45,0,"1",.,"A"
"20151","02792265",16,0,"1",75,"D"
"20151","02792275",35,0,"1",.,"A"
"20151","02792295",26,0,"1",.,"A"
"20151","02792335",20,0,"1",.,"A"
"20151","02792385",19,0,"1",.,"A"
"20151","02792415",21,0,"1",.,"A"
"20151","02792435",19,0,"1",.,"A"
"20151","02792455",8,0,"1",.,"A"
"20151","02792525",70,0,"1",.,"A"
"20151","02792585",14,0,"1",.,"A"
"20151","02792595",42,0,"1",.,"A"
"20151","02792605",20,0,"1",.,"A"
"20151","02792645",86,0,"1",.,"A"
"20151","02792725",30,0,"1",.,"A"
"20151","02792755",22,0,"1",.,"A"
"20151","02792805",49,0,"1",.,"A"
"20151","02792815",60,0,"1",6,"D"
"20151","02792825",74,0,"1",.,"A"
"20151","02792885",29,0,"1",.,"A"
"20151","02792925",62,0,"1",.,"A"
"20151","02792955",43,0,"1",.,"A"
"20151","02793075",13,0,"1",.,"A"
"20151","02793085",40,0,"1",.,"A"
"20151","02793125",39,0,"1",.,"A"
"20151","02793155",28,0,"1",.,"A"
"20151","02793225",36,0,"1",.,"A"
"20151","02793235",56,0,"1",.,"A"
"20151","02793245",43,0,"1",.,"A"
"20151","02793255",53,0,"1",.,"A"
"20151","02793275",46,0,"1",40,"D"
"20151","02793345",36,0,"1",.,"A"
"20151","02793355",22,0,"1",.,"A"
"20151","02793385",25,0,"1",.,"A"
"20151","02793455",14,0,"1",.,"A"
"20151","02793465",23,0,"1",.,"A"
"20151","02793475",29,0,"1",.,"A"
"20151","02793495",44,0,"1",.,"A"
