"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPMOA","VOPMOA_","VOPEXPX","VOPEXPX_","VOPRMBXA","VOPR_BXA","QVOPEQPX","QVOP_QPX","VOPSERVY","VOPS_RVY","VOPLABOR","VOPL_BOR","VOPREIMB","VOPR_IMB","VPSRVY1","VPSRVY1_","VPSRVY2","VPSRVY2_","VPSRVY3","VPSRVY3_","VPSRVY4","VPSRVY4_","VPSRVY5","VPSRVY5_","VPSRVY6","VPSRVY6_","VPSRVY7","VPSRVY7_","VPSRVY8","VPSRVY8_","VPSRVY9","VPSRVY9_"
"20151","02792005",20,0,"1","01","D",36,"D",.,"A",36,"D","140","D","1","F","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792005",21,0,"1","12","D",35,"D",.,"A",35,"D","140","D","1","F","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792065",28,0,"1","11","D",11,"D",.,"A",11,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792065",29,0,"1","01","D",11,"D",.,"A",11,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792065",30,0,"1","12","D",11,"D",.,"A",11,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792155",24,0,"1","12","D",30,"D",.,"A",30,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792245",46,0,"1","11","D",1200,"D",.,"A",.,"H","500","D","1","F","2","D","100","D","160","D","380","D","140","D",,"A",,"A",,"A",,"A",,"A"
"20151","02792245",46,1,"1","11","D",.,"B",.,"A",98,"E","100","D","1","F",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792245",46,2,"1","11","D",.,"B",.,"A",263,"E","160","D","1","F",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792245",46,3,"1","11","D",.,"B",.,"A",839,"E","380","D","1","F",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792245",47,0,"2","11","D",900,"D",.,"A",900,"D","380","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792415",22,0,"1","12","D",110,"D",.,"A",.,"H","500","D","1","D","2","D","160","D","370","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792415",22,1,"1","12","D",.,"B",.,"A",34,"E","160","D","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792415",22,2,"1","12","D",.,"B",.,"A",64,"E","370","D","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792415",22,3,"1","12","D",.,"B",.,"A",12,"E","100","D","1","D",,"B",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792525",71,0,"1","01","D",200,"D",.,"A",200,"D","110","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792525",72,0,"1","11","D",50,"D",.,"A",50,"D","367","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792595",43,0,"1","11","D",50,"D",.,"A",50,"D","100","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20151","02792605",21,0,"1","01","D",400,"D",.,"A",400,"D","140","D","2","F","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
