"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20151","02792005",22,0,"1","420","D","01","D",31,"D",,"A",,"A",,"A",,"A"
"20151","02792245",48,0,"2","400","D","11","D",50,"D",,"A",,"A",,"A",,"A"
"20151","02792295",27,0,"2","420","D","11","D",65,"D",,"A",,"A",,"A",,"A"
"20151","02792595",44,0,"1","400","D","11","D",36,"D",,"A",,"A",,"A",,"A"
"20151","02792595",45,0,"1","420","D","11","D",120,"D",,"A",,"A",,"A",,"A"
"20151","02792815",63,0,"1","420","D","12","D",43,"D",,"A",,"A",,"A",,"A"
"20151","02792815",64,0,"1","420","D","01","D",55,"D",,"A",,"A",,"A",,"A"
"20151","02792815",65,0,"1","410","D","01","D",15,"D",,"A",,"A",,"A",,"A"
"20151","02792885",31,0,"1","420","D","01","D",60,"D",,"A",,"A",,"A",,"A"
"20151","02792925",63,0,"1","410","D","11","D",400,"D",,"A",,"A",,"A",,"A"
"20151","02793255",56,0,"1","400","D","12","D",20,"D",,"A",,"A",,"A",,"A"
"20151","02793585",40,0,"2","420","D","11","D",109,"F",,"A",,"A",,"A",,"A"
"20151","02793855",51,0,"1","410","D","11","D",14,"D",,"A",,"A",,"A",,"A"
"20151","02793855",52,0,"1","420","D","12","D",175,"D",,"A",,"A",,"A",,"A"
"20151","02794015",55,0,"2","410","D","11","D",18,"D",,"A",,"A",,"A",,"A"
"20151","02794205",53,0,"1","420","D","01","D",135,"D",,"A",,"A",,"A",,"A"
"20151","02794205",54,0,"1","400","D","11","D",35,"D",,"A",,"A",,"A",,"A"
"20151","02794335",61,0,"2","420","D","11","D",100,"D",,"A",,"A",,"A",,"A"
"20151","02794335",62,0,"2","410","D","11","D",80,"D",,"A",,"A",,"A",,"A"
"20151","02794365",29,0,"1","420","D","01","D",140,"D",,"A",,"A",,"A",,"A"
"20151","02795105",26,0,"1","420","D","11","D",202,"D",,"A",,"A",,"A",,"A"
"20151","02795165",88,0,"1","420","D","01","D",122,"D",,"A",,"A",,"A",,"A"
"20151","02795205",79,0,"1","410","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20151","02795205",80,0,"2","410","D","11","D",10,"D",,"A",,"A",,"A",,"A"
"20151","02795445",35,0,"1","410","D","12","D",35,"D",,"A",,"A",,"A",,"A"
"20151","02795515",39,0,"1","420","D","01","D",160,"D",,"A",,"A",,"A",,"A"
"20151","02795695",39,0,"1","420","D","11","D",36,"D",,"A",,"A",,"A",,"A"
"20151","02795715",51,0,"1","400","D","01","D",25,"D",,"A",,"A",,"A",,"A"
"20151","02796055",28,0,"1","420","D","01","D",45,"D",,"A",,"A",,"A",,"A"
"20151","02796205",42,0,"1","420","D","01","D",36,"D",,"A",,"A",,"A",,"A"
"20151","02796265",41,0,"1","405","D","12","D",850,"D",,"A",,"A",,"A",,"A"
"20151","02796555",58,0,"1","420","D","11","D",202,"D",,"A",,"A",,"A",,"A"
"20151","02796595",76,0,"1","410","D","11","D",45,"D",,"A",,"A",,"A",,"A"
"20151","02796625",37,0,"1","420","D","12","D",45,"D",,"A",,"A",,"A",,"A"
"20151","02796735",31,0,"1","410","D","11","D",60,"D",,"A",,"A",,"A",,"A"
"20151","02796735",32,0,"1","420","D","11","D",173,"D",,"A",,"A",,"A",,"A"
"20151","02796735",33,0,"1","400","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20151","02796775",62,0,"1","405","D","12","D",265,"D",,"A",,"A",,"A",,"A"
"20151","02796945",39,0,"1","410","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20151","02796945",40,0,"1","405","D","11","D",31,"D",,"A",,"A",,"A",,"A"
"20151","02797195",42,0,"1","420","D","12","D",200,"D",,"A",,"A",,"A",,"A"
"20151","02797405",74,0,"1","405","D","12","D",350,"D",,"A",,"A",,"A",,"A"
"20151","02797525",35,0,"1","400","D","12","D",35,"D",,"A",,"A",,"A",,"A"
"20151","02797585",36,0,"1","405","D","11","D",90,"D",,"A",,"A",,"A",,"A"
"20151","02797695",32,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20151","02797725",39,0,"1","410","D","12","D",55,"D",,"A",,"A",,"A",,"A"
"20151","02797935",21,0,"1","420","D","01","D",215,"D",,"A",,"A",,"A",,"A"
"20151","02798085",35,0,"1","420","D","11","D",20,"D",,"A",,"A",,"A",,"A"
"20151","02798085",36,0,"1","405","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20151","02798175",23,0,"1","420","D","01","D",63,"D",,"A",,"A",,"A",,"A"
"20151","02798275",35,0,"1","410","D","01","D",40,"D",,"A",,"A",,"A",,"A"
"20151","02798275",36,0,"1","420","D","12","D",501,"D",,"A",,"A",,"A",,"A"
"20151","02798395",8,0,"1","400","D","11","D",200,"F",,"A",,"A",,"A",,"A"
"20151","02798405",55,0,"1","405","D","01","D",302,"D",,"A",,"A",,"A",,"A"
"20151","02798425",34,0,"1","400","D","01","D",23,"D",,"A",,"A",,"A",,"A"
"20151","02798555",30,0,"1","420","D","01","D",512,"D",,"A",,"A",,"A",,"A"
"20151","02798665",59,0,"1","420","D","01","D",500,"D",,"A",,"A",,"A",,"A"
"20151","02798785",20,0,"1","420","D","11","D",73,"D",,"A",,"A",,"A",,"A"
"20151","02798805",51,0,"1","420","D","01","D",302,"D",,"A",,"A",,"A",,"A"
"20151","02798865",44,0,"1","410","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20151","02798865",45,0,"1","420","D","11","D",350,"D",,"A",,"A",,"A",,"A"
"20151","02798985",28,0,"1","400","D","12","D",25,"D",,"A",,"A",,"A",,"A"
"20151","02799265",24,0,"1","420","D","01","D",175,"D",,"A",,"A",,"A",,"A"
"20151","02799395",37,0,"1","410","D","01","D",36,"D",,"A",,"A",,"A",,"A"
"20151","02799445",19,0,"1","410","D","12","D",12,"D",,"A",,"A",,"A",,"A"
"20151","02799685",30,0,"1","430","D","12","D",.,"H","405","D","415","D",,"A",,"A"
"20151","02799685",30,1,"1","405","D","12","D",291,"E",,"A",,"A",,"A",,"A"
"20151","02799685",30,2,"1","420","D","12","D",29,"E",,"A",,"A",,"A",,"A"
"20151","02799695",46,0,"1","410","D","12","D",52,"D",,"A",,"A",,"A",,"A"
"20151","02799695",47,0,"1","420","D","12","D",50,"D",,"A",,"A",,"A",,"A"
"20151","02799695",48,0,"1","420","D","12","D",20,"D",,"A",,"A",,"A",,"A"
"20151","02799785",33,0,"1","410","D","12","D",40,"D",,"A",,"A",,"A",,"A"
"20151","02799975",26,0,"1","410","D","01","D",30,"D",,"A",,"A",,"A",,"A"
"20151","02800065",53,0,"1","420","D","01","D",18,"D",,"A",,"A",,"A",,"A"
"20151","02800065",54,0,"2","410","D","11","D",80,"D",,"A",,"A",,"A",,"A"
"20151","02800175",90,0,"1","420","D","01","D",36,"D",,"A",,"A",,"A",,"A"
"20151","02800175",91,0,"1","410","D","01","D",69,"D",,"A",,"A",,"A",,"A"
"20151","02800265",74,0,"1","420","D","11","D",80,"D",,"A",,"A",,"A",,"A"
"20151","02800335",56,0,"1","420","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20151","02800485",43,0,"1","420","D","01","D",75,"D",,"A",,"A",,"A",,"A"
"20151","02800775",23,0,"1","405","D","11","D",50,"D",,"A",,"A",,"A",,"A"
"20151","02800895",21,0,"2","420","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20151","02801085",45,0,"1","430","D","01","D",.,"H","410","D","415","D",,"A",,"A"
"20151","02801085",45,1,"1","410","D","01","D",81,"E",,"A",,"A",,"A",,"A"
"20151","02801085",45,2,"1","420","D","01","D",26,"E",,"A",,"A",,"A",,"A"
"20151","02801185",33,0,"1","410","D","12","D",20,"D",,"A",,"A",,"A",,"A"
"20151","02801185",34,0,"1","420","D","12","D",400,"D",,"A",,"A",,"A",,"A"
"20151","02801305",24,0,"1","420","D","01","D",101,"D",,"A",,"A",,"A",,"A"
"20151","02801505",38,0,"1","420","D","01","D",114,"D",,"A",,"A",,"A",,"A"
"20151","02801765",98,0,"1","405","D","12","D",122,"D",,"A",,"A",,"A",,"A"
"20151","02801825",58,0,"2","400","D","11","D",33,"D",,"A",,"A",,"A",,"A"
"20151","02801955",34,0,"2","420","D","11","D",180,"D",,"A",,"A",,"A",,"A"
"20151","02802075",26,0,"1","420","D","12","D",120,"D",,"A",,"A",,"A",,"A"
"20151","02802175",69,0,"1","410","D","11","D",44,"D",,"A",,"A",,"A",,"A"
"20151","02802195",47,0,"1","400","D","01","D",38,"D",,"A",,"A",,"A",,"A"
"20151","02802235",18,0,"1","410","D","01","D",15,"D",,"A",,"A",,"A",,"A"
"20151","02802345",31,0,"1","420","D","12","D",80,"D",,"A",,"A",,"A",,"A"
"20151","02802795",12,0,"1","420","D","11","D",400,"D",,"A",,"A",,"A",,"A"
"20151","02803115",56,0,"1","410","D","01","D",55,"D",,"A",,"A",,"A",,"A"
