"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20151","02792005",24,0,"1",1300,"D",260,"D",130,"D",260,"D",0,"D",.,"A",.,"A",1040,"D",135,"D",10,"D",130,"D",.,"A",.,"A"
"20151","02792065",32,0,"1",520,"D",0,"D",130,"D",1560,"D",0,"D",.,"A",.,"A",520,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792075",21,0,"1",1170,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792095",21,0,"1",910,"D",130,"D",.,"A",0,"D",6,"D",.,"A",.,"A",780,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792115",28,0,"1",1690,"D",520,"D",520,"D",0,"D",0,"D",.,"A",.,"A",1170,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792125",19,0,"1",1300,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",975,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792155",26,0,"1",520,"D",130,"D",.,"A",26,"D",60,"D",.,"A",.,"A",390,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792225",14,0,"1",520,"D",78,"D",.,"A",0,"D",0,"D",.,"A",.,"A",442,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792245",50,0,"1",2600,"D",650,"D",.,"A",1300,"D",0,"D",.,"A",240,"D",1950,"D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792265",18,0,"1",975,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",845,"D",0,"D",30,"D",390,"D",.,"A",.,"A"
"20151","02792275",37,0,"1",910,"D",130,"D",.,"A",130,"D",0,"D",.,"A",.,"A",780,"D",0,"D",20,"D",260,"D",.,"A",.,"A"
"20151","02792295",29,0,"1",2600,"D",650,"D",.,"A",650,"D",0,"D",.,"A",.,"A",1950,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792335",22,0,"1",1950,"D",520,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1430,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20151","02792385",21,0,"1",780,"D",0,"D",.,"A",1040,"D",0,"D",.,"A",.,"A",780,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
