"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"02792005",1,"2014","2013",0,0.153,0.153,"1",0.15,0.15,"01","D",0.0387,0.0387,0,"D",0,"D",23920,"D",0,"D",-728,"D",0,"D",0,"D",0,"D",0,"D",600,"D",0,"D",0,"D",0,"D",2388,"D",1530,727,1532.55,1502.55,727.08,728.58,3659.76,3659.76,23192,23192,23192.01,23192.01,0,0,0,0,0,0,0,0,23192,23192,0,0,1532.55,1502.55,1532.55,1502.55,2332,2332,4817.88,4817.88,0,0,0,0,0,0,0
"02792065",1,"2014","2013",0,0.153,0.153,"1",0.25,0.25,"05","D",0.08,0.093,0,"D",0,"D",55000,"D",0,"D",-838,"D",0,"D",0,"D",0,"D",7800,"D",0,"D",60,"D",0,"D",0,"D",0,"D",6960,2126,6969.25,6859.25,2130.29,2075.71,8415,8415,54162,54162,54162.01,54162.01,0,0,0,0,0,0,0,0,54162,54162,0,0,6969.25,6859.25,6969.25,6859.25,3906,3992,60,60,0,0,0,0,0,0,0
"02792075",1,"2014","2013",1,0.153,0.153,"2",0.1598,0.1598,"44","D",0,0,0,"D",0,"D",23500,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3100,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-3159,0,-3149.33,-3266.65,0,0,3595.5,3595.5,23500,23500,0,0,0,0,0,0,0,0,3149.33,3266.65,23500,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02792095",1,"2014","2013",0,0.153,0.153,"1",0.1488,0.1488,"10","D",0,0,0,"D",0,"D",45000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2500,"D",0,"D",0,"D",0,"D",4260,"D",4618,0,4618.89,4602.82,0,0,6885,6885,45000,45000,0,0,0,0,0,0,0,0,0,0,40740,40740,0,0,4618.89,4602.82,4618.89,4602.82,0,0,0,0,0,0,0,0,0,0,0
"02792115",1,"2014","2013",1,0,0,"3",-0.34,-0.34,"33","D",-0.102,-0.102,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4307,"D",0,"D",16440,"D",0,"D",295,"D",0,"D",0,"D",560,"D",0,-100,0,0,-100,-100,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,10950,0,0,0,0,0,0,0,0,0
"02792115",2,"2014","2013",0,0.153,0.153,"1",-0.0765,-0.0765,"33","D",-0.023,-0.023,0,"D",0,"D",6108,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-467,-140,-467.26,-467.26,-140.18,-140.18,934.52,934.52,6108,6108,6108.01,6108.01,0,0,0,0,0,0,467.26,467.26,6108,6108,0,0,0,0,0,0,7700,7800,0,0,0,0,0,0,140.18,140.18,0
"02792115",3,"2014","2013",0,0.153,0.153,"1",0.15,0.15,"33","D",0.0645,0.0645,0,"D",0,"D",38940,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3892,1688,3894.75,3864.75,1688.79,1679.64,5957.82,5957.82,38940,38940,38940.01,38940.01,0,0,0,0,0,0,0,0,38940,38940,0,0,3894.75,3864.75,3894.75,3864.75,7700,7800,0,0,0,0,0,0,0,0,0
"02792125",1,"2014","2013",2,0,0,"3",-0.4,-0.4,"33","D",-0.12,-0.12,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5112,"D",0,"D",0,"D",0,"D",0,"D",113,"D",0,-200,0,0,-200,-200,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,10950,0,0,0,0,0,0,0,0,0
"02792155",1,"2014","2013",0,0,0,"1",0.2311,0.2311,"12","D",0.0763,0.0763,1,"D",1,"D",0,"D",0,"D",337,"D",68000,"D",20159,"D",0,"D",0,"D",2100,"D",0,"D",0,"D",0,"D",2000,"D",14289,4034,14295.71,14210.71,4034.04,4034.04,0,0,85472.15,85472.15,68337.01,68337.01,0,0,0,0,0,0,0,0,83472.15,83472.15,0,0,14295.71,14210.71,14295.71,14210.71,2200,2200,8104.33,8104.33,0,0,0,0,0,0,0
"02792225",1,"2014","2013",0,0,0,"1",0,0,"10","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",550,"D",0,"D",0,"D",0,"D",120,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02792245",1,"2014","2013",2,0.153,0.153,"2",0.15,0.15,"05","D",0.04,0.04,0,"D",0,"D",0,"D",58757,"D",0,"D",0,"D",0,"D",0,"D",38268,"D",0,"D",20,"D",0,"D",1,"D",0,"D",2745,179,2751.05,2676.05,183.11,139.05,8989.82,8989.82,58757,58757,58757.01,58757.01,1000,1000,0,0,0,0,0,0,58757,58757,0,0,3751.05,3676.05,3751.05,3676.05,7812,7984,20,20,0,0,0,0,0,0,0
"02792265",1,"2014","2013",2,0,0,"3",-0.4,-0.4,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4560,"D",0,"D",0,"D",0,"D",0,"D",60,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812,7984,60,60,0,0,0,0,0,0,0
"02792275",1,"2014","2013",0,0.153,0.153,"2",0.0765,0.0765,"18","D",0,0,1,"D",1,"D",0,"D",10725,"D",0,"D",6828,"D",28868,"D",0,"D",0,"D",350,"D",150,"D",0,"D",0,"D",0,"D",-165,0,-162.41,-189.01,0,0,1640.92,1640.92,17553,17553,10725.01,10725.01,0,0,0,0,0,0,162.41,189.01,17553,17553,0,0,0,0,0,0,2360,2400,500,500,0,0,0,0,0,0,0
"02792295",1,"2014","2013",0,0.153,0.153,"2",0.15,0.15,"44","D",0,0,1,"D",1,"D",0,"D",50000,"D",20,"D",0,"D",12059,"D",0,"D",11020,"D",0,"D",0,"D",0,"D",0,"D",4000,"D",4963,0,4968.02,4908.02,0,0,7650,7650,60270.15,60270.15,0,0,0,0,0,0,0,0,0,0,60270.15,60270.15,0,0,4968.02,4908.02,4968.02,4908.02,0,0,0,0,0,0,0,0,0,0,0
"02792335",1,"2014","2013",4,0.153,0.153,"2",0.2106,0.2106,"44","D",0,0,0,"D",0,"D",30000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1000,"D",220,"D",0,"D",4,"D",6552,"D",-8558,0,-8542.42,-8723.56,0,0,4590,4590,30000,30000,0,0,0,0,4000,4000,0,0,4542.42,4723.56,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02792385",1,"2014","2013",0,0.153,0.153,"1",0.25,0.25,"11","D",0.06,0.06,0,"D",0,"D",65000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8100,"D",0,"D",0,"D",0,"D",0,"D",2400,"D",9670,3410,9678.75,9568.75,3410,3410,9945,9945,65000,65000,65000.01,65000.01,0,0,0,0,0,0,0,0,65000,65000,0,0,9678.75,9568.75,9678.75,9568.75,2300,2300,0,0,0,0,0,0,0,0,0
