"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"03088724",1,"2013","2012",2,0.153,0.133,"2",0.15,0.15,"06","D",0.0463,0.0463,0,"D",0,"D",17318,"D",59000,"D",0,"D",0,"D",0,"D",0,"D",12300,"D",0,"D",0,"D",0,"D",2,"D",0,"D",4513,2279,4512.7,4385.2,2278.79,2246.38,10150.29,11676.65,76318,76318,0,0,2000,2000,0,0,0,0,0,0,76318,76318,0,0,6512.7,6385.2,6512.7,6385.2,0,0,0,0,0,0,0,0,0,0,0
"03088744",1,"2013","2012",0,0.153,0.133,"1",0.2423,0.2423,"39","D",0.0307,0.0307,0,"D",0,"D",58365,"D",0,"D",2,"D",0,"D",0,"D",0,"D",0,"D",2200,"D",204,"D",0,"D",0,"D",4352,"D",7535,1792,7534.78,7408.53,1791.87,1791.87,7762.55,8929.84,58367,58367,58367.01,58367.01,0,0,0,0,0,0,0,0,54015,54015,0,0,7534.78,7408.53,7534.78,7408.53,0,0,0,0,0,0,0,0,0,0,0
"03088784",1,"2013","2012",2,0,0,"3",-0.4,-0.4,"12","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",11700,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,-405,0,0,-405,-405,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,3212,0.17,0.17,0,0,0,0,0,0,0
"03088894",1,"2013","2012",1,0.153,0.133,"3",0.3098,0.3098,"23","D",0.0521,0.0529,0,"D",0,"D",35791,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",67,"D",0,"D",0,"D",0,"D",2121,1213,2121.47,1886.76,1212.94,1165.45,4760.2,5476.02,35791,35791,35791.01,35791.01,0,0,0,0,0,0,182.18,331.89,35791,35791,0,0,2303.65,2218.65,2303.65,2218.65,0,0,0,0,0,0,0,0,10.93,19.91,0
"03088914",1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"10","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15495,"D",0,"D",0,"D",1200,"D",100,"D",0,"D",0,"D",15012,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03088954",1,"2013","2012",0,0.029,0.029,"1",0.26,0.26,"38","D",0.09,0.09,0,"D",0,"D",130000,"D",0,"D",3050,"D",0,"D",0,"D",0,"D",0,"D",7000,"D",21576,"D",0,"D",0,"D",21576,"D",15827,6501,15827.24,15489.24,6500.82,6670.32,15220.4,17868.8,133050,133050,133050.01,133050.01,0,0,0,0,0,0,0,0,111474,111474,1647.95,1478.57,14179.3,14010.67,14179.3,14010.67,2025.4,2080.01,50152,50152,0,0,0,0,0,0,0
"03088954",2,"2013","2012",0,0.153,0.133,"1",0.25,0.25,"38","D",0.09,0.09,0,"D",0,"D",52000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6593,3538,6592.5,6428.75,3537.71,3514.3,6916,7956,52000,52000,52000.01,52000.01,0,0,0,0,0,0,0,0,52000,52000,0,0,6592.5,6428.75,6592.5,6428.75,2025.4,2080.01,0,0,0,0,0,0,0,0,0
"03089104",1,"2013","2012",0,0.153,0.133,"1",0.1765,0.1765,"44","D",0,0,0,"D",0,"D",12753,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7488,"D",0,"D",0,"D",0,"D",0,"D",0,"D",208,0,208.03,154.2,0,0,1696.15,1951.21,12753,12753,0,0,0,0,0,0,0,0,92.27,121.1,12753,12753,0,0,300.3,275.3,300.3,275.3,0,0,0,0,0,0,0,0,0,0,0
"03089124",1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",27000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9600,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2153,0,2152.5,2103.75,0,0,3591,4131,27000,27000,0,0,0,0,0,0,0,0,0,0,27000,27000,0,0,2152.5,2103.75,2152.5,2103.75,0,0,0,0,0,0,0,0,0,0,0
"03089134",1,"2013","2012",2,0,0,"3",0.138,0.138,"05","D",0.08,0.08,0,"D",0,"D",0,"D",0,"D",67745,"D",0,"D",0,"D",0,"D",0,"D",3700,"D",227,"D",0,"D",0,"D",4820,"D",6358,1078,6357.97,6304.65,1078.2,1016.97,0,0,67745,67745,67745.01,67745.01,0,0,0,0,0,0,0,0,62925,62925,0,0,6357.97,6304.65,6357.97,6304.65,7682,7812,8747,8747,0,0,0,0,0,0,0
"03089164",1,"2013","2012",2,0.153,0.133,"2",0.2894,0.2892,"23","D",0.0425,0.0433,0,"D",0,"D",84000,"D",63648,"D",-10583,"D",0,"D",0,"D",0,"D",0,"D",6300,"D",410,"D",0,"D",2,"D",16164,"D",14840,5283,14840.21,14570.06,5283.16,5153.76,19637.18,22590.14,137065,137065,137065.01,137065.01,646.75,646.75,0,0,0,0,0,0,120901,120901,0,0,15486.96,15216.81,15486.96,15216.81,0,0,0,0,0,0,0,0,0,0,0
"03089204",1,"2013","2012",0,0,0,"1",0,0,"38","D",0,0,0,"D",0,"D",0,"D",0,"D",10464,"D",0,"D",0,"D",0,"D",0,"D",7900,"D",1046,"D",0,"D",0,"D",2035,"D",0,0,0,0,0,0,0,0,10464,10464,10464.01,10464.01,0,0,0,0,0,0,0,0,8429,8429,0,0,0,0,0,0,2025.4,2080.01,10981,10981,0,0,0,0,0,0,0
"03089204",3,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"38","D",-0.0046,-0.0046,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",16764,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.4,2080.01,0,0,0,0,0,0,0,0,0
"03089224",1,"2013","2012",0,0,0,"1",0,0,"21","D",0,0,1,"D",1,"D",0,"D",0,"D",57,"D",0,"D",18262,"D",0,"D",0,"D",1900,"D",35,"D",0,"D",0,"D",200,"D",0,0,0,0,0,0,0,0,57,57,57.01,57.01,0,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0
"03089234",1,"2013","2012",3,0.153,0.133,"2",0.2106,0.2106,"39","D",0,0,0,"D",0,"D",0,"D",26000,"D",0,"D",0,"D",0,"D",0,"D",5220,"D",0,"D",0,"D",0,"D",1,"D",0,"D",-6112,0,-6111.78,-6384.82,0,0,3458,3978,26000,26000,26000.01,26000.01,0,0,1000,1000,0,0,5111.78,5384.82,26000,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03089304",1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"23","D",0.0425,0.0433,0,"D",0,"D",0,"D",42879,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1000,"D",0,"D",0,"D",0,"D",428,"D",2637,1531,2636.85,2539.35,1530.78,1486.61,5702.91,6560.49,42879,42879,42879.01,42879.01,0,0,0,0,0,0,0,0,42879,42879,0,0,2636.85,2539.35,2636.85,2539.35,0,0,0,0,0,0,0,0,0,0,0
"03089394",1,"2013","2012",6,0.153,0.133,"3",-0.6,-0.6,"23","D",0.0115,0.0024,0,"D",0,"D",11255,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9900,"D",0,"D",0,"D",0,"D",4,"D",0,"D",-6303,-1483,-6303,-6303,-1483.28,-1745.03,1496.92,1722.01,11255,11255,11255.01,11255.01,0,0,1238.25,1238.25,0,0,5064.75,5064.75,11255,11255,0,0,0,0,0,0,0,0,0,0,951.62,951.62,0,0,303.89,303.89,0
"03089404",1,"2013","2012",0,0,0,"1",0,0,"22","D",0,0,1,"D",1,"D",0,"D",0,"D",-1766,"D",1700,"D",4438,"D",0,"D",0,"D",4200,"D",22,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,-66,-66,-65.99,-65.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03089444",1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"38","D",0.0765,0.0765,0,"D",0,"D",23000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9900,"D",0,"D",741,"D",0,"D",0,"D",0,"D",1553,1337,1552.5,1503.75,1336.99,1331.46,3059,3519,23000,23000,23000.01,23000.01,0,0,0,0,0,0,0,0,23000,23000,0,0,1552.5,1503.75,1552.5,1503.75,2025.4,2080.01,741,741,0,0,0,0,0,0,0
"03089474",1,"2013","2012",0,0,0,"1",0,0,"11","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",6262,"D",0,"D",1692,"D",0,"D",16,"D",0,"D",0,"D",600,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,0,0,0
"03089514",1,"2013","2012",3,0.153,0.133,"2",0.3106,0.3106,"44","D",0,0,0,"D",0,"D",32000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",1075,"D",0,"D",2,"D",6036,"D",-5738,0,-5738.18,-6091.22,0,0,4256,4896,32000,32000,0,0,110,30,1890,1970,0,0,3848.18,4121.22,32000,32000,0,0,110,30,110,30,0,0,0,0,0,0,0,0,0,0,0
"03089614",1,"2013","2012",0,0.153,0.133,"2",0.1,0.1,"07","D",0.0075,0.0075,0,"D",0,"D",17812,"D",10000,"D",0,"D",0,"D",0,"D",0,"D",9576,"D",0,"D",3,"D",0,"D",0,"D",0,"D",831,29,831.2,781.2,28.59,28.59,3699,4255.24,27812,27812,27812.01,27812.01,0,0,0,0,0,0,0,0,27812,27812,0,0,831.2,781.2,831.2,781.2,0,0,0,0,0,0,0,0,0,0,0
"03089654",1,"2013","2012",2,0.153,0.133,"2",0.099,0.099,"10","D",0,0,0,"D",0,"D",0,"D",28009,"D",6231,"D",10784,"D",0,"D",0,"D",0,"D",2200,"D",30,"D",0,"D",2,"D",13532,"D",-662,0,-661.8,-702.12,0,0,3725.2,4285.38,45024,45024,0,0,1338.2,1297.88,661.8,702.12,0,0,0,0,31492,31492,0,0,1338.2,1297.88,1338.2,1297.88,0,0,0,0,0,0,0,0,0,0,0
"03089754",1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"44","D",0,0,0,"D",0,"D",21000,"D",0,"D",-12,"D",0,"D",0,"D",0,"D",0,"D",1100,"D",0,"D",0,"D",0,"D",240,"D",1251,0,1250.7,1201.95,0,0,2793,3213,20988,20988,0,0,0,0,0,0,0,0,0,0,20988,20988,0,0,1250.7,1201.95,1250.7,1201.95,0,0,0,0,0,0,0,0,0,0,0
"03089754",2,"2013","2012",0,0.153,0.133,"1",0.1765,0.1765,"44","D",0,0,0,"D",0,"D",12000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",75,0,75.13,21.3,0,0,1596,1836,12000,12000,0,0,0,0,0,0,0,0,149.87,178.7,12000,12000,0,0,225,200,225,200,0,0,0,0,0,0,0,0,0,0,0
"03089794",1,"2013","2012",2,0.153,0.133,"2",0.15,0.15,"50","D",0.0751,0.0779,0,"D",0,"D",30000,"D",28000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2700,"D",400,"D",0,"D",0,"D",5548,"D",3765,1852,3765,3637.5,1852.4,1704.76,7714,8874,58000,58000,58000.01,58000.01,0,0,0,0,0,0,0,0,58000,58000,0,0,3765,3637.5,3765,3637.5,10076.18,10314.7,5548,5548,0,0,0,0,0,0,0
"03089814",1,"2013","2012",1,0.153,0.133,"3",0.15,0.15,"23","D",0.0425,0.0433,0,"D",0,"D",55096,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15,"D",0,"D",0,"D",0,"D",5199,2060,5199.4,5114.4,2059.78,2005.83,7327.77,8429.69,55096,55096,55096.01,55096.01,0,0,0,0,0,0,0,0,55096,55096,0,0,5199.4,5114.4,5199.4,5114.4,0,0,0,0,0,0,0,0,0,0,0
"03089834",1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",24635,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3000,"D",40,"D",0,"D",0,"D",0,"D",1798,0,1797.75,1749,0,0,3276.46,3769.15,24635,24635,0,0,0,0,0,0,0,0,0,0,24635,24635,0,0,1797.75,1749,1797.75,1749,0,0,0,0,0,0,0,0,0,0,0
"03089834",2,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",44817,"D",0,"D",-2000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4525,0,4525.05,4476.3,0,0,5960.66,6857,42817,42817,0,0,0,0,0,0,0,0,0,0,42817,42817,0,0,4525.05,4476.3,4525.05,4476.3,0,0,0,0,0,0,0,0,0,0,0
"03089964",1,"2013","2012",0,0.029,0.029,"2",0.2325,0.2325,"34","D",0.07,0.07,0,"D",0,"D",125000,"D",0,"D",-17500,"D",0,"D",14098,"D",0,"D",0,"D",2800,"D",0,"D",0,"D",0,"D",12936,"D",14614,5931,14614.08,14361.58,5930.98,5930.98,15075.4,17723.8,119483.3,119483.3,107500.01,107500.01,0,0,0,0,0,0,0,0,106547.3,106547.3,0,0,14614.08,14361.58,14614.08,14361.58,6000,6000,15736,15736,0,0,0,0,0,0,0
"03090084",1,"2013","2012",0,0,0,"1",0,0,"41","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",17254,"D",0,"D",5040,"D",0,"D",16,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,-15000,-15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03090094",1,"2013","2012",3,0.153,0.133,"2",0.1395,0.1395,"34","D",0.07,0.07,0,"D",0,"D",0,"D",75341,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",0,"D",0,"D",3,"D",6080,"D",2871,3321,2871.03,2773.53,3320.77,3320.77,10020.35,11527.17,75341,75341,75341.01,75341.01,3000,3000,0,0,0,0,0,0,69261,69261,0,0,5871.03,5773.53,5871.03,5773.53,6000,6000,8080,8080,0,0,0,0,0,0,0
"03090134",1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"05","D",0.02,0.02,0,"D",0,"D",16885,"D",0,"D",0,"D",0,"D",0,"D",0,"D",19200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",714,22,713.5,688.5,22.33,17.76,2245.71,2583.4,16885,16885,16885.01,16885.01,0,0,0,0,0,0,0,0,16885,16885,0,0,713.5,688.5,713.5,688.5,3841,3906,0,0,0,0,0,0,0,0,0
"03090134",2,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"05","D",0.04,0.04,0,"D",0,"D",26285,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2045,366,2045.25,1996.5,365.69,353.81,3495.91,4021.6,26285,26285,26285.01,26285.01,0,0,0,0,0,0,0,0,26285,26285,0,0,2045.25,1996.5,2045.25,1996.5,3841,3906,0,0,0,0,0,0,0,0,0
"03090224",1,"2013","2012",2,0.153,0.133,"2",0.1414,0.1414,"47","D",0.0575,0.0575,0,"D",0,"D",32000,"D",41394,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",187,"D",0,"D",2,"D",16912,"D",2635,2393,2635.29,2552.79,2393.06,2393.06,9761.4,11229.28,73394,73394,73394.01,73394.01,2000,2000,0,0,0,0,0,0,56482,56482,0,0,4635.29,4552.79,4635.29,4552.79,6000,6000,19099,19099,0,0,0,0,0,0,0
"03090234",1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",20000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8400,"D",0,"D",15,"D",0,"D",0,"D",320,"D",1103,614,1102.5,1053.75,614,614,2660,3060,20000,20000,20000.01,20000.01,0,0,0,0,0,0,0,0,20000,20000,0,0,1102.5,1053.75,1102.5,1053.75,0,0,0,0,0,0,0,0,0,0,0
"03090244",1,"2013","2012",2,0.153,0.133,"3",0.25,0.25,"34","D",0.07,0.07,0,"D",0,"D",75380,"D",0,"D",-4408,"D",0,"D",0,"D",0,"D",16204,"D",20,"D",740,"D",0,"D",2,"D",60,"D",5363,3765,5363,5083,3765.04,3765.04,10025.54,11533.14,70972,70972,70972.01,70972.01,2000,2000,0,0,0,0,0,0,70972,70972,0,0,7363,7083,7363,7083,4400,4400,0,0,0,0,0,0,0,0,0
"03090274",1,"2013","2012",0,0.153,0.133,"2",0.1,0.1,"45","D",0,0,0,"D",0,"D",16500,"D",0,"D",4000,"D",0,"D",0,"D",0,"D",3600,"D",0,"D",0,"D",0,"D",0,"D",0,"D",100,0,100,50,0,0,2194.5,2524.5,20500,20500,20500.01,20500.01,0,0,0,0,0,0,0,0,20500,20500,0,0,100,50,100,50,0,0,0,0,0,0,0,0,0,0,0
"03090284",1,"2013","2012",2,0,0,"3",-0.4,-0.4,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",0,"D",0,"D",0,"D",1200,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03090294",1,"2013","2012",2,0.153,0.133,"2",0.1442,0.144,"01","D",0.039,0.04,0,"D",0,"D",61471,"D",16861,"D",-90,"D",0,"D",0,"D",0,"D",0,"D",500,"D",1078,"D",0,"D",2,"D",10752,"D",4350,2577,4350.3,4279.02,2576.8,2502.03,10418.16,11984.8,78242,78242,78242.01,78242.01,2000,2000,0,0,0,0,0,0,67490,67490,0,0,6350.3,6279.02,6350.3,6279.02,4000,4000,16755.76,18322.4,0,0,0,0,0,0,0
