QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20171,03387444,1,0,1,140,D,1,D,10,D,324,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388754,1,0,1,160,D,1,D,11,D,369,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,1,0,1,195,D,1,D,11,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389644,1,0,1,140,D,1,D,12,D,400,D,,A,80,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389694,1,0,1,180,D,1,D,11,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389884,1,0,1,120,D,1,D,12,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389984,1,0,1,140,D,1,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389984,2,0,1,160,D,1,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389984,3,0,2,140,D,1,D,10,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389984,4,0,2,160,D,1,D,10,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390464,1,0,1,100,D,1,D,12,D,504,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390574,1,0,2,140,D,1,D,10,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390774,1,0,1,100,D,1,D,10,D,600,D,,A,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391154,1,0,1,120,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391174,1,0,1,195,D,1,D,11,D,567,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391294,1,0,1,195,D,1,D,11,D,1732,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391314,1,0,1,195,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391324,1,0,1,195,D,1,D,12,D,296,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392004,1,0,1,140,D,1,D,12,D,449,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392234,1,0,1,140,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392374,1,0,1,195,D,1,D,12,D,1163,D,,A,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392384,1,0,1,100,D,1,D,11,D,3180,D,,A,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392384,2,0,2,100,D,1,D,10,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392994,1,0,1,180,D,1,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03393184,1,0,1,140,D,1,D,11,D,1160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394804,1,0,1,140,D,1,D,12,D,1198,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394804,2,0,1,100,D,1,D,12,D,649,D,,A,305,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394804,3,0,1,160,D,1,D,12,D,499,D,,A,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394804,4,0,1,120,D,1,D,12,D,209,D,,A,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394804,5,0,1,180,D,1,D,12,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03395074,1,0,1,195,D,1,D,12,D,2600,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03395214,1,0,1,100,D,1,D,10,D,177,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03395684,1,0,1,195,D,1,D,12,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03395974,1,0,1,195,D,1,D,12,D,1283,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396104,1,0,1,120,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396104,2,0,1,100,D,1,D,11,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
