QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,TVPURCH,APBGRPON,APBPURCH,APBP_RCH
20171,03386764,1,0,1,660,D,3,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03386774,1,0,1,440,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,,A
20171,03386774,2,0,1,480,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03386804,1,0,1,700,D,1,D,12,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03386924,1,0,1,645,D,1,D,11,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03386924,2,0,1,440,D,1,D,11,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,,A
20171,03386964,1,0,1,310,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03386974,1,0,1,650,D,1,D,12,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03386974,2,0,1,660,D,1,D,12,D,796,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03387004,1,0,1,500,D,1,D,10,D,212,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03387054,1,0,1,460,D,1,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
20171,03387084,1,0,1,240,D,1,D,12,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,A
