QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20171,03387104,3,0,1,450,D,2,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387154,5,0,1,470,D,1,D,12,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387444,9,0,1,450,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388094,7,0,1,450,D,1,D,10,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388094,8,0,1,470,D,1,D,11,D,63,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388314,8,0,1,460,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389244,4,0,1,470,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389264,8,0,1,450,D,1,D,10,D,111,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389484,8,0,1,460,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389494,8,0,1,470,D,1,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389604,2,0,1,450,D,1,D,12,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389824,4,0,2,450,D,1,D,10,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390524,3,0,2,470,D,1,D,10,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391284,6,0,1,450,D,1,D,11,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391674,10,0,2,470,D,1,D,10,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392774,8,0,1,450,D,2,D,11,D,51,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392894,8,0,1,460,D,1,D,10,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392894,9,0,1,460,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392894,10,0,1,460,D,1,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392894,11,0,2,460,D,1,D,10,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03393254,9,0,1,450,D,1,D,11,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03393544,39,0,1,470,D,1,D,12,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03393674,7,0,1,460,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03393674,8,0,1,470,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394034,5,0,1,450,D,1,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394284,3,0,1,450,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394424,10,0,1,450,D,1,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394694,2,0,1,470,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396054,2,0,1,450,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396054,3,0,1,460,D,1,D,12,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396054,4,0,1,470,D,1,D,12,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396404,4,0,1,490,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396404,5,0,1,490,D,1,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396404,6,0,1,490,D,1,D,10,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396444,10,0,1,450,D,1,D,12,D,51,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03397324,5,0,1,460,D,1,D,10,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
