QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20171,03386764,5,0,1,170,D,12,D,400,D
20171,03386764,6,0,1,110,D,13,D,1031,D
20171,03386764,7,0,1,120,D,13,D,2900,D
20171,03386774,8,0,1,150,D,13,D,80,D
20171,03386774,9,0,1,160,D,13,D,4,D
20171,03386804,2,0,1,170,D,13,D,100,D
20171,03386884,3,0,1,170,D,12,D,60,D
20171,03386924,7,0,1,170,D,12,D,125,D
20171,03386944,1,0,1,150,D,13,D,400,D
20171,03386964,11,0,1,150,D,13,D,2400,D
20171,03387004,6,0,1,110,D,13,D,800,D
20171,03387034,1,0,1,110,D,13,D,400,D
20171,03387084,9,0,1,150,D,13,D,25,D
20171,03387104,4,0,1,100,D,12,D,10000,D
20171,03387104,5,0,1,150,D,13,D,750,D
20171,03387104,6,0,1,160,D,12,D,1500,D
20171,03387104,7,0,1,150,D,12,D,2000,D
20171,03387104,8,0,2,160,D,10,D,200,D
20171,03387114,4,0,1,160,D,13,D,12,D
20171,03387154,6,0,1,170,D,12,D,100,D
20171,03387164,4,0,1,170,D,12,D,2000,D
20171,03387164,5,0,1,160,D,13,D,120,D
20171,03387194,2,0,1,150,D,13,D,120,D
20171,03387274,1,0,1,170,D,12,D,700,D
20171,03387304,3,0,1,150,D,13,D,20,D
20171,03387314,4,0,1,110,D,13,D,1400,D
20171,03387344,3,0,1,160,D,12,D,2150,D
20171,03387384,1,0,1,170,D,12,D,5,D
20171,03387404,2,0,1,150,D,13,D,650,D
20171,03387404,3,0,1,160,D,13,D,15,D
20171,03387424,22,0,1,170,D,12,D,120,D
20171,03387424,23,0,1,150,D,13,D,667,D
20171,03387444,10,0,1,170,D,12,D,300,D
20171,03387444,11,0,1,140,D,11,D,15,D
20171,03387474,1,0,1,160,D,13,D,10,D
20171,03387574,3,0,1,150,D,13,D,80,D
20171,03387584,6,0,1,170,D,12,D,400,D
20171,03387594,9,0,1,170,D,12,D,400,D
20171,03387614,2,0,1,150,D,13,D,20,D
20171,03387624,3,0,1,170,D,13,D,15,D
20171,03387624,4,0,1,150,D,11,D,1600,D
20171,03387654,2,0,1,150,D,13,D,20,D
20171,03387664,7,0,1,110,D,13,D,465,D
20171,03387684,3,0,1,160,D,13,D,600,D
20171,03387834,3,0,1,150,D,13,D,20,D
20171,03387904,2,0,1,100,D,13,D,75,D
20171,03387904,3,0,1,150,D,13,D,80,D
20171,03387904,4,0,1,160,D,11,D,140,D
20171,03387964,1,0,1,170,D,12,D,200,D
20171,03387994,5,0,1,150,D,13,D,40,D
20171,03388094,9,0,1,170,D,12,D,400,D
20171,03388144,5,0,1,170,D,12,D,50,D
20171,03388144,6,0,1,160,D,12,D,500,D
20171,03388214,5,0,1,170,D,12,D,135,D
20171,03388224,1,0,1,170,D,13,D,20,D
20171,03388224,2,0,1,150,D,11,D,125,D
20171,03388244,3,0,1,150,D,13,D,30,D
20171,03388264,3,0,1,170,D,13,D,10,D
20171,03388284,5,0,1,150,D,13,D,40,D
20171,03388304,1,0,1,150,D,13,D,315,F
20171,03388314,9,0,1,150,D,13,D,108,D
20171,03388344,21,0,1,170,D,12,D,120,D
20171,03388344,22,0,1,170,D,12,D,100,D
20171,03388454,2,0,1,170,D,12,D,300,D
20171,03388474,5,0,1,170,D,11,D,45,D
20171,03388474,6,0,1,170,D,12,D,20,D
20171,03388474,7,0,1,170,D,10,D,20,D
20171,03388474,8,0,1,170,D,11,D,20,D
20171,03388504,2,0,1,150,D,11,D,315,F
20171,03388524,2,0,1,150,D,13,D,25,D
20171,03388554,3,0,1,130,D,12,D,300,D
20171,03388554,4,0,1,150,D,12,D,250,D
20171,03388574,1,0,1,150,D,13,D,100,D
20171,03388584,3,0,1,160,D,12,D,50,D
20171,03388624,3,0,1,140,D,12,D,150,D
20171,03388734,11,0,1,170,D,11,D,150,D
20171,03388734,12,0,1,170,D,12,D,450,D
20171,03388734,13,0,1,160,D,11,D,100,D
20171,03388734,14,0,1,160,D,12,D,153,D
20171,03388754,3,0,1,150,D,13,D,25,D
20171,03388794,9,0,1,170,D,12,D,500,D
20171,03388834,6,0,1,170,D,12,D,250,D
20171,03388834,7,0,1,170,D,11,D,40,D
20171,03388834,8,0,1,150,D,13,D,200,D
20171,03388834,9,0,1,160,D,13,D,50,D
20171,03388894,12,0,1,170,D,12,D,100,D
20171,03388964,22,0,1,170,D,12,D,40,D
20171,03388964,23,0,1,140,D,10,D,50,D
20171,03388984,6,0,2,170,D,10,D,6,D
20171,03389044,5,0,1,160,D,13,D,133,D
20171,03389124,3,0,1,170,D,12,D,1200,D
20171,03389124,4,0,1,170,D,11,D,250,D
20171,03389224,7,0,1,170,D,12,D,100,D
20171,03389244,5,0,1,170,D,12,D,340,D
20171,03389264,9,0,1,150,D,12,D,975,D
20171,03389274,5,0,1,170,D,12,D,200,D
20171,03389354,3,0,1,170,D,12,D,300,D
20171,03389354,4,0,1,150,D,13,D,100,D
20171,03389474,3,0,1,170,D,12,D,60,D
20171,03389474,4,0,1,150,D,13,D,80,D
20171,03389474,5,0,1,160,D,12,D,40,D
20171,03389474,6,0,2,170,D,10,D,250,D
20171,03389484,9,0,1,160,D,11,D,11,D
20171,03389484,10,0,1,160,D,10,D,10,D
20171,03389484,11,0,2,160,D,10,D,13,D
20171,03389564,16,0,1,150,D,13,D,250,D
20171,03389574,5,0,1,170,D,12,D,600,D
20171,03389574,6,0,1,150,D,13,D,25,D
20171,03389604,3,0,1,150,D,13,D,50,D
20171,03389624,3,0,1,150,D,13,D,700,D
20171,03389644,6,0,1,160,D,13,D,80,D
20171,03389694,10,0,1,170,D,12,D,330,D
20171,03389724,2,0,1,150,D,13,D,5,D
20171,03389734,2,0,1,160,D,13,D,1500,D
20171,03389744,1,0,1,170,D,12,D,300,D
20171,03389784,10,0,1,170,D,12,D,100,D
20171,03389784,11,0,1,150,D,13,D,100,D
20171,03389794,5,0,1,100,D,13,D,2200,D
20171,03389804,6,0,1,150,D,13,D,200,D
20171,03389814,5,0,1,170,D,12,D,250,D
20171,03389824,5,0,1,170,D,12,D,200,D
20171,03389924,3,0,1,160,D,12,D,200,D
20171,03389964,2,0,1,170,D,12,D,100,D
20171,03389984,7,0,1,170,D,11,D,2000,D
20171,03389984,8,0,1,160,D,13,D,50,D
20171,03390114,11,0,1,150,D,13,D,100,D
20171,03390124,10,0,1,170,D,12,D,400,D
20171,03390124,11,0,1,150,D,13,D,1100,D
20171,03390124,12,0,1,160,D,12,D,250,D
20171,03390134,11,0,1,150,D,13,D,600,D
20171,03390134,12,0,1,150,D,13,D,20,D
