QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_
20171,03386964,12,0,1,140,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390984,3,2,1,300,D,139,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390984,3,1,1,175,D,101,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390984,3,0,1,310,D,,H,,A,175,D,300,D,,A,,A,,A,,A,,A,,A,,A
20171,03393014,22,0,1,130,D,247,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394804,20,0,1,,A,,A,355,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03395214,17,0,1,140,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396444,11,0,1,210,D,118,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03407724,2,0,1,175,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03408854,17,0,1,,A,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03409234,8,0,1,175,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03412784,6,0,1,,A,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03413514,2,0,1,300,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03416044,11,0,1,,A,,A,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03416514,2,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03416624,7,0,1,150,D,600,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03419864,2,0,1,130,D,188,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03423634,9,0,1,175,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03424304,10,0,1,260,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03428224,14,0,1,200,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03428654,9,0,1,300,D,217,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03428854,1,0,1,280,D,371,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03429114,12,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03442363,23,0,1,300,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03443223,10,0,1,300,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03444203,13,0,1,190,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03445233,2,0,1,175,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03447403,7,0,1,,A,,A,3500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03449943,9,0,1,,A,,A,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03450263,5,0,1,110,D,2560,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03460963,5,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03461393,5,0,1,300,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03463193,6,0,1,130,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03464303,1,0,1,260,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03464373,1,0,1,280,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03465083,8,0,1,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03466533,2,0,1,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03466733,6,0,1,130,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03468063,12,0,1,300,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03468943,4,0,1,175,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03468983,12,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03469033,20,0,1,,A,,A,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03469173,13,0,1,175,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03469453,8,0,1,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03469593,16,0,1,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03470503,9,0,1,300,D,707,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03470623,5,0,1,130,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03470653,12,0,1,130,D,94,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03492873,9,0,1,300,D,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03493273,5,0,1,150,D,762,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03494673,7,0,1,130,D,3350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03494793,5,0,1,130,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03494973,6,0,1,130,D,729,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03495003,7,0,1,175,D,196,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03495023,4,0,1,140,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03495173,2,0,1,110,D,2560,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03497103,26,0,1,,A,,A,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03498913,16,0,1,,A,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03499343,22,0,1,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03500033,3,0,1,175,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03500193,1,1,1,280,D,1500,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03500193,1,0,1,310,D,,H,,A,175,D,280,D,,A,,A,,A,,A,,A,,A,,A
20171,03501113,16,0,1,140,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03501313,4,0,1,,A,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03502623,8,0,1,,A,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03502763,4,0,1,160,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03505812,6,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03506872,5,0,1,300,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03507352,15,0,1,300,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03507802,7,0,1,175,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03508332,11,0,1,175,D,116,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03508562,11,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03509192,6,0,1,,A,,A,156,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03509642,10,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03509912,23,0,1,210,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03510302,9,0,1,235,D,247,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03510502,2,0,1,210,D,35,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03510724,9,0,1,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03511782,13,0,1,,A,,A,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03511872,2,0,1,,A,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03512282,10,0,1,,A,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03512452,6,0,1,,A,,A,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03512532,6,0,1,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03523992,7,0,1,200,D,247,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03525822,8,0,1,175,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03526392,3,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03527212,10,0,1,300,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03528622,6,0,1,,A,,A,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03528992,2,0,1,130,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03530802,4,0,1,300,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03530912,21,0,1,,A,,A,45,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03532662,4,2,1,160,D,100,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03532662,4,1,1,290,D,200,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03532662,4,0,1,310,D,,H,,A,290,D,160,D,,A,,A,,A,,A,,A,,A,,A
