QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20171,03386764,9,0,1,300,D,1,D,2,D,11,D,,A,3700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386764,10,0,1,350,D,1,D,2,D,11,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386894,2,0,2,300,D,1,D,5,D,10,D,,A,31,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,14,0,1,100,D,1,D,,A,13,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386974,5,0,1,300,D,1,D,1,D,13,D,,A,1823,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386974,6,0,1,320,D,1,D,,A,13,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387114,5,0,1,345,D,1,D,,A,10,D,,A,1900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387134,7,0,1,350,D,1,D,2,D,13,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387314,5,0,1,200,D,2,D,,A,13,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387314,6,0,2,300,D,2,D,3,D,10,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387584,7,0,1,300,D,1,D,1,D,11,D,,A,1058,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387584,8,0,1,345,D,1,D,,A,13,D,,A,847,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387584,9,0,1,350,D,1,D,1,D,11,D,,A,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
