QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_,EQBPURCH
20171,03387054,4,0,1,190,D,10,D,159,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387574,4,0,1,170,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387584,11,0,2,190,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387964,2,0,1,190,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387964,3,0,1,200,D,10,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03388224,3,0,2,110,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03388264,4,0,2,130,D,10,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03388344,24,0,2,120,D,10,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03388474,9,0,2,220,D,10,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03388524,3,0,1,190,D,12,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03388834,10,0,1,190,D,10,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03389484,13,0,2,150,D,10,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03389494,9,0,1,190,D,12,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03389644,7,0,1,130,D,11,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03389694,11,0,1,200,D,10,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03389694,12,0,1,200,D,11,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
