QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QREP3MCX,QREP_MCX,QFRT3MCX,QFRT_MCX,FURNRNTX,FURN_NTX,REPFURNX,REPF_RNX,REPPURCH
20171,03387444,14,0,1,100,D,,A,,A,,A,
20171,03391244,1,0,1,,A,,A,,A,,A,
20171,03391264,1,0,1,,A,,A,,A,,A,
20171,03392774,13,0,1,160,D,,A,,A,,A,
20171,03393024,6,0,1,,A,378,D,,A,,A,
20171,03394464,21,0,1,72,D,,A,,A,,A,
20171,03410494,10,0,1,20,D,,A,,A,,A,
20171,03416104,8,0,1,,A,270,D,,A,,A,
20171,03420624,1,0,1,,A,,A,,A,,A,
20171,03424524,1,0,1,,A,,A,,A,,A,
20171,03425694,1,0,1,,A,,A,,A,,A,
20171,03429034,1,0,1,,A,,A,,A,,A,
20171,03440883,2,0,1,0,D,,A,,A,,A,
20171,03443603,30,0,1,40,D,,A,,A,,A,
20171,03444203,17,0,1,690,D,,A,,A,,A,
20171,03446013,8,0,1,120,D,,A,,A,,A,
20171,03448903,15,0,1,1600,D,,A,,A,,A,
20171,03450623,7,0,1,12,D,,A,,A,,A,
20171,03461023,7,0,1,40,D,,A,,A,,A,
20171,03461273,1,0,1,,A,0,D,,A,,A,
20171,03462853,5,0,1,25,D,,A,,A,,A,
20171,03462863,10,0,1,50,D,,A,,A,,A,
20171,03465303,21,0,1,80,D,,A,,A,,A,
20171,03470553,7,0,1,,A,400,D,,A,,A,
20171,03470973,14,0,1,150,D,,A,,A,,A,
20171,03471113,2,0,1,,A,150,D,,A,,A,
20171,03471293,1,0,1,,A,,A,,A,,A,
20171,03494293,21,0,1,,A,788,D,,A,,A,
20171,03497103,45,0,1,600,D,,A,,A,,A,
20171,03499423,1,0,1,,A,,A,,A,,A,
20171,03500203,4,0,1,,A,400,D,,A,,A,
20171,03503802,21,0,1,20,D,,A,,A,,A,
20171,03505992,18,0,1,,A,552,D,,A,,A,
20171,03506142,11,0,1,250,D,,A,,A,,A,
20171,03507572,1,0,1,,A,600,D,,A,,A,
20171,03509342,27,0,1,148,D,,A,,A,,A,
20171,03524314,1,0,1,,A,,A,,A,,A,
20171,03526182,37,0,1,235,D,,A,,A,,A,
20171,03527182,7,0,1,50,D,,A,,A,,A,
20171,03529032,1,0,1,,A,,A,,A,,A,
20171,03533882,6,0,1,100,D,,A,,A,,A,
20171,03534012,2,0,1,,A,,A,,A,,A,
20171,03550072,19,0,1,330,D,,A,,A,,A,
20171,03551792,21,0,1,190,D,,A,,A,,A,
20171,03552982,7,0,1,,A,150,D,,A,,A,
20171,03553002,6,0,1,50,D,,A,,A,,A,
20171,03555592,14,0,1,1500,D,,A,,A,,A,
20171,03566891,49,0,1,,A,940,D,,A,,A,
20171,03567113,10,0,1,,A,348,D,,A,,A,
20171,03567381,6,0,1,,A,2800,D,,A,,A,
20171,03568471,1,0,1,,A,,A,,A,,A,
20171,03571291,6,0,1,,A,291,D,,A,,A,
20171,03573751,1,0,1,,A,,A,,A,,A,
20171,03574471,9,0,1,20,D,,A,,A,,A,
20171,03575281,7,0,1,3,D,,A,,A,,A,
20171,03589082,1,0,1,,A,,A,,A,,A,
20171,03589861,22,0,1,60,D,,A,,A,,A,
20171,03591571,15,0,1,20,D,,A,,A,,A,
20171,03593221,4,0,1,,A,2328,D,,A,,A,
20171,03595711,15,0,1,55,D,,A,,A,,A,
20171,03596531,20,0,1,100,D,,A,,A,,A,
20171,03597021,7,0,1,315,D,,A,,A,,A,
20171,03597481,2,0,1,,A,180,D,,A,,A,
20172,03442124,1,0,1,,A,,A,,A,,A,
20172,03442694,1,0,1,,A,,A,,A,,A,
20172,03442794,8,0,1,,A,,A,,A,10,D,
20172,03446144,2,0,1,,A,,A,,A,,A,
20172,03446324,3,0,1,,A,,A,,A,30,D,2
20172,03449254,12,0,1,,A,,A,175,D,,A,
20172,03462034,13,0,1,,A,,A,1324,D,,A,
20172,03465484,5,0,1,,A,,A,100,D,,A,
20172,03467654,9,0,1,,A,,A,,A,70,D,
20172,03468744,4,0,1,,A,,A,,A,30,D,
20172,03469354,13,0,1,,A,,A,,A,100,D,
20172,03470014,3,0,1,,A,,A,,A,,A,
20172,03470964,15,0,1,,A,,A,,A,120,D,2
20172,03495554,31,0,1,,A,,A,,A,7,D,
20172,03500204,2,0,1,,A,,A,129,D,,A,
20172,03503223,10,0,1,,A,,A,,A,8,D,
20172,03505993,6,0,1,,A,,A,300,D,,A,
20172,03508393,13,0,1,,A,,A,,A,20,D,
20172,03512723,1,0,1,,A,,A,362,D,,A,
20172,03524513,5,0,1,,A,,A,,A,25,D,
20172,03525823,13,0,1,,A,,A,,A,3500,D,
20172,03533263,2,0,1,,A,,A,,A,100,D,
20172,03549713,3,0,1,,A,,A,,A,1025,D,
20172,03551903,21,0,1,,A,,A,105,D,,A,
20172,03552983,3,0,1,,A,,A,150,D,,A,
20172,03554893,14,0,1,,A,,A,,A,20,D,
20172,03568192,9,0,1,,A,,A,,A,20,D,
20172,03568212,3,0,1,,A,,A,,A,5000,D,
20172,03568282,1,0,1,,A,,A,,A,,A,
20172,03573612,10,0,1,,A,,A,38,D,,A,
20172,03590402,15,0,1,,A,,A,,A,50,D,
20172,03591972,11,0,1,,A,,A,,A,,A,
20172,03594592,11,0,1,,A,,A,,A,150,D,
20172,03595242,7,0,1,,A,,A,,A,500,D,
20172,03595462,11,0,1,,A,,A,,A,110,D,
20172,03604212,13,0,1,,A,,A,25,D,,A,
20172,03640621,1,0,1,,A,,A,,A,,A,
20172,03641051,8,0,1,,A,,A,468,D,,A,
20172,03641731,11,0,1,,A,,A,,A,125,D,
20172,03641851,7,0,1,,A,,A,,A,250,D,
20172,03642341,11,0,1,,A,,A,475,D,,A,
20172,03643101,7,0,1,,A,,A,,A,45,D,
20172,03644001,6,0,1,,A,,A,348,D,,A,
20172,03644121,14,0,1,,A,,A,,A,60,D,
20172,03644221,1,0,1,,A,,A,325,D,,A,
20172,03646941,34,0,1,,A,,A,,A,385,D,
20172,03648481,21,0,1,,A,,A,,A,250,D,
20172,03648651,1,0,1,,A,,A,,A,,A,
20172,03651651,10,0,1,,A,,A,,A,2600,D,
20172,03652281,1,0,1,,A,,A,,A,,A,
20172,03654481,1,0,1,,A,,A,,A,,A,
20172,03654854,6,0,1,,A,,A,,A,30,D,
20172,03655541,1,0,1,,A,,A,,A,,A,
20172,03656102,2,0,1,,A,,A,,A,,A,
20172,03657421,5,0,1,,A,,A,,A,150,D,
20172,03660011,28,0,1,,A,,A,,A,100,D,
20172,03661331,21,0,1,,A,,A,,A,20,D,
20172,03662801,8,0,1,,A,,A,,A,400,D,
20172,03664631,7,0,1,,A,,A,,A,5,D,
20172,03664734,1,0,1,,A,,A,,A,,A,
20172,03667621,27,0,1,,A,,A,591,D,,A,
20173,03505394,6,0,1,,A,,A,,A,1500,D,2
20173,03525334,9,0,1,,A,,A,,A,200,D,
20173,03525634,2,0,1,,A,,A,,A,,A,
20173,03526224,9,0,1,,A,,A,100,D,,A,
20173,03526244,4,0,1,,A,,A,,A,665,D,
20173,03527854,10,0,1,,A,,A,,A,200,D,
20173,03531844,2,0,1,,A,,A,,A,35,D,
20173,03534334,18,0,1,,A,,A,,A,50,D,
20173,03548134,13,0,1,,A,,A,,A,70,D,
20173,03552984,5,0,1,,A,,A,150,D,,A,
20173,03567423,12,0,1,,A,,A,,A,145,D,
20173,03569293,9,0,1,,A,,A,,A,20,D,
20173,03570063,11,0,1,,A,,A,1000,D,,A,
20173,03573243,4,0,1,,A,,A,,A,,A,
20173,03574043,15,0,1,,A,,A,,A,150,D,
20173,03575043,20,0,1,,A,,A,294,D,,A,
20173,03576413,8,0,1,,A,,A,,A,50,D,
20173,03577123,5,0,1,,A,,A,,A,76,D,
20173,03593223,1,0,1,,A,,A,450,D,,A,
20173,03593953,2,0,1,,A,,A,115,D,,A,
20173,03595463,5,0,1,,A,,A,,A,90,D,
20173,03597643,3,0,1,,A,,A,,A,,A,
20173,03599773,25,0,1,,A,,A,,A,5,D,
20173,03603183,1,0,1,,A,,A,,A,,A,
20173,03604293,4,0,1,,A,,A,,A,75,D,
20173,03607203,15,0,1,,A,,A,,A,30,D,
20173,03640052,38,0,1,,A,,A,,A,30,D,
20173,03640342,5,0,1,,A,,A,2500,D,,A,
20173,03645192,9,0,1,,A,,A,440,D,,A,
20173,03650942,15,0,1,,A,,A,,A,1400,D,
20173,03655622,6,0,1,,A,,A,190,D,,A,
20173,03663952,5,0,1,,A,,A,225,D,,A,
20173,03666722,6,0,1,,A,,A,102,D,,A,
20173,03668512,10,0,1,,A,,A,,A,18,D,
20173,03692353,14,0,1,,A,,A,,A,30,D,
20173,03693571,14,0,1,,A,,A,1200,D,30,D,
20173,03694651,3,0,1,,A,,A,,A,1500,D,
20173,03695181,21,0,1,,A,,A,,A,100,D,
20173,03696091,2,0,1,,A,,A,188,D,,A,
20173,03696871,8,0,1,,A,,A,,A,350,D,
20173,03698954,17,0,1,,A,,A,,A,110,D,
20173,03699071,11,0,1,,A,,A,,A,35,D,
20173,03699251,18,0,1,,A,,A,,A,500,D,
20173,03715611,19,0,1,,A,,A,,A,350,D,
20173,03716001,17,0,1,,A,,A,,A,80,D,
20173,03717191,4,0,1,,A,,A,,A,120,D,
20173,03717794,4,0,1,,A,,A,130,D,,A,
20173,03717831,12,0,1,,A,,A,150,D,,A,
20173,03719961,13,0,1,,A,,A,,A,78,D,
20173,03720561,4,0,1,,A,,A,36,D,,A,
20173,03721261,15,0,1,,A,,A,,A,6335,D,
20173,03722531,11,0,1,,A,,A,,A,250,D,
20173,03723141,49,0,1,,A,,A,,A,120,D,
20173,03723401,15,0,1,,A,,A,,A,45,D,
20173,03734121,1,0,1,,A,,A,,A,,A,
20173,03736291,3,0,1,,A,,A,,A,,A,
20173,03738771,6,0,1,,A,,A,140,D,,A,
20173,03740161,20,0,1,,A,,A,,A,82,D,
20173,03741181,9,0,1,,A,,A,,A,570,D,
20173,03744292,2,0,1,,A,,A,107,D,,A,
20174,03568194,13,0,1,,A,,A,,A,10,D,2
20174,03573104,6,0,1,,A,,A,,A,900,D,
20174,03576424,12,0,1,,A,,A,,A,400,D,
20174,03577134,10,0,1,,A,,A,,A,580,D,
20174,03588564,8,0,1,,A,,A,,A,275,D,
20174,03593954,1,0,1,,A,,A,171,D,,A,
20174,03597484,3,0,1,,A,,A,170,D,,A,
20174,03597684,5,0,1,,A,,A,,A,100,D,
20174,03604814,8,0,1,,A,,A,,A,40,D,
20174,03608774,11,0,1,,A,,A,,A,500,D,
20174,03640683,1,0,1,,A,,A,,A,,A,
20174,03641993,10,0,1,,A,,A,,A,10,D,
20174,03642343,15,0,1,,A,,A,,A,20,D,
20174,03648493,1,0,1,,A,,A,,A,,A,
20174,03650263,9,0,1,,A,,A,,A,113,D,
20174,03652833,10,0,1,,A,,A,,A,2100,D,
20174,03658703,7,0,1,,A,,A,,A,320,D,
20174,03659843,7,0,1,,A,,A,,A,100,D,
20174,03667623,23,0,1,,A,,A,575,D,,A,
20174,03668333,1,0,1,,A,,A,1500,D,,A,
20174,03668543,6,0,1,,A,,A,,A,100,D,
20174,03670553,16,0,1,,A,,A,,A,45,D,
20174,03670843,1,0,1,,A,,A,,A,,A,
20174,03692332,9,0,1,,A,,A,,A,120,D,
20174,03692732,13,0,1,,A,,A,,A,25,D,
20174,03697232,5,0,1,,A,,A,,A,86,D,
20174,03700692,15,0,1,,A,,A,,A,100,D,
20174,03700822,9,0,1,,A,,A,450,D,,A,
20174,03702342,12,0,1,,A,,A,,A,15,D,
20174,03715022,6,0,1,,A,,A,,A,1000,D,
20174,03715122,11,0,1,,A,,A,,A,800,D,
20174,03716344,19,0,1,,A,,A,,A,45,D,2
20174,03719802,4,0,1,,A,,A,105,D,,A,
20174,03719812,1,0,1,,A,,A,,A,,A,
20174,03721062,3,0,1,,A,,A,,A,2,D,
20174,03737163,2,0,1,,A,,A,,A,,A,
20174,03737562,2,0,1,,A,,A,,A,,A,
20174,03739782,2,0,1,,A,,A,,A,1,D,
20174,03741762,3,0,1,,A,,A,,A,90,D,
20174,03743192,3,0,1,,A,,A,,A,1000,D,
20174,03743822,10,0,1,,A,,A,300,D,,A,
20174,03755311,6,0,1,,A,,A,,A,15,D,
20174,03755991,10,0,1,,A,,A,336,D,,A,
20174,03758311,6,0,1,,A,,A,300,D,,A,
20174,03758781,9,0,1,,A,,A,,A,800,D,
20174,03760031,995,0,1,,A,,A,,A,1166,D,
20174,03760591,1,0,1,,A,,A,,A,,A,
20174,03761271,26,0,1,,A,,A,,A,225,D,
20174,03761901,7,0,1,,A,,A,,A,200,D,
20174,03765531,2,0,1,,A,,A,150,D,,A,
20174,03765811,10,0,1,,A,,A,,A,17,D,
20174,03779104,1,0,1,,A,,A,,A,300,D,
20174,03779211,18,0,1,,A,,A,1000,D,,A,
20174,03781691,39,0,1,,A,,A,,A,105,D,
20174,03800631,1,0,1,,A,,A,,A,,A,
20174,03800841,6,0,1,,A,,A,115,D,,A,
20174,03800861,11,0,1,,A,,A,,A,100,D,
20174,03803001,25,0,1,,A,,A,420,D,,A,
20174,03803521,20,0,1,,A,,A,,A,52,D,
20174,03805071,14,0,1,,A,,A,,A,1100,D,
20181,03639774,1,0,1,,A,,A,,A,,A,
20181,03642344,22,0,1,,A,,A,75,D,,A,
20181,03642784,22,0,1,,A,,A,90,D,,A,
20181,03648084,13,0,1,,A,,A,2000,D,,A,
20181,03648494,1,0,1,,A,,A,,A,,A,
20181,03652834,6,0,1,,A,,A,,A,250,D,
20181,03653634,25,0,1,,A,,A,,A,35,D,
20181,03654864,12,0,1,,A,,A,,A,10,D,
20181,03658704,11,0,1,,A,,A,,A,320,D,
20181,03660624,18,0,1,,A,,A,,A,42,D,
20181,03660774,1,0,1,,A,,A,,A,,A,
20181,03662564,11,0,1,,A,,A,,A,20,D,
20181,03666724,7,0,1,,A,,A,102,D,,A,
20181,03670354,4,0,1,,A,,A,,A,150,D,
20181,03670554,16,0,1,,A,,A,,A,55,D,
20181,03670844,1,0,1,,A,,A,,A,,A,
20181,03694123,11,0,1,,A,,A,125,D,,A,
20181,03694783,4,0,1,,A,,A,,A,560,D,
20181,03698183,20,0,1,,A,,A,,A,408,D,
20181,03699183,17,0,1,,A,,A,,A,100,D,
20181,03717983,3,0,1,,A,,A,,A,,A,
20181,03718833,10,0,1,,A,,A,30,D,,A,
20181,03719803,3,0,1,,A,,A,420,D,,A,
20181,03721263,33,0,1,,A,,A,,A,450,D,
20181,03721683,9,0,1,,A,,A,10,D,,A,
20181,03723143,33,0,1,,A,,A,,A,90,D,
20181,03723253,7,0,1,,A,,A,,A,100,D,
20181,03737164,1,0,1,,A,,A,,A,,A,
20181,03737853,8,0,1,,A,,A,,A,500,D,
20181,03743823,8,0,1,,A,,A,560,D,,A,
20181,03755292,6,0,1,,A,,A,453,D,,A,
20181,03758782,20,0,1,,A,,A,,A,450,D,
20181,03759802,47,0,1,,A,,A,364,D,,A,
20181,03760692,7,0,1,,A,,A,150,D,,A,
20181,03760992,15,0,1,,A,,A,,A,100,D,
20181,03761272,10,0,1,,A,,A,,A,10,D,
20181,03763562,5,0,1,,A,,A,,A,200,D,
20181,03765452,2,0,1,,A,,A,,A,30,D,
20181,03776552,2,0,1,,A,,A,,A,175,D,
20181,03778162,1,0,1,,A,,A,,A,,A,
20181,03779242,13,0,1,,A,,A,,A,80,D,
20181,03779642,22,0,1,,A,,A,321,D,,A,
20181,03782992,8,0,1,,A,,A,,A,12,D,
20181,03783602,1,0,1,,A,,A,357,D,,A,
20181,03783742,14,0,1,,A,,A,,A,50,D,
20181,03786682,4,0,1,,A,,A,8,D,,A,
20181,03786792,6,0,1,,A,,A,,A,75,D,
20181,03797622,7,0,1,,A,,A,,A,50,D,
20181,03799382,1,0,1,,A,,A,,A,,A,
20181,03800252,3,0,1,,A,,A,,A,4,D,
20181,03803172,5,0,1,,A,,A,,A,100,D,
20181,03803622,33,0,1,,A,,A,,A,2000,D,
20181,03805842,16,0,1,,A,,A,,A,80,D,
20181,03820381,26,0,1,,A,,A,,A,400,D,
20181,03820661,4,0,1,,A,,A,300,D,,A,
20181,03820661,11,0,1,,A,,A,300,D,,A,
20181,03823201,9,0,1,,A,,A,,A,300,D,
20181,03823661,13,0,1,,A,,A,,A,70,D,
20181,03828321,2,0,1,,A,,A,,A,,A,
20181,03828981,4,0,1,,A,,A,,A,150,D,
20181,03840451,5,0,1,,A,,A,,A,470,D,
20181,03845651,4,0,1,,A,,A,,A,394,D,
20181,03847151,5,0,1,,A,,A,600,D,,A,
20181,03847661,1,0,1,,A,,A,,A,,A,
20181,03852311,2,0,1,,A,,A,350,D,,A,
20181,03853601,1,0,1,,A,,A,,A,,A,
20181,03854251,22,0,1,,A,,A,480,D,,A,
20181,03854751,13,0,1,,A,,A,1450,D,,A,
20181,03857421,7,0,1,,A,,A,,A,600,D,
20181,03857431,10,0,1,,A,,A,300,D,,A,
20181,03859031,5,0,1,,A,,A,800,D,,A,
20181,03859471,1,0,1,,A,,A,,A,,A,
