QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20171,03392954,29,0,5,01,D,100,D,.0859,D,98259,D,10,D,1223,D,,A,,A,,A,,A,0,D,591,D,595,D,599,D,632,D,628,D,624,D,,A,04,D,2015,D,1,D,,A,88314,D,87723,D,87128,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03408224,27,0,5,01,D,100,D,.0859,D,3164,D,3,D,100,D,,A,,A,,A,,A,0,D,94,D,95,D,96,D,6,D,5,D,4,D,,A,07,D,2014,D,1,D,,A,775,D,681,D,586,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03410364,22,0,5,01,D,100,D,.0560,F,65000,F,5,F,1245,F,,A,,A,,A,,A,0,F,826,F,830,F,834,F,174,F,170,F,166,F,,A,03,F,2015,F,2,F,,A,46345,F,45317,F,44284,F,01,D,,A,,A,,A,1000,F,1000,F,1000,F,1,D,2,D
20171,03413054,36,0,5,01,D,100,D,.0900,D,23000,D,4,D,730,D,,B,,B,,B,,B,158,D,464,D,467,D,471,D,108,D,105,D,101,D,,A,03,D,2015,D,1,D,,A,14414,D,13950,D,13483,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03413514,29,0,5,01,D,100,D,.0859,D,158896,D,20,D,1388,D,,A,,A,,A,,A,0,D,338,D,341,D,343,D,1050,D,1047,D,1045,D,,A,05,D,2013,D,1,D,,A,154328,T,160306,T,155094,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03413514,30,0,5,01,D,100,D,.0400,D,23000,D,10,D,238,D,,B,,B,,B,,B,5,D,170,D,171,D,172,D,63,D,62,D,61,D,,A,09,D,2014,D,1,D,,A,18761,D,18591,D,18420,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03414074,22,0,5,01,D,100,D,.0859,D,50000,D,15,D,800,D,,B,,B,,B,,B,305,D,146,D,147,D,148,D,349,D,348,D,347,D,,A,02,D,2016,D,1,D,,A,48730,D,48584,D,48437,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03414374,52,0,5,01,D,100,D,.0750,F,45000,F,15,F,450,F,,A,4,F,,A,,A,33,F,153,F,154,F,155,F,264,F,263,F,262,F,,A,05,F,2015,F,1,F,,A,42270,F,42118,F,41964,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03416664,13,0,5,01,D,100,D,.0400,F,100000,F,15,F,1029,F,,B,,B,,B,,B,289,F,452,F,454,F,455,F,288,F,286,F,285,F,,A,02,F,2014,F,1,F,,A,86291,F,85839,F,85385,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03416934,14,0,5,01,D,100,D,.0859,D,21919,D,15,D,217,D,,A,,A,,A,,A,0,D,105,D,106,D,106,D,112,D,111,D,111,D,,A,05,D,2010,D,1,D,,A,15670,D,15565,D,15460,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03418564,37,0,5,01,D,200,D,.0840,D,34591,D,20,D,298,D,,A,,A,,A,,A,0,D,124,D,125,D,125,D,174,D,173,D,173,D,,A,06,D,2007,D,1,D,,A,24895,D,24772,D,24647,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03421004,26,0,5,01,D,100,D,.0700,D,5050,D,5,D,100,D,,C,,C,,C,,C,0,D,79,D,79,D,80,D,21,D,21,D,20,D,,A,05,D,2015,D,1,D,,A,3637,D,3558,D,3479,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20171,03421294,15,0,5,01,D,100,D,.0750,D,45000,D,15,D,450,D,,A,4,D,,A,,A,33,D,153,D,154,D,155,D,264,D,263,D,262,D,,A,05,D,2015,D,1,D,,A,42270,D,42118,D,41964,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03421634,9,0,5,01,D,100,D,.0650,D,13563,D,10,D,154,D,,A,,A,,A,,A,0,D,130,D,131,D,132,D,24,D,23,D,22,D,,A,07,D,2009,D,1,D,,A,4385,D,4254,D,4123,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03421774,30,0,5,01,D,100,D,.0859,D,10000,D,15,D,150,D,,B,,B,,B,,B,51,D,28,D,29,D,29,D,71,D,70,D,70,D,,A,07,D,2016,D,1,D,,A,9861,D,9833,D,9804,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03422514,28,0,5,01,D,100,D,.0450,D,40000,D,10,D,416,D,,B,,B,,B,,B,1,D,298,D,299,D,300,D,117,D,116,D,115,D,,A,05,D,2014,D,1,D,,A,31306,D,31008,D,30709,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03422684,18,0,5,01,D,100,D,.0859,F,2525,F,15,F,25,F,,A,,A,,A,,A,0,F,20,F,20,F,20,F,5,F,5,F,5,F,,A,06,F,2004,F,1,F,,A,712,F,692,F,672,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20171,03423634,33,0,5,01,D,100,D,.0800,D,28000,D,15,D,330,D,,B,,B,,B,,B,62,D,245,D,247,D,248,D,23,D,21,D,20,D,,A,02,D,2003,D,1,D,,A,3439,D,3194,D,2947,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20171,03425074,31,0,5,01,D,100,D,.0859,D,118179,D,15,D,1170,D,,A,,A,,A,,A,0,D,483,D,487,D,490,D,687,D,683,D,680,D,,A,04,D,2012,D,1,D,,A,95954,D,95470,D,94984,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
