QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,HHIPDLIB,HHIP_LIB,HHISTATB,HHIS_ATB,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIPRDED,HHIP_DED,HHIR_MPD,QHI3MCX,QHI3MCX_,HHIBCBS,HHIBCBS_,HHICODE,HHICODE_,HHIPOS,HHIPOS_,HHISPECT,HHIS_ECT,HHIPROUT,HHIP_OUT,HHIPRYOU,HHIP_YOU,HHIRPMPD,HHISUBPD,HHIS_BPD,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS
20171,03386764,16,0,5,01,D,,A,1,D,2,D,,A,A,,A,2,D,2,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03386764,17,0,5,02,D,,A,1,D,2,D,1,D,D,210,D,2,D,4,D,,A,1,D,,A,1,D,04,,A,,A,,A,,A
20171,03386774,13,0,5,01,D,,A,1,D,1,D,2,D,D,243,D,2,D,1,D,2,D,,A,,A,1,D,04,1,D,1,D,3,D,1,D
20171,03386804,8,0,5,01,D,,A,1,D,2,D,1,D,D,450,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03386884,7,0,5,01,D,,A,2,D,1,D,2,D,D,1038,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03386894,7,0,5,01,D,,A,1,D,2,D,1,D,D,364,D,2,D,1,D,1,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03386894,8,0,5,02,D,,A,1,D,2,D,1,D,D,59,F,2,D,1,D,1,D,,A,,A,1,D,02,,A,,A,,A,,A
20171,03386924,11,0,1,01,D,,A,2,D,2,D,1,D,D,210,D,2,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03386964,27,0,5,01,D,,A,4,D,1,D,2,D,D,2400,D,1,D,1,D,2,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03386974,10,0,1,01,D,,A,1,D,2,D,,A,A,,A,2,D,1,D,2,D,,A,2,D,2,D,,,A,,A,,A,,A
20171,03387004,12,0,1,01,D,,A,3,D,2,D,1,D,D,689,D,2,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03387034,4,0,5,01,D,,A,1,D,2,D,1,D,D,273,D,2,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03387054,8,0,5,01,D,,A,4,D,2,D,1,D,D,1200,D,2,D,1,D,2,D,,A,,A,1,D,03,,A,,A,,A,,A
20171,03387084,12,0,1,01,D,,A,2,D,2,D,1,D,D,195,D,2,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03387094,4,0,5,01,D,,A,2,D,1,D,2,D,D,921,D,1,D,1,D,2,D,,A,,A,1,D,04,1,D,1,D,4,D,1,D
