QYEAR,NEWID,SEQNO,ALCNO,PRTDMBNO,PRTD_BNO,ENROLLMO,ENRO_LMO,ENROLLYR,ENRO_LYR,HHDRGSS,HHDRGSS_,STILDRUG,STIL_RUG,DRGPREMX,DRGP_EMX,QDRGPM1X,QDRG_M1X,QDRGPM2X,QDRG_M2X,QDRGPM3X,QDRG_M3X,PREMCHG,PREMCHG_,PREMCHGX,PREM_HGX
20171,03386774,15,0,1,D,12,D,2016,D,2,D,,A,60,D,,A,,A,,A,,A,,A
20171,03386884,9,0,1,D,11,D,2013,D,1,D,1,D,80,D,80,D,80,D,80,D,1,D,,A
20171,03386884,10,0,2,D,11,D,2013,D,1,D,1,D,80,D,80,D,80,D,80,D,1,D,,A
20171,03386904,3,0,1,D,12,D,2005,D,2,D,,A,0,D,0,D,0,D,0,D,,A,,A
20171,03387234,6,0,1,D,12,D,2005,D,2,D,1,D,0,D,0,D,0,D,0,D,1,D,,A
20171,03387304,10,0,1,D,,A,,A,,A,2,D,,A,,A,,A,,A,,A,,A
20171,03387444,18,0,1,D,12,D,2005,D,2,D,1,D,0,D,0,D,0,D,0,D,1,D,,A
20171,03387614,11,0,1,D,01,D,2007,D,1,D,1,D,15,D,15,D,15,D,15,D,1,D,,A
20171,03387724,5,0,1,D,12,D,2005,D,1,D,1,D,0,D,0,D,0,D,0,D,1,D,,A
20171,03387724,6,0,2,D,12,D,2005,D,1,D,1,D,0,D,0,D,0,D,0,D,1,D,,A
20171,03387724,7,0,3,D,12,D,2005,D,1,D,1,D,0,D,0,D,0,D,0,D,1,D,,A
20171,03387814,11,0,1,D,03,D,2016,D,1,D,1,D,45,F,45,F,45,F,45,F,1,D,,A
20171,03387964,9,0,1,D,12,D,2005,D,1,D,1,D,328,D,328,D,328,D,328,D,1,D,,A
20171,03388044,5,0,1,D,05,D,2016,D,2,D,1,D,202,D,202,D,202,D,202,D,2,D,107,D
20171,03388044,6,0,2,D,05,D,2016,D,2,D,1,D,0,D,0,D,0,D,0,D,2,D,107,D
