QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20171,03386884,17,0,5,01,D,105,D,2014,D,,A,36,D,12,D,238,D,3,D,,A,,A,,A,,A,11,D,238,D,238,D,,A,,A,,A,,A,,A,340,D,D,,A,2014,D,NIS
20171,03387054,14,0,5,01,D,105,D,2015,D,,A,36,D,01,D,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2015,D,MIN
20171,03387354,17,0,5,01,D,105,D,1988,D,,A,1,D,08,D,600,D,7,D,,A,,A,,A,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2012,D,DOD
20171,03387574,13,0,5,01,D,105,D,2016,D,,A,36,D,01,D,259,D,3,D,,A,,A,2400,D,,A,,A,259,D,259,D,259,D,,A,,A,,A,2400,D,,A,D,,A,2015,D,NIS
20171,03387654,11,0,5,01,D,105,D,2016,D,,A,36,D,10,D,273,D,3,D,,A,,A,,A,,A,,A,273,D,273,D,273,D,,A,,A,,A,,A,,A,D,,A,2015,D,TOY
20171,03388294,7,0,5,01,D,105,D,2015,D,,A,48,D,01,D,365,D,3,D,,A,,A,,A,,A,,A,365,D,365,D,365,D,,A,,A,,A,,A,,A,D,,A,2015,D,NIS
20171,03388314,27,0,5,01,D,105,D,2014,D,,A,36,D,06,D,478,D,3,D,,A,,A,,A,,A,,A,478,D,478,D,478,D,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03389264,38,0,5,02,D,105,D,2016,D,,A,36,D,05,D,377,D,3,D,,A,500,D,500,D,,A,,A,377,D,377,D,377,D,,A,,A,,A,500,D,,A,D,,A,2016,D,CHE
20171,03389444,16,0,5,02,D,105,D,2016,D,,A,39,D,10,D,320,D,3,D,,A,,A,,A,,A,,A,320,D,320,D,320,D,,A,,A,,A,,A,,A,D,,A,2016,D,BUI
20171,03389474,24,0,5,01,D,105,D,2016,D,,A,36,D,09,D,217,D,3,D,,A,6500,D,5000,D,,A,,A,217,D,217,D,217,D,,A,,A,,A,5000,D,,A,D,,A,2016,D,TOY
20171,03389694,42,0,5,01,D,105,D,2016,D,,A,36,D,04,D,420,D,3,D,,A,2000,D,1500,D,,A,,A,420,D,420,D,420,D,,A,,A,,A,1500,D,,A,D,,A,2016,D,JEE
20171,03390074,7,0,5,01,D,105,D,2016,D,,A,39,D,04,D,319,D,3,D,,A,2200,D,,A,,A,,A,319,D,319,D,319,D,,A,,A,,A,,A,,A,D,,A,2016,D,BUI
20171,03391094,9,0,5,01,D,105,D,2015,D,,A,,C,06,F,,C,3,D,,A,,A,,A,,A,,A,374,F,374,F,374,F,,A,,A,,A,,A,,A,D,,A,2015,D,FOR
