QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20171,03386764,25,0,1,200,D,1,D,11,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386764,26,0,1,420,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386764,27,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386774,20,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386804,10,0,1,200,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386884,19,0,1,110,D,1,D,11,D,113,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386884,20,0,1,200,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386904,4,0,1,620,D,1,D,13,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386904,5,0,1,620,D,1,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386924,15,0,1,420,D,1,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386944,8,0,2,620,D,1,D,10,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,37,0,1,120,D,1,D,11,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,38,0,1,530,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,39,0,1,620,D,1,D,11,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,40,0,1,620,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,21,0,1,200,D,1,D,10,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,22,0,1,620,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387054,16,0,1,410,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,18,0,1,130,D,1,D,10,D,,H,110,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,18,1,1,110,D,1,D,10,D,51,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,18,2,1,120,D,1,D,10,D,149,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,19,0,1,510,D,1,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,20,0,1,620,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,21,0,2,420,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,22,0,2,620,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387094,10,0,1,420,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387114,16,0,1,420,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387114,17,0,1,620,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387134,14,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387164,14,0,1,620,D,1,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387234,17,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387274,6,0,1,620,D,1,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387274,7,0,2,420,D,1,D,10,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387304,17,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387404,16,0,1,330,D,1,D,10,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387404,17,0,1,330,D,1,D,11,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387414,15,0,1,620,D,1,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387424,37,0,1,200,D,1,D,11,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387424,38,0,1,420,D,1,D,12,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387584,23,0,1,200,D,1,D,10,D,876,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
