QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDRCARY,MEDR_ARY,MEDRGFTC,MEDR_FTC,MEDRMBMO,MEDR_BMO,MEDRMBX,MEDRMBX_,MEDRCY1,MEDRCY1_,MEDRCY2,MEDRCY2_,MEDRCY3,MEDRCY3_,MEDRCY4,MEDRCY4_,MEDRCY5,MEDRCY5_,MEDRCY6,MEDRCY6_,MEDRCY7,MEDRCY7_,MEDRCY8,MEDRCY8_,MEDRCY9,MEDRCY9_,MEDRPRNT,MEDR_RNT,MEDRNOUT,MEDR_OUT
20171,03388544,11,0,1,200,D,1,D,11,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389904,22,0,1,620,D,1,D,11,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390524,24,0,1,420,D,2,D,11,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03390754,18,0,1,620,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03391314,17,0,2,620,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03394524,35,0,1,200,D,1,D,10,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03395974,18,0,1,420,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396474,9,0,1,200,D,1,D,11,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396584,16,0,1,200,D,1,D,10,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396584,17,0,1,200,D,1,D,11,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396584,18,0,1,200,D,1,D,12,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396634,31,0,1,120,D,1,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03408724,34,0,1,420,D,1,D,11,D,194,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03410784,6,0,1,200,D,1,D,12,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03411034,26,0,2,420,D,1,D,11,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03411654,17,0,1,620,D,1,D,11,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03411654,18,0,1,620,D,1,D,12,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03411654,19,0,1,620,D,1,D,01,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03411734,21,0,1,510,D,1,D,12,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03412464,15,0,1,510,D,1,D,11,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03412464,16,0,1,510,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03412694,11,0,1,620,D,1,D,01,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03413054,25,0,1,410,D,1,D,11,D,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03413054,26,0,1,410,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03413054,27,0,1,410,D,1,D,01,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03415654,27,0,1,420,D,1,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03415654,28,0,1,420,D,1,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03416134,27,0,1,410,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03416134,28,0,1,410,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03416134,29,0,1,410,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03417144,22,0,1,200,D,1,D,01,D,2850,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03418874,15,0,1,110,D,1,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
