QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20171,03386804,11,0,1,390,D,13,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386884,21,0,1,170,D,10,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386884,22,0,1,370,D,13,D,1,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386904,6,0,1,150,D,13,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386924,16,0,1,380,D,11,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386924,17,0,1,230,D,13,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386924,18,0,1,330,D,12,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386964,41,0,1,140,D,12,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386964,42,0,1,225,D,13,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386964,43,0,1,240,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386964,44,0,2,210,D,10,D,1,D,215,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03386964,45,0,2,260,D,10,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387054,17,0,1,370,D,13,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387054,18,0,1,240,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387054,19,0,1,260,D,13,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387084,23,0,1,380,D,10,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387084,24,0,1,330,D,11,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387084,25,0,1,330,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387104,25,0,1,140,D,12,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387104,26,0,1,180,D,13,D,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387104,27,0,1,390,D,13,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387104,28,0,1,250,D,11,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387104,29,0,1,250,D,12,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387104,30,0,2,140,D,10,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03387114,18,0,1,260,D,11,D,1,D,380,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
