QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20171,03386874,7,0,5,01,D,100,D,.0784,D,345953,D,30,D,2500,D,,C,,C,,C,,C,0,D,259,D,261,D,263,D,2241,D,2239,D,2237,D,,A,10,D,2015,D,1,D,,A,342970,D,342711,D,342450,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A,,A
20171,03386964,84,0,5,01,D,100,D,.0784,D,220000,D,15,D,2730,D,3,D,4,D,,A,,A,648,D,679,D,684,D,688,D,1249,D,1244,D,1241,D,012017,D,02,D,2016,D,1,D,,A,214723,D,214044,D,213360,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387034,9,0,5,01,D,100,D,.1120,F,16000,F,15,F,245,F,,B,,B,,B,,B,61,F,76,F,77,F,78,F,108,F,107,F,106,F,,A,11,F,2009,F,1,F,,A,11533,F,11457,F,11380,F,01,D,,A,,A,3,D,,A,,A,,A,1,D,2,D,,A
20171,03387054,22,0,5,01,D,100,D,.0784,F,375567,F,30,F,3700,F,3,F,4,F,,A,,A,986,F,289,F,291,F,293,F,2425,F,2423,F,2421,F,,A,07,F,2015,F,1,F,,A,371192,F,370903,F,370612,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387084,28,0,5,01,D,100,D,.0400,D,110000,D,30,D,933,D,3,D,4,D,,A,,A,408,D,167,D,168,D,168,D,358,D,357,D,357,D,,A,06,D,2015,D,1,D,,A,107402,D,107235,D,107068,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387104,35,0,5,01,D,100,D,.0784,D,154000,D,30,D,1805,D,3,D,,A,,A,,A,692,D,711,D,716,D,720,D,402,D,397,D,393,D,,A,07,D,1992,D,1,D,,A,61539,D,60828,D,60112,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387114,23,0,5,01,D,100,D,.0784,D,96867,D,30,D,1050,D,3,D,4,D,,A,,A,350,D,111,D,112,D,112,D,589,D,588,D,588,D,,A,05,D,2010,D,1,D,,A,90177,D,90066,D,89954,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387114,24,0,5,01,D,100,D,.0784,D,10566,D,15,D,100,D,,A,,A,,A,,A,0,D,44,D,45,D,45,D,56,D,55,D,55,D,,A,03,D,2012,D,1,D,,A,8524,D,8480,D,8436,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387194,14,0,5,01,D,100,D,.0784,D,40000,D,30,D,500,D,3,D,4,D,5,D,,A,211,D,33,D,33,D,33,D,256,D,256,D,256,D,,A,09,D,2014,D,1,D,,A,39251,D,39219,D,39186,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
20171,03387224,18,0,5,01,D,100,D,.0784,D,87042,D,30,D,803,D,3,D,4,D,,A,,A,174,D,68,D,68,D,69,D,561,D,561,D,560,D,,A,04,D,2015,D,1,D,,A,85894,D,85826,D,85758,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,,A
