QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20171,03386874,6,0,5,01,D,100,D,,A,3,D,10,D,2015,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03386884,25,0,5,01,D,100,D,,A,3,D,,B,1972,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03386944,12,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03386944,13,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386944,14,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,50,0,5,01,D,100,D,0.11,D,3,D,02,D,2016,D,,A,,A,,A,10700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03386964,52,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,53,0,5,04,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,24,0,5,01,D,100,D,,A,3,D,,B,1981,D,,A,,A,,A,3600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03387034,8,0,5,01,D,100,D,,A,3,D,01,D,2016,D,16000,D,,C,0,D,500,F,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20171,03387054,21,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,9000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03387084,27,0,5,01,D,100,D,,A,3,D,04,D,2015,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03387104,33,0,5,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03387104,34,0,5,02,D,400,D,,A,3,D,,B,2012,D,,A,,A,,A,40,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20171,03387114,22,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03387164,21,0,5,01,D,100,D,,A,1,D,,B,1992,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
