QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOD,PROP0NOD,OWNYD,OWNYD_,DISPMTHD,DISP_THD,DISPX,DISPX_,DISPEXPX,DISP_XPX,DISPMO,DISPMO_,DISPYR,DISPYR_
20171,03388834,36,0,1,02,D,300,D,1,D,561,D,561,D,12,D,2016,D
20171,03394964,20,0,1,02,D,300,D,3,D,,A,,A,10,D,2016,D
20171,03409654,16,0,1,02,D,300,D,3,D,,A,,A,12,D,2016,D
20171,03409834,20,0,1,02,D,400,D,,C,,A,,A,12,D,2016,D
20171,03413544,24,0,1,01,D,300,D,3,D,,A,,A,11,D,2016,D
20171,03418564,35,0,1,01,D,200,D,1,D,186500,D,12799,D,02,D,2017,D
20171,03448313,27,0,1,01,D,300,D,3,D,,A,,A,12,D,2006,D
20171,03470503,37,0,1,03,D,300,D,3,D,,A,,A,01,D,2017,D
20171,03497103,75,0,1,03,D,200,D,1,D,471750,T,19000,D,12,D,2016,D
20171,03503112,37,0,1,02,D,300,D,1,D,285833,T,0,D,11,D,2016,D
20171,03505172,56,0,1,02,D,300,D,1,D,130000,D,7800,D,11,D,2016,D
20171,03505762,46,0,1,03,D,300,D,1,D,125000,D,0,D,12,D,2016,D
20171,03507452,10,0,1,01,D,200,D,2,D,,A,,A,11,D,2016,D
20171,03507452,11,0,1,02,D,200,D,2,D,,A,,A,10,D,2016,D
20171,03508852,18,0,1,02,D,300,D,3,D,,A,,A,11,D,2016,D
20171,03525552,30,0,1,03,D,200,D,2,D,,A,,A,12,D,2016,D
20171,03526212,16,0,1,03,D,400,D,1,D,313400,T,52000,D,12,D,2016,D
20171,03526992,21,0,1,02,D,200,D,1,D,50000,D,0,D,01,D,2017,D
20171,03527442,20,0,1,02,D,300,D,2,D,,A,,A,12,D,2016,D
20171,03546832,25,0,1,04,D,400,D,3,D,,A,,A,12,D,2016,D
20171,03553952,22,0,1,01,D,100,D,3,D,,A,,A,12,D,2016,D
20171,03555584,11,0,1,01,D,200,D,1,D,471750,V,19000,F,12,D,2016,D
20171,03555812,30,0,1,02,D,200,D,2,D,,A,,A,02,D,2017,D
20171,03566531,46,0,1,07,D,400,D,1,D,313400,T,8940,D,10,D,2016,D
20171,03569481,30,0,1,02,D,200,D,1,D,471750,T,0,D,12,D,2016,D
20171,03570001,21,0,1,02,D,300,D,3,D,,A,,A,12,D,2016,D
20171,03573051,15,0,1,01,D,200,D,1,D,2800,D,0,D,10,D,2016,D
20171,03574491,15,0,1,02,D,300,D,1,D,160000,D,12000,D,11,D,2016,D
20171,03597653,23,0,1,02,D,200,D,1,D,226000,D,12000,D,12,D,2016,D
20171,03600681,17,0,1,02,D,300,D,2,D,,A,,A,01,D,2017,D
20172,03440224,15,0,1,02,D,400,D,1,D,313400,T,20000,D,02,D,2017,D
20172,03462584,45,0,1,03,D,300,D,1,D,122500,D,7525,D,03,D,2017,D
20172,03524963,27,0,1,02,D,300,D,1,D,160000,D,10000,D,03,D,2017,D
20172,03525673,19,0,1,03,D,400,D,3,D,,A,,A,02,D,2016,D
20172,03529783,23,0,1,02,D,300,D,3,D,,A,,A,02,D,2017,D
20172,03529783,24,0,1,03,D,300,D,3,D,,A,,A,02,D,2017,D
20172,03529783,25,0,1,04,D,300,D,3,D,,A,,A,03,D,2017,D
20172,03534444,26,0,1,01,D,200,D,3,D,,A,,A,04,D,2017,D
20172,03566532,50,0,1,02,D,300,D,1,D,,A,,A,03,D,2016,D
20172,03566532,51,0,1,03,D,400,D,1,D,,A,,A,01,D,2016,D
20172,03566532,52,0,1,04,D,400,D,1,D,,A,,A,01,D,2016,D
20172,03589022,27,0,1,02,D,200,D,1,D,80000,D,0,D,02,D,2017,D
20172,03589122,63,0,1,02,D,200,D,1,D,127500,D,8000,D,03,D,2017,D
20172,03590472,10,0,1,01,D,100,D,1,D,,A,,A,03,D,2017,D
20172,03597942,13,0,1,01,D,200,D,1,D,140000,D,0,D,04,D,2017,D
20172,03600602,11,0,1,01,D,200,D,3,D,,A,,A,04,D,2017,D
20172,03603622,14,0,1,01,D,100,D,3,D,,A,,A,04,D,2017,D
20172,03608492,38,0,1,01,D,100,D,2,D,,A,,A,05,D,2017,D
20173,03504384,35,0,1,01,D,200,D,3,D,,A,,A,06,D,2017,D
20173,03555384,27,0,1,02,D,200,D,1,D,230000,D,16000,D,08,D,2017,D
20173,03567443,18,0,1,01,D,300,D,3,D,,A,,A,06,D,2017,D
20173,03572493,27,0,1,04,D,400,D,1,D,7000,D,100,D,06,D,2017,D
20173,03573523,23,0,1,04,D,200,D,1,D,,A,,A,04,D,2017,D
20173,03598693,15,0,1,01,D,300,D,1,D,25000,D,4000,D,06,D,2017,D
20173,03599793,23,0,1,02,D,300,D,1,D,285833,V,0,D,08,D,2017,D
20173,03602963,28,0,1,01,D,300,D,2,D,,A,,A,06,D,2017,D
20173,03644322,35,0,1,04,D,300,D,3,D,,A,,A,04,D,2017,D
20173,03650254,10,0,1,01,D,400,D,1,D,,A,,A,07,D,2017,D
20173,03652052,26,0,1,06,D,400,D,1,D,,A,,A,05,D,2017,D
20173,03668492,36,0,1,02,D,300,D,1,D,285833,T,8000,D,07,D,2017,D
20173,03668492,37,0,1,05,D,300,D,3,D,,A,,A,07,D,2017,D
