QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOH,PROP0NOH,OWNYH,OWNYH_,PAIDLOAN,PAID_OAN,PRIMPLUS,PRIM_LUS,JINTPDX,JINTPDX_,JLCPRINX,JLCP_INX,LOAN_NOH,LOAN0NOH,TOTOWED,TOTOWED_
20171,03386884,26,0,5,01,D,100,D,1,D,0.0525,D,394,F,356,F,01,D,30000,F
20171,03387414,19,0,5,01,D,100,D,1,D,0.0525,D,1050,D,1263,D,01,D,80000,D
20171,03387424,46,0,5,01,D,100,D,1,D,0.0525,D,1877,D,-782,D,01,D,143000,D
20171,03388454,21,0,5,01,D,100,D,1,D,0.0525,D,7,D,1493,D,01,D,551,D
20171,03388674,58,0,5,01,D,100,D,1,D,0.0525,D,60,D,240,D,01,D,4547,D
20171,03388734,65,0,5,01,D,100,D,2,D,0.0525,D,,A,,A,01,D,0,D
20171,03389044,28,0,5,01,D,100,D,2,D,0.0525,D,66,F,-34,F,01,D,5000,F
20171,03389194,8,0,5,01,D,100,D,1,D,0.0525,D,236,D,1564,D,01,D,18000,D
20171,03390624,35,0,5,01,D,100,D,1,D,0.0525,D,59,D,955,D,01,D,4500,D
20171,03390684,30,0,5,01,D,100,D,2,D,0.0525,D,,A,,A,01,D,0,D
20171,03390804,45,0,5,01,D,100,D,1,D,0.0525,D,917,D,1458,D,01,D,69900,D
20171,03391384,16,0,5,01,D,100,D,1,D,0.0525,D,1582,D,47488,T,01,D,120542,D
20171,03391894,29,0,5,01,D,100,D,1,D,0.0525,D,116,D,484,D,01,D,8800,D
20171,03392614,22,0,5,01,D,100,D,1,D,0.0525,D,369,D,171,D,01,D,28150,D
20171,03393814,69,0,5,01,D,100,D,1,D,0.0525,D,2418,D,-1037,D,01,D,184228,D
20171,03394484,34,0,5,01,D,100,D,1,D,0.0525,D,289,D,302,D,01,D,22000,D
20171,03394804,43,0,5,01,D,100,D,1,D,0.0525,D,67,D,683,D,01,D,5086,D
