QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYC,VEHICYC_,VEHDISP,VEHDISP_,VDISPMO,VDISPMO_,SALEX,SALEX_,REIMBURX,REIM_URX,EXREIMBX,EXRE_MBX,LOANSTAT,LOAN_TAT,FINPAYMX,FINP_YMX,VEHICIC,VEHICIC_
20171,03387004,40,0,1,110,D,1,D,11,D,1500,D,,A,,A,2,D,,A,01,D
20171,03387034,16,0,1,110,D,1,D,12,D,1300,D,,A,,A,2,D,,A,01,D
20171,03387094,15,0,1,100,D,6,D,12,D,,A,,A,,A,2,D,,A,02,D
20171,03387104,47,0,1,100,D,4,D,10,D,,A,12000,D,,A,2,D,,A,01,D
20171,03387614,35,0,1,170,D,3,D,11,D,,A,,A,,A,2,D,,A,03,D
20171,03387664,22,0,2,110,D,1,D,10,D,2100,D,,A,,A,2,D,,A,01,D
20171,03388194,16,0,1,110,D,6,D,10,D,,A,,A,,A,2,D,,A,02,D
20171,03388714,40,0,1,110,D,6,D,12,D,,A,,A,,A,2,D,,A,04,D
20171,03388834,49,0,1,100,D,1,D,12,D,5000,D,,A,,A,2,D,,A,03,D
20171,03388964,51,0,1,110,D,2,D,11,D,,A,,A,,A,1,D,,A,02,D
20171,03389694,78,0,1,100,D,1,D,12,D,1500,F,,A,,A,2,D,,A,05,D
20171,03389984,35,0,2,110,D,2,D,10,D,,A,,A,,A,2,D,,A,01,D
20171,03390214,26,0,1,110,D,1,D,10,D,28000,D,,A,,A,1,D,26000,D,02,D
20171,03391444,33,0,1,100,D,2,D,10,D,,A,,A,,A,1,D,12000,D,01,D
20171,03391674,45,0,2,110,D,1,D,10,D,100,D,,A,,A,2,D,,A,03,D
20171,03392324,18,0,1,110,D,2,D,12,D,,A,,A,,A,2,D,,A,01,D
20171,03392624,19,0,1,100,D,3,D,12,D,,A,,A,,A,1,D,,A,02,D
20171,03392694,21,0,1,110,D,2,D,10,D,,A,,A,,A,2,D,,A,02,D
20171,03392794,11,0,2,100,D,1,D,10,D,200,D,,A,,A,2,D,,A,02,D
20171,03392924,20,0,1,110,D,2,D,12,D,,A,,A,,A,1,D,8800,D,01,D
20171,03393494,24,0,1,110,D,1,D,10,D,5500,D,,A,,A,2,D,,A,02,D
20171,03393534,54,0,1,170,D,1,D,11,D,100,D,,A,,A,2,D,,A,04,D
20171,03393674,42,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,01,D
20171,03393834,12,0,1,110,D,6,D,11,D,,A,,A,,A,2,D,,A,01,D
20171,03393864,27,0,1,100,D,4,D,10,D,,A,,A,,A,,C,,A,01,D
20171,03394294,60,0,1,160,D,6,D,11,D,,A,,A,,A,2,D,,A,08,D
20171,03394304,12,0,1,110,D,1,D,12,D,800,D,,A,,A,2,D,,A,01,D
20171,03394604,41,0,1,110,D,3,D,12,D,,A,,A,,A,2,D,,A,01,D
20171,03395434,33,0,1,100,D,3,D,10,D,,A,,A,,A,2,D,,A,03,D
20171,03395664,34,0,1,100,D,1,D,11,D,5300,D,,A,,A,2,D,,A,02,D
20171,03395684,29,0,1,100,D,2,D,10,D,,A,,A,,A,2,D,,A,02,D
20171,03396514,14,0,1,100,D,4,D,12,D,,A,,A,,A,2,D,,A,02,D
20171,03396634,46,0,1,100,D,3,D,10,D,,A,,A,,A,2,D,,A,03,D
20171,03396884,16,0,1,100,D,1,D,10,D,1500,D,,A,,A,2,D,,A,01,D
20171,03407634,50,0,1,100,D,3,D,12,D,,A,,A,,A,2,D,,A,01,D
20171,03408094,32,0,1,100,D,1,D,11,D,1500,D,,A,,A,2,D,,A,01,D
20171,03408494,24,0,1,100,D,6,D,11,D,,A,,A,,A,,C,,A,02,D
