QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20171,03386924,21,0,1,105,D,1.0,D,0,D,2,D
20171,03388094,51,0,1,105,D,,A,170,D,1,D
20171,03388894,38,0,1,105,D,,A,245,D,1,D
20171,03389624,48,0,1,105,D,,A,252,D,1,D
20171,03389624,49,0,1,105,D,,A,361,D,1,D
20171,03389814,24,0,1,180,D,,A,25,D,2,D
20171,03391384,24,0,1,105,D,,A,9,D,1,D
20171,03392384,40,0,1,105,D,,A,600,D,1,D
20171,03392464,30,0,1,105,D,,A,320,D,1,D
20171,03393104,36,0,1,105,D,,A,200,D,1,D
20171,03394824,39,0,1,105,D,,A,150,D,1,D
20171,03395214,38,0,1,200,D,,A,2,D,2,D
20171,03395394,36,0,1,105,D,,A,1100,D,1,D
20171,03395974,26,0,1,105,D,,A,260,D,2,D
20171,03396054,21,0,1,105,D,,A,600,D,1,D
20171,03396164,35,0,1,105,D,,A,269,F,2,D
20171,03409524,12,0,1,105,D,,A,120,D,2,D
20171,03409594,40,0,1,105,D,,A,483,D,1,D
20171,03411054,46,0,1,105,D,,A,97,D,1,D
20171,03412884,25,0,1,105,D,1.0,D,0,D,1,D
20171,03414364,42,0,1,105,D,,A,1,D,1,D
20171,03414364,43,0,1,105,D,,A,1,D,2,D
20171,03414734,35,0,1,105,D,,A,150,D,2,D
20171,03414904,18,0,1,105,D,,A,10,D,2,D
20171,03416694,15,0,1,105,D,,A,46,D,2,D
20171,03416724,28,0,1,105,D,,A,2000,D,1,D
20171,03418724,49,0,1,105,D,,A,120,D,1,D
20171,03419214,12,0,1,105,D,,A,300,D,1,D
20171,03419944,11,0,1,105,D,,A,200,D,2,D
20171,03419964,30,0,1,105,D,,A,175,D,1,D
20171,03421464,28,0,1,105,D,,A,400,D,1,D
20171,03422674,28,0,1,105,D,,A,120,D,1,D
20171,03422864,20,0,1,105,D,,A,80,D,2,D
20171,03422904,6,0,1,105,D,,A,650,D,2,D
20171,03425414,28,0,1,105,D,,A,269,F,,C
20171,03426214,14,0,1,105,D,,A,120,D,1,D
20171,03426214,15,0,1,105,D,,A,120,D,1,D
20171,03427434,35,0,1,105,D,,A,450,D,2,D
20171,03442153,11,0,1,120,D,,A,200,D,2,D
20171,03442293,24,0,1,105,D,1.0,D,0,D,2,D
20171,03442893,25,0,1,105,D,,A,120,D,2,D
20171,03444033,10,0,1,105,D,,A,65,D,2,D
20171,03444203,40,0,1,105,D,,A,193,D,2,D
20171,03444743,37,0,1,105,D,,A,145,D,2,D
20171,03445043,21,0,1,105,D,,A,95,D,2,D
20171,03445043,22,0,1,200,D,,A,100,D,1,D
20171,03445623,39,0,1,105,D,,A,440,D,1,D
20171,03446013,54,0,1,105,D,,A,290,D,1,D
