QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,TICPURCH,SUBPURCH
20171,03386764,37,0,1,830,D,1,D,35,D,13,D,,
20171,03386764,38,0,1,600,D,1,D,50,D,11,D,,
20171,03386764,39,0,1,510,D,1,D,20,D,12,D,,
20171,03386764,40,0,1,160,D,1,D,10,D,11,D,,
20171,03386764,41,0,1,320,D,1,D,10,D,12,D,,
20171,03386804,13,0,1,510,D,1,D,70,D,12,D,,
20171,03386804,14,0,1,320,D,1,D,20,D,11,D,,
20171,03386804,15,0,1,340,D,1,D,60,D,12,D,,
20171,03386924,23,0,1,830,D,1,D,45,D,13,D,,
20171,03386924,24,0,1,610,D,1,D,100,D,11,D,,
20171,03386924,25,0,1,950,D,1,D,70,D,12,D,,
20171,03386924,26,0,1,210,D,1,D,100,D,12,D,,
20171,03386924,27,0,1,330,D,1,D,9,D,13,D,,
20171,03386924,28,0,1,360,D,1,D,9,D,13,D,,
20171,03386964,66,0,1,840,D,1,D,110,D,12,D,,
20171,03386964,67,0,1,500,D,1,D,30,D,12,D,,
20171,03386964,68,0,2,320,D,1,D,20,D,10,D,,
20171,03386974,12,0,1,510,D,1,D,50,D,12,D,,
20171,03386974,13,0,1,360,D,1,D,12,D,13,D,,
20171,03387054,26,0,1,510,D,1,D,85,D,10,D,,
20171,03387054,27,0,1,510,D,1,D,85,D,11,D,,
20171,03387054,28,0,1,510,D,1,D,85,D,12,D,,
20171,03387054,29,0,1,500,D,1,D,450,D,10,D,,
20171,03387084,34,0,1,510,D,1,D,40,D,12,D,,
20171,03387084,35,0,1,360,D,1,D,9,D,13,D,,
20171,03387104,48,0,1,210,D,1,D,20,D,10,D,,
20171,03387104,49,0,1,210,D,1,D,20,D,11,D,,
20171,03387104,50,0,1,210,D,1,D,20,D,12,D,,
20171,03387104,51,0,1,600,D,1,D,320,D,12,D,,
20171,03387104,52,0,1,510,D,1,D,45,D,11,D,,
20171,03387104,53,0,2,210,D,1,D,15,D,10,D,,
20171,03387114,30,0,1,360,D,1,D,8,D,13,D,,
20171,03387114,31,0,1,400,D,1,D,2,D,10,D,,
20171,03387114,32,0,1,400,D,1,D,2,D,11,D,,
20171,03387114,33,0,1,400,D,1,D,2,D,12,D,,
20171,03387114,34,0,1,350,D,1,D,4,D,12,D,,
20171,03387134,21,0,1,510,D,1,D,50,D,10,D,,
20171,03387134,22,0,1,370,D,1,D,50,D,12,D,,
20171,03387154,30,0,1,360,D,1,D,12,D,13,D,,
20171,03387224,27,0,1,330,D,1,D,5,D,13,D,,
20171,03387304,26,0,1,510,D,1,D,16,D,11,D,,
20171,03387304,27,0,1,150,D,1,D,1,D,10,D,,
20171,03387314,25,0,1,610,D,1,D,250,D,10,D,,
20171,03387314,26,0,1,610,D,1,D,100,D,11,D,,
20171,03387314,27,0,1,610,D,1,D,50,D,12,D,,
20171,03387314,28,0,1,610,D,1,D,144,D,10,D,,
20171,03387314,29,0,1,610,D,1,D,144,D,11,D,,
20171,03387314,30,0,1,610,D,1,D,144,D,12,D,,
20171,03387314,31,0,1,610,D,1,D,100,D,10,D,,
20171,03387314,32,0,1,610,D,1,D,100,D,11,D,,
20171,03387314,33,0,1,610,D,1,D,100,D,12,D,,
20171,03387314,34,0,1,830,D,1,D,48,D,13,D,,
