QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20171,03390804,61,0,1,,H,,A
20171,03390804,61,1,1,105,E,100,D
20171,03390804,61,2,1,34,E,110,D
20171,03390804,61,3,1,264,E,130,D
20171,03390804,61,4,1,58,E,200,D
20171,03390804,61,5,1,83,E,210,D
20171,03390804,61,6,1,106,E,220,D
20171,03391284,33,0,1,,H,,A
20171,03391284,33,1,1,25,E,120,D
20171,03391284,33,2,1,3,E,140,D
20171,03391284,33,3,1,173,E,150,D
20171,03391284,33,4,1,38,E,160,D
20171,03391284,33,5,1,21,E,170,D
20171,03391284,33,6,1,114,E,180,D
20171,03391284,33,7,1,26,E,190,D
20171,03392234,61,0,1,,H,,A
20171,03392234,61,1,1,3,E,100,D
20171,03392234,61,2,1,1,E,120,D
20171,03392234,61,3,1,15,E,150,D
20171,03392234,61,4,1,2,E,160,D
20171,03392234,61,5,1,1,E,170,D
20171,03392234,61,6,1,7,E,180,D
20171,03392234,61,7,1,1,E,190,D
20171,03392384,50,0,1,,H,,A
20171,03392384,50,1,1,47,E,100,D
20171,03392384,50,2,1,12,E,110,D
20171,03392384,50,3,1,22,E,120,D
20171,03392384,50,4,1,99,E,130,D
20171,03392384,50,5,1,3,E,140,D
20171,03392384,50,6,1,148,E,150,D
20171,03392384,50,7,1,32,E,160,D
20171,03392384,50,8,1,18,E,170,D
20171,03392384,50,9,1,97,E,180,D
20171,03392384,50,10,1,22,E,190,D
20171,03392614,33,0,1,,H,,A
20171,03392614,33,1,1,53,E,120,D
20171,03392614,33,2,1,9,E,140,D
20171,03392614,33,3,1,414,E,150,D
20171,03392614,33,4,1,92,E,160,D
20171,03392614,33,5,1,50,E,170,D
20171,03392614,33,6,1,273,E,180,D
20171,03392614,33,7,1,64,E,190,D
20171,03393454,61,0,1,,H,,A
20171,03393454,61,1,1,23,E,100,D
20171,03393454,61,2,1,7,E,110,D
20171,03393454,61,3,1,16,E,120,D
20171,03393454,61,4,1,1,E,140,D
20171,03393454,61,5,1,89,E,150,D
20171,03393454,61,6,1,12,E,160,D
20171,03393454,61,7,1,19,E,170,D
20171,03393454,61,8,1,174,E,180,D
20171,03393454,61,9,1,9,E,190,D
20171,03409194,60,0,1,,H,,A
20171,03409194,60,1,1,28,E,120,D
20171,03409194,60,2,1,9,E,140,D
20171,03409194,60,3,1,238,E,150,D
20171,03409194,60,4,1,53,E,160,D
20171,03409194,60,5,1,29,E,170,D
20171,03409194,60,6,1,157,E,180,D
20171,03409194,60,7,1,36,E,190,D
20171,03410054,88,0,1,,H,,A
20171,03410054,88,1,1,52,E,100,D
20171,03410054,88,2,1,11,E,110,D
