QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20171,03387744,20,0,1,3,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D,1,D
20171,03389444,25,0,1,6,D,,A,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20171,03390714,56,0,1,2,D,295,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03392754,15,0,1,3,D,147,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03396194,52,0,1,1,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03409834,37,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20171,03421024,47,0,1,1,D,115,D,15,F,,A,85,D,,A,,A,,A,,A,100,F,,A
20171,03421424,55,0,1,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03421924,27,0,1,7,D,,A,70,D,,A,808,D,,A,,A,,A,,A,203,D,,A
20171,03422194,24,0,1,2,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D
20171,03423944,56,0,1,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03424394,45,0,1,1,D,179,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03425764,53,0,1,3,D,80,D,,A,,A,20,D,,A,,A,,A,,A,100,D,30,D
20171,03441853,28,0,1,2,D,500,D,50,D,,A,,A,,A,,A,,A,,A,150,D,20,D
20171,03441943,32,0,1,1,D,1,D,,A,,A,400,D,,A,,A,,A,,A,100,D,,A
20171,03445153,40,0,1,1,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03445313,48,0,1,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03446013,67,0,1,1,D,,A,30,D,,A,,A,,A,,A,,A,,A,200,D,,A
20171,03447243,20,0,1,1,D,200,D,10,D,,A,,A,,A,,A,,A,,A,40,D,,A
20171,03447333,72,0,1,1,D,225,D,15,D,,A,,A,,A,,A,,A,,A,100,D,,A
20171,03447493,42,0,1,2,D,150,D,,A,,A,,A,,A,,A,,A,,A,25,D,,A
20171,03449813,19,0,1,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D
20171,03468353,36,0,1,2,D,89,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20171,03471283,43,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20171,03492073,21,0,1,2,D,60,D,,A,,A,,A,,A,,A,,A,,A,25,D,,A
20171,03497373,26,0,1,7,D,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20171,03500033,22,0,1,3,D,212,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D
20171,03500213,60,0,1,1,D,240,D,,A,,A,150,D,,A,,A,,A,,A,500,D,,A
20171,03503832,31,0,1,3,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03504552,22,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03505172,74,0,1,2,D,198,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
