QYEAR,NEWID,SEQNO,ALCNO,INTSERV,INTSERV_,INTMO,INTMO_,INTCHGX,INTCHGX_,INTSRV1,INTSRV1_,INTSRV2,INTSRV2_,INTSRV3,INTSRV3_,INTSRV4,INTSRV4_,INTSRV5,INTSRV5_,INTSRV6,INTSRV6_,INTSRV7,INTSRV7_,INTSRV8,INTSRV8_,INTSRV9,INTSRV9_
20171,03386764,46,0,600,D,13,D,57,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386774,27,0,200,D,13,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386804,18,0,200,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386874,14,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03386874,14,1,200,D,13,D,45,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386874,14,2,100,D,13,D,80,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386884,35,0,600,D,13,D,89,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386894,18,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03386894,18,1,200,D,13,D,27,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386894,18,2,100,D,13,D,48,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386904,11,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03386904,11,1,200,D,13,D,48,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386904,11,2,100,D,13,D,87,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,75,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03386964,75,1,200,D,13,D,25,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,75,2,100,D,13,D,45,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386984,7,0,100,D,13,D,57,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,46,0,100,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387034,20,0,200,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,39,0,200,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387114,41,0,200,D,13,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387134,27,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387134,27,1,200,D,13,D,37,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387134,27,2,100,D,13,D,65,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387154,34,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387154,34,1,200,D,13,D,23,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387154,34,2,100,D,13,D,40,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387164,31,0,100,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387224,34,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387224,34,1,200,D,13,D,25,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387224,34,2,100,D,13,D,45,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387274,14,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387274,14,1,200,D,13,D,88,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387274,14,2,100,D,13,D,157,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387304,28,0,100,D,13,D,91,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387314,49,0,200,D,13,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387344,26,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387344,26,1,200,D,13,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387344,26,2,100,D,13,D,32,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387354,29,0,100,D,13,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387384,16,0,100,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387404,31,0,100,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387404,32,0,200,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387514,11,0,100,D,13,D,205,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387544,10,0,200,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387624,29,0,100,D,13,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387664,37,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387664,37,1,200,D,13,D,34,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387664,37,2,100,D,13,D,61,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387684,30,0,100,D,13,D,200,D,100,D,600,D,,A,,A,,A,,A,,A,,A,,A
20171,03387694,33,0,100,D,13,D,145,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387724,25,0,100,D,13,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387734,7,0,100,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,33,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387814,33,1,200,D,13,D,83,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,33,2,100,D,13,D,147,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387834,36,0,100,D,13,D,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387834,37,0,200,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,49,0,100,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387964,25,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03387964,25,1,200,D,13,D,67,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387964,25,2,100,D,13,D,118,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387994,23,0,100,D,13,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387994,24,0,200,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,33,0,100,D,13,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388144,21,0,100,D,13,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388154,11,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03388154,11,1,200,D,13,D,36,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388154,11,2,100,D,13,D,64,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388194,20,0,200,D,13,D,58,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388244,35,0,255,D,13,D,,H,200,D,100,D,,A,,A,,A,,A,,A,,A,,A
20171,03388244,35,1,200,D,13,D,28,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388244,35,2,100,D,13,D,50,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388284,32,0,100,D,13,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
