QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QFCD3MCX,QFCD_MCX,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20171,03386764,47,0,1,,A,,,A,,A,,A
20171,03386774,28,0,1,,A,,,A,,A,,A
20171,03386804,19,0,1,,A,,,A,,A,,A
20171,03386874,15,0,1,,A,,,A,,A,,A
20171,03386884,36,0,1,,A,,,A,,A,,A
20171,03386894,19,0,1,,A,,,A,,A,,A
20171,03386904,12,0,1,,A,,,A,,A,,A
20171,03386924,34,0,1,,A,,,A,,A,,A
20171,03386944,24,0,1,,A,,,A,,A,,A
20171,03386964,76,0,1,,A,,,A,,A,,A
20171,03386974,15,0,1,,A,,,A,,A,,A
20171,03386984,8,0,1,141,D,,,A,,A,,A
20171,03387004,47,0,1,,A,,,A,,A,,A
20171,03387034,21,0,1,,A,,,A,,A,,A
20171,03387054,34,0,1,,A,,,A,,A,,A
20171,03387084,40,0,1,,A,,,A,,A,,A
20171,03387094,18,0,1,,A,,,A,,A,,A
20171,03387104,60,0,1,,A,,,A,,A,,A
20171,03387114,42,0,1,,A,,,A,,A,,A
20171,03387134,28,0,1,,A,,,A,,A,,A
20171,03387154,35,0,1,,A,,,A,,A,,A
20171,03387164,32,0,1,,A,,,A,,A,,A
20171,03387194,22,0,1,,A,,,A,,A,,A
20171,03387224,35,0,1,,A,,,A,,A,,A
20171,03387234,34,0,1,,A,,,A,,A,,A
20171,03387274,15,0,1,,A,,,A,,A,,A
20171,03387304,29,0,1,,A,,,A,,A,,A
20171,03387314,50,0,1,,A,,,A,,A,,A
20171,03387344,27,0,1,,A,,,A,,A,,A
20171,03387354,30,0,1,,A,,,A,,A,,A
20171,03387384,17,0,1,,A,,,A,,A,,A
20171,03387404,33,0,1,,A,,,A,,A,,A
20171,03387414,34,0,1,,A,,,A,,A,,A
20171,03387424,73,0,1,,A,,,A,,A,,A
20171,03387444,37,0,1,,A,,,A,,A,,A
20171,03387474,18,0,1,,A,,,A,,A,,A
20171,03387514,12,0,1,,A,,,A,,A,,A
20171,03387544,11,0,1,,A,,,A,,A,,A
20171,03387574,26,0,1,,A,,,A,,A,,A
20171,03387584,48,0,1,,A,,,A,,A,,A
20171,03387594,40,0,1,,A,,,A,,A,,A
20171,03387614,40,0,1,,A,,,A,,A,,A
20171,03387624,30,0,1,,A,,,A,,A,,A
20171,03387654,25,0,1,,A,,,A,,A,,A
20171,03387664,38,0,1,,A,,,A,,A,,A
20171,03387684,31,0,1,,A,,,A,,A,,A
20171,03387694,34,0,1,,A,,,A,,A,,A
20171,03387714,12,0,1,,A,,,A,,A,,A
20171,03387724,26,0,1,,A,,,A,,A,,A
20171,03387734,8,0,1,,A,,,A,,A,,A
20171,03387744,24,0,1,,A,,,A,,A,,A
20171,03387814,34,0,1,,A,,,A,,A,,A
20171,03387834,38,0,1,,A,,,A,,A,,A
20171,03387904,50,0,1,,A,,,A,,A,,A
20171,03387964,26,0,1,,A,,,A,,A,,A
20171,03387994,25,0,1,,A,,,A,,A,,A
20171,03388044,34,0,1,,A,,,A,,A,,A
20171,03388094,63,0,1,,A,,,A,,A,,A
20171,03388144,22,0,1,,A,,,A,,A,,A
20171,03388154,12,0,1,,A,,,A,,A,,A
20171,03388164,14,0,1,,A,,,A,,A,,A
20171,03388174,25,0,1,,A,,,A,,A,,A
20171,03388194,21,0,1,,A,,,A,,A,,A
20171,03388214,18,0,1,,A,,,A,,A,,A
20171,03388224,26,0,1,,A,,,A,,A,,A
20171,03388244,36,0,1,,A,,,A,,A,,A
20171,03388264,32,0,1,,A,,,A,,A,,A
20171,03388284,34,0,1,,A,,,A,,A,,A
20171,03388294,19,0,1,,A,,,A,,A,,A
20171,03388304,15,0,1,,A,,,A,,A,,A
20171,03388314,63,0,1,,A,,,A,,A,,A
20171,03388344,83,0,1,,A,,,A,,A,,A
20171,03388454,34,0,1,,A,,,A,,A,,A
20171,03388464,14,0,1,,A,,,A,,A,,A
20171,03388474,36,0,1,,A,,,A,,A,,A
20171,03388484,83,0,1,,A,,,A,,A,,A
20171,03388504,9,0,1,,A,,,A,,A,,A
20171,03388524,24,0,1,,A,,,A,,A,,A
20171,03388534,20,0,1,,A,,,A,,A,,A
20171,03388544,18,0,1,,A,,,A,,A,,A
20171,03388554,38,0,1,,A,,,A,,A,,A
20171,03388574,25,0,1,,A,,,A,,A,,A
20171,03388584,26,0,1,,A,,,A,,A,,A
20171,03388604,25,0,1,,A,,,A,,A,,A
20171,03388624,57,0,1,,A,,,A,,A,,A
20171,03388674,73,0,1,,A,,,A,,A,,A
20171,03388684,16,0,1,,A,,,A,,A,,A
20171,03388714,57,0,1,,A,,,A,,A,,A
20171,03388724,15,0,1,,A,,,A,,A,,A
20171,03388734,91,0,1,,A,,,A,,A,,A
20171,03388754,26,0,1,,A,,,A,,A,,A
20171,03388774,16,0,1,,A,,,A,,A,,A
20171,03388784,21,0,1,,A,,,A,,A,,A
20171,03388794,60,0,1,,A,,,A,,A,,A
20171,03388814,6,0,1,,A,,,A,,A,,A
20171,03388834,67,0,1,,A,,,A,,A,,A
20171,03388854,18,0,1,,A,,,A,,A,,A
20171,03388874,29,0,1,,A,,,A,,A,,A
20171,03388894,53,0,1,,A,,,A,,A,,A
20171,03388964,67,0,1,,A,,,A,,A,,A
20171,03388974,14,0,1,,A,,,A,,A,,A
20171,03388984,36,0,1,,A,,,A,,A,,A
20171,03388994,18,0,1,,A,,,A,,A,,A
20171,03389004,13,0,1,,A,,,A,,A,,A
20171,03389044,48,0,1,,A,,,A,,A,,A
20171,03389054,48,0,1,,A,,,A,,A,,A
20171,03389084,17,0,1,,A,,,A,,A,,A
20171,03389124,30,0,1,,A,,,A,,A,,A
20171,03389144,8,0,1,,A,,,A,,A,,A
20171,03389164,19,0,1,,A,,,A,,A,,A
20171,03389194,14,0,1,,A,,,A,,A,,A
20171,03389204,14,0,1,,A,,,A,,A,,A
20171,03389224,34,0,1,,A,,,A,,A,,A
20171,03389234,32,0,1,,A,,,A,,A,,A
20171,03389244,37,0,1,,A,,,A,,A,,A
20171,03389264,57,0,1,,A,,,A,,A,,A
20171,03389274,53,0,1,,A,,,A,,A,,A
20171,03389294,10,0,1,,A,,,A,,A,,A
20171,03389354,30,0,1,,A,,,A,,A,,A
20171,03389434,15,0,1,,A,,,A,,A,,A
20171,03389444,31,0,1,,A,,,A,,A,,A
20171,03389474,48,0,1,,A,,,A,,A,,A
20171,03389484,39,0,1,,A,,,A,,A,,A
20171,03389494,41,0,1,,A,,,A,,A,,A
20171,03389534,14,0,1,,A,,,A,,A,,A
20171,03389554,17,0,1,20,D,,,A,,A,,A
20171,03389564,65,0,1,,A,,,A,,A,,A
20171,03389574,33,0,1,,A,,,A,,A,,A
20171,03389604,25,0,1,,A,,,A,,A,,A
20171,03389624,54,0,1,,A,,,A,,A,,A
20171,03389644,27,0,1,,A,,,A,,A,,A
20171,03389694,90,0,1,,A,,,A,,A,,A
20171,03389724,17,0,1,,A,,,A,,A,,A
20171,03389734,27,0,1,,A,,,A,,A,,A
20171,03389744,19,0,1,,A,,,A,,A,,A
20171,03389754,55,0,1,,A,,,A,,A,,A
20171,03389784,49,0,1,,A,,,A,,A,,A
20171,03389794,26,0,1,,A,,,A,,A,,A
20171,03389804,20,0,1,,A,,,A,,A,,A
