QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20171,03386764,48,0,1,11,D,1500,D,,A,1500,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386764,49,0,1,12,D,100,D,,A,100,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386764,50,0,1,11,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386774,29,0,1,10,D,20,D,,A,20,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386924,35,0,1,10,D,64,D,,A,64,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,77,0,1,12,D,25,D,,A,25,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,78,0,1,12,D,736,D,,A,736,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,79,0,1,11,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,80,0,2,10,D,140,D,,A,140,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,48,0,1,11,D,400,D,,A,400,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,49,0,1,10,D,42,D,,A,42,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,50,0,2,10,D,60,D,,A,60,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,51,0,2,10,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,41,0,2,10,D,200,D,,A,200,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387084,42,0,2,10,D,325,D,,A,325,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387094,19,0,1,11,D,75,D,,A,75,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387104,61,0,1,11,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387104,62,0,1,11,D,35,D,,A,35,D,320,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387104,63,0,2,10,D,30,D,,A,30,D,320,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387134,29,0,1,11,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387154,36,0,1,10,D,130,D,,A,130,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387164,33,0,1,12,D,95,D,,A,95,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387164,34,0,2,10,D,310,D,,A,310,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387224,36,0,1,11,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387224,37,0,1,10,D,1800,D,,A,1800,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387224,38,0,2,10,D,43,D,,A,43,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387314,51,0,1,10,D,82,D,,A,82,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387314,52,0,1,10,D,54,D,,A,54,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387344,28,0,1,11,D,29,D,,A,29,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387354,31,0,1,12,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387404,34,0,1,10,D,28,D,,A,28,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387424,74,0,1,11,D,850,D,,A,,H,500,D,1,F,2,D,110,D,140,D,,A,,A,,A,,A,,A,,A,,A
20171,03387424,74,1,1,11,D,,B,,A,121,E,110,D,1,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387424,74,2,1,11,D,,B,,A,729,E,140,D,1,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387424,75,0,1,12,D,1200,D,,A,1200,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387444,38,0,1,10,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387444,39,0,1,11,D,415,D,,A,415,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387474,19,0,1,11,D,70,D,,A,70,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387544,12,0,1,12,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387584,49,0,1,12,D,150,D,,A,150,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387584,50,0,1,12,D,600,D,,A,600,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387614,41,0,1,11,D,30,D,,A,30,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387654,26,0,1,11,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,35,0,1,11,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,36,0,1,10,D,249,D,,A,249,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387814,37,0,1,11,D,80,D,,A,80,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387834,39,0,1,11,D,889,D,,A,889,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,51,0,1,11,D,75,D,,A,,H,500,D,2,D,2,D,100,D,380,D,,A,,A,,A,,A,,A,,A,,A
