QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20171,03386774,30,0,1,400,D,12,D,109,D,,A,,A,,A,,A
20171,03386894,20,0,1,420,D,10,D,56,D,,A,,A,,A,,A
20171,03386924,36,0,1,400,D,11,D,20,D,,A,,A,,A,,A
20171,03386924,37,0,1,430,D,12,D,,H,410,D,425,D,405,D,415,D
20171,03386924,37,1,1,410,D,12,D,79,E,,A,,A,,A,,A
20171,03386924,37,2,1,405,D,12,D,443,E,,A,,A,,A,,A
20171,03386924,37,3,1,420,D,12,D,78,E,,A,,A,,A,,A
20171,03387004,52,0,1,400,D,10,D,47,D,,A,,A,,A,,A
20171,03387104,64,0,2,410,D,10,D,35,D,,A,,A,,A,,A
20171,03387114,43,0,1,400,D,12,D,40,D,,A,,A,,A,,A
20171,03387154,37,0,1,420,D,10,D,433,D,,A,,A,,A,,A
20171,03387194,23,0,1,420,D,12,D,55,D,,A,,A,,A,,A
20171,03387224,39,0,1,420,D,11,D,76,D,,A,,A,,A,,A
20171,03387234,35,0,1,410,D,11,D,6,D,,A,,A,,A,,A
20171,03387274,16,0,1,410,D,12,D,21,F,,A,,A,,A,,A
20171,03387314,53,0,1,420,D,12,D,75,D,,A,,A,,A,,A
20171,03387314,54,0,1,420,D,10,D,75,D,,A,,A,,A,,A
20171,03387424,76,0,1,410,D,12,D,70,D,,A,,A,,A,,A
20171,03387424,77,0,1,410,D,11,D,70,D,,A,,A,,A,,A
20171,03387424,78,0,1,420,D,11,D,36,D,,A,,A,,A,,A
20171,03387474,20,0,1,420,D,10,D,80,D,,A,,A,,A,,A
20171,03387584,51,0,1,420,D,12,D,92,D,,A,,A,,A,,A
20171,03387664,39,0,1,430,D,10,D,,H,415,D,425,D,410,D,,A
20171,03387664,39,1,1,420,D,10,D,128,E,,A,,A,,A,,A
20171,03387664,39,2,1,410,D,10,D,32,E,,A,,A,,A,,A
20171,03387664,40,0,2,430,D,10,D,,H,415,D,405,D,410,D,,A
20171,03387664,40,1,2,420,D,10,D,138,E,,A,,A,,A,,A
20171,03387664,40,2,2,410,D,10,D,33,E,,A,,A,,A,,A
20171,03387694,35,0,1,420,D,12,D,90,D,,A,,A,,A,,A
20171,03387814,38,0,1,420,D,12,D,24,D,,A,,A,,A,,A
20171,03388094,68,0,1,420,D,11,D,75,D,,A,,A,,A,,A
20171,03388244,42,0,1,430,D,12,D,,H,415,D,410,D,,A,,A
20171,03388244,42,1,1,420,D,12,D,66,E,,A,,A,,A,,A
20171,03388244,42,2,1,410,D,12,D,23,E,,A,,A,,A,,A
20171,03388244,43,0,1,430,D,11,D,,H,415,D,410,D,,A,,A
20171,03388244,43,1,1,420,D,11,D,52,E,,A,,A,,A,,A
20171,03388244,43,2,1,410,D,11,D,18,E,,A,,A,,A,,A
20171,03388264,35,0,1,410,D,10,D,70,D,,A,,A,,A,,A
20171,03388314,67,0,1,420,D,11,D,75,D,,A,,A,,A,,A
20171,03388604,28,0,1,410,D,12,D,7,D,,A,,A,,A,,A
20171,03388604,29,0,1,420,D,12,D,70,D,,A,,A,,A,,A
20171,03388754,32,0,1,405,D,12,D,275,D,,A,,A,,A,,A
20171,03388754,33,0,1,410,D,11,D,32,D,,A,,A,,A,,A
20171,03388784,22,0,1,420,D,12,D,52,D,,A,,A,,A,,A
20171,03388794,62,0,1,420,D,10,D,960,F,,A,,A,,A,,A
20171,03388834,69,0,1,400,D,12,D,25,D,,A,,A,,A,,A
20171,03388874,33,0,2,410,D,10,D,7,D,,A,,A,,A,,A
20171,03388874,34,0,2,420,D,10,D,75,D,,A,,A,,A,,A
20171,03389044,49,0,1,405,D,10,D,300,D,,A,,A,,A,,A
20171,03389164,21,0,1,420,D,12,D,250,D,,A,,A,,A,,A
20171,03389224,36,0,1,410,D,11,D,8,D,,A,,A,,A,,A
20171,03389224,37,0,1,420,D,11,D,85,D,,A,,A,,A,,A
20171,03389244,39,0,1,420,D,10,D,36,D,,A,,A,,A,,A
20171,03389274,58,0,1,405,D,12,D,503,D,,A,,A,,A,,A
20171,03389354,31,0,1,420,D,11,D,190,D,,A,,A,,A,,A
20171,03389474,50,0,1,405,D,10,D,239,D,,A,,A,,A,,A
20171,03389644,29,0,1,410,D,12,D,80,D,,A,,A,,A,,A
20171,03389724,18,0,1,420,D,11,D,38,D,,A,,A,,A,,A
20171,03389754,59,0,2,420,D,10,D,7,D,,A,,A,,A,,A
20171,03389984,41,0,1,420,D,12,D,100,D,,A,,A,,A,,A
20171,03390104,10,0,1,420,D,11,D,62,D,,A,,A,,A,,A
20171,03390134,63,0,1,420,D,11,D,79,D,,A,,A,,A,,A
20171,03390304,32,0,1,420,D,11,D,165,D,,A,,A,,A,,A
20171,03390374,45,0,1,420,D,11,D,186,D,,A,,A,,A,,A
20171,03390434,18,0,2,405,D,10,D,98,D,,A,,A,,A,,A
20171,03390444,43,0,1,420,D,11,D,120,D,,A,,A,,A,,A
20171,03390454,42,0,2,430,D,10,D,,H,405,D,415,D,,A,,A
20171,03390454,42,1,2,420,D,10,D,476,E,,A,,A,,A,,A
20171,03390504,67,0,1,420,D,12,D,210,D,,A,,A,,A,,A
20171,03390614,71,0,1,420,D,12,D,180,D,,A,,A,,A,,A
20171,03390714,69,0,1,405,D,12,D,780,D,,A,,A,,A,,A
20171,03390754,43,0,1,420,D,11,D,124,D,,A,,A,,A,,A
20171,03390804,71,0,2,420,D,10,D,54,D,,A,,A,,A,,A
20171,03390814,59,0,1,400,D,10,D,20,D,,A,,A,,A,,A
20171,03391064,56,0,1,420,D,12,D,95,D,,A,,A,,A,,A
20171,03391134,31,0,1,420,D,11,D,42,D,,A,,A,,A,,A
20171,03391314,33,0,1,410,D,11,D,20,D,,A,,A,,A,,A
20171,03391314,34,0,1,420,D,11,D,69,D,,A,,A,,A,,A
20171,03391434,34,0,1,420,D,12,D,120,D,,A,,A,,A,,A
20171,03391454,31,0,1,420,D,11,D,28,D,,A,,A,,A,,A
20171,03391484,33,0,1,420,D,10,D,350,D,,A,,A,,A,,A
20171,03391574,28,0,1,420,D,10,D,140,D,,A,,A,,A,,A
20171,03391754,38,0,1,420,D,11,D,200,F,,A,,A,,A,,A
20171,03391964,28,0,1,400,D,12,D,55,D,,A,,A,,A,,A
20171,03391964,29,0,2,410,D,10,D,66,D,,A,,A,,A,,A
20171,03392044,53,0,1,420,D,12,D,149,D,,A,,A,,A,,A
20171,03392124,70,0,1,400,D,11,D,25,D,,A,,A,,A,,A
20171,03392184,38,0,2,420,D,10,D,101,D,,A,,A,,A,,A
20171,03392204,32,0,1,400,D,12,D,20,F,,A,,A,,A,,A
20171,03392234,69,0,1,420,D,11,D,41,D,,A,,A,,A,,A
20171,03392234,70,0,1,400,D,12,D,24,F,,A,,A,,A,,A
20171,03392374,47,0,1,420,D,10,D,101,D,,A,,A,,A,,A
20171,03392384,61,0,1,420,D,11,D,76,D,,A,,A,,A,,A
20171,03392614,41,0,1,400,D,12,D,39,D,,A,,A,,A,,A
20171,03392624,29,0,1,400,D,12,D,40,D,,A,,A,,A,,A
20171,03392624,30,0,1,410,D,12,D,50,D,,A,,A,,A,,A
20171,03392624,31,0,1,420,D,12,D,80,D,,A,,A,,A,,A
20171,03392634,36,0,1,420,D,10,D,65,D,,A,,A,,A,,A
20171,03392634,37,0,2,400,D,10,D,30,D,,A,,A,,A,,A
20171,03392674,30,0,1,405,D,11,D,300,D,,A,,A,,A,,A
20171,03392674,31,0,2,405,D,10,D,300,D,,A,,A,,A,,A
20171,03392804,28,0,1,400,D,12,D,30,D,,A,,A,,A,,A
20171,03392804,29,0,1,420,D,11,D,250,D,,A,,A,,A,,A
20171,03392834,25,0,1,405,D,12,D,325,D,,A,,A,,A,,A
20171,03392834,26,0,1,405,D,11,D,300,D,,A,,A,,A,,A
20171,03392894,80,0,1,400,D,11,D,37,D,,A,,A,,A,,A
20171,03392924,27,0,2,420,D,10,D,175,D,,A,,A,,A,,A
20171,03392954,55,0,1,420,D,11,D,89,D,,A,,A,,A,,A
20171,03392954,56,0,2,420,D,10,D,94,D,,A,,A,,A,,A
20171,03392994,39,0,1,410,D,12,D,35,D,,A,,A,,A,,A
20171,03393004,23,0,2,400,D,10,D,25,D,,A,,A,,A,,A
20171,03393004,24,0,2,420,D,10,D,84,D,,A,,A,,A,,A
20171,03393104,49,0,2,420,D,10,D,150,D,,A,,A,,A,,A
20171,03393254,80,0,1,430,D,12,D,,H,415,D,400,D,,A,,A
20171,03393254,80,1,1,420,D,12,D,222,E,,A,,A,,A,,A
20171,03393254,80,2,1,400,D,12,D,26,E,,A,,A,,A,,A
20171,03393364,18,0,1,420,D,11,D,14,D,,A,,A,,A,,A
20171,03393474,32,0,1,420,D,10,D,398,F,,A,,A,,A,,A
20171,03393504,41,0,1,420,D,11,D,180,D,,A,,A,,A,,A
20171,03393574,21,0,1,420,D,12,D,59,D,,A,,A,,A,,A
20171,03393644,34,0,2,400,D,10,D,30,D,,A,,A,,A,,A
20171,03393644,35,0,2,420,D,10,D,150,D,,A,,A,,A,,A
20171,03393714,43,0,1,400,D,12,D,40,D,,A,,A,,A,,A
20171,03393714,44,0,1,405,D,10,D,122,D,,A,,A,,A,,A
20171,03393734,29,0,1,410,D,10,D,15,D,,A,,A,,A,,A
20171,03393734,30,0,2,410,D,10,D,15,D,,A,,A,,A,,A
20171,03393734,31,0,2,420,D,10,D,60,D,,A,,A,,A,,A
20171,03393744,31,0,2,420,D,10,D,46,D,,A,,A,,A,,A
20171,03393874,50,0,2,420,D,10,D,36,D,,A,,A,,A,,A
20171,03394004,34,0,1,420,D,10,D,47,D,,A,,A,,A,,A
20171,03394114,57,0,1,410,D,11,D,10,D,,A,,A,,A,,A
20171,03394114,58,0,1,420,D,11,D,24,D,,A,,A,,A,,A
20171,03394114,59,0,1,420,D,11,D,5,D,,A,,A,,A,,A
20171,03394304,20,0,1,430,D,12,D,,H,405,D,410,D,415,D,,A
20171,03394304,20,1,1,405,D,12,D,174,E,,A,,A,,A,,A
20171,03394304,20,2,1,410,D,12,D,39,E,,A,,A,,A,,A
20171,03394304,20,3,1,420,D,12,D,68,E,,A,,A,,A,,A
20171,03394384,58,0,1,420,D,10,D,135,D,,A,,A,,A,,A
20171,03394434,15,0,1,420,D,10,D,62,D,,A,,A,,A,,A
20171,03394554,23,0,1,420,D,11,D,86,D,,A,,A,,A,,A
20171,03394604,51,0,1,420,D,12,D,48,D,,A,,A,,A,,A
20171,03394694,57,0,1,420,D,12,D,88,D,,A,,A,,A,,A
20171,03394774,33,0,1,405,D,12,D,170,D,,A,,A,,A,,A
20171,03394824,61,0,1,400,D,11,D,145,D,,A,,A,,A,,A
20171,03394894,71,0,1,420,D,11,D,76,D,,A,,A,,A,,A
20171,03395194,40,0,1,420,D,11,D,202,D,,A,,A,,A,,A
20171,03395194,41,0,1,420,D,11,D,80,D,,A,,A,,A,,A
20171,03395204,36,0,1,430,D,10,D,,H,405,D,415,D,,A,,A
20171,03395204,36,1,1,405,D,10,D,24,E,,A,,A,,A,,A
20171,03395204,36,2,1,420,D,10,D,7,E,,A,,A,,A,,A
20171,03395294,28,0,1,420,D,12,D,52,D,,A,,A,,A,,A
20171,03395304,54,0,1,420,D,11,D,300,D,,A,,A,,A,,A
20171,03395334,36,0,1,400,D,10,D,72,D,,A,,A,,A,,A
20171,03395484,22,0,1,420,D,12,D,110,D,,A,,A,,A,,A
20171,03395664,47,0,1,410,D,12,D,16,D,,A,,A,,A,,A
20171,03395684,38,0,1,400,D,12,D,10,D,,A,,A,,A,,A
20171,03395684,39,0,1,420,D,12,D,25,D,,A,,A,,A,,A
20171,03395934,35,0,1,405,D,12,D,19,D,,A,,A,,A,,A
