QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPFLUDX,VOPF_UDX,VOPPARKX,VOPP_RKX,VOPTOWX,VOPTOWX_,VOPDOCKX,VOPD_CKX,VOPPLCYX,VOPP_CYX,TANKGASX,TANK_ASX,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,VOPCLUBX,VOPC_UBX,VOPTOLLX,VOPT_LLX,VOPOILX,VOPOILX_,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,MISPURCH,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX
20171,03386764,51,0,1,,A,50,D,,A,,A,,A,,A,450,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386774,31,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386804,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386874,16,0,1,,A,,A,,A,,A,,A,,A,390,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386884,37,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386894,21,0,1,,A,,A,,A,,A,,A,,A,360,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386904,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386924,38,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386944,25,0,1,,A,,A,,A,,A,,A,,A,270,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386964,81,0,1,20,D,30,D,,A,,A,,A,,A,900,D,,A,1,D,120,D,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386974,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03386984,9,0,1,,A,,A,,A,,A,,A,,A,105,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387004,53,0,1,20,D,,A,,A,,A,,A,,A,1200,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387034,22,0,1,,A,,A,,A,,A,,A,,A,630,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387054,35,0,1,,A,100,D,,A,,A,,A,,A,1050,D,,A,,A,40,D,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387084,43,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387094,20,0,1,,A,,A,,A,,A,,A,,A,750,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387104,65,0,1,,A,,A,,A,,A,,A,,A,750,D,,A,,A,,A,15,D,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387114,44,0,1,,A,9,D,,A,,A,,A,,A,195,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387134,30,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A,20,D,10,D,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387154,38,0,1,,A,,A,,A,,A,,A,,A,360,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387164,35,0,1,,A,,A,,A,,A,,A,,A,1125,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387194,24,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,90,D,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387224,40,0,1,,A,,A,,A,,A,,A,,A,1350,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387234,36,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387274,17,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A,6,D,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387304,30,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387314,55,0,1,,A,,A,,A,,A,,A,,A,1800,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387344,29,0,1,,A,,A,,A,,A,,A,,A,420,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387354,32,0,1,,A,,A,,A,,A,,A,,A,360,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387384,18,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387404,35,0,1,5,D,,A,,A,,A,,A,,A,375,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387414,35,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387424,79,0,1,,A,39,D,,A,,A,,A,,A,600,D,,A,,A,8,D,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387444,40,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387474,21,0,1,,A,,A,171,D,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
20171,03387514,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,,A,,,A,,,A,A,A,A
