QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20171,03386764,52,0,1,1950,D,260,D,,A,0,D,60,D,,A,,A,1690,D,150,D,,A,,A,,A,,A
20171,03386774,32,0,1,390,D,130,D,,A,130,D,0,D,,A,,A,260,D,0,D,,A,,A,,A,,A
20171,03386804,21,0,1,1625,D,156,D,130,D,260,D,30,D,,A,,A,1469,D,60,D,,A,,A,,A,,A
20171,03386874,17,0,1,1300,D,260,D,,A,650,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20171,03386884,38,0,1,2600,D,520,D,,A,0,D,0,D,,A,,A,2080,D,0,D,,A,,A,,A,,A
20171,03386894,22,0,1,1300,D,260,D,,A,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20171,03386904,14,0,1,845,D,325,D,,A,0,D,6,D,,A,,A,520,D,6,D,,A,,A,,A,,A
20171,03386924,39,0,1,3250,D,1040,D,,A,1950,D,225,D,,A,,A,2210,D,600,D,,A,,A,,A,,A
20171,03386944,26,0,1,520,D,65,D,,A,195,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20171,03386964,82,0,1,2600,D,260,D,,A,650,D,0,D,,A,,A,2340,D,30,D,,A,,A,,A,,A
20171,03386974,17,0,1,325,D,0,D,130,D,130,D,0,D,,A,,A,325,D,30,D,,A,,A,,A,,A
20171,03386984,10,0,1,1300,D,260,D,195,D,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20171,03387004,54,0,1,1820,D,520,D,,A,0,D,0,D,,A,,A,1300,D,30,D,30,D,390,D,,A,,A
20171,03387034,23,0,1,1560,D,260,D,,A,780,D,0,D,,A,,A,1300,D,30,D,,A,,A,,A,,A
20171,03387054,36,0,1,2925,D,650,D,325,D,975,D,45,D,,A,150,D,2275,D,90,D,,A,,A,,A,,A
20171,03387084,44,0,1,1040,D,260,D,,A,650,D,0,D,,A,51,D,780,D,0,D,,A,,A,,A,,A
20171,03387094,21,0,1,1235,D,130,D,,A,0,D,0,D,,A,,A,1105,D,0,D,28,D,364,D,,A,,A
20171,03387104,66,0,1,3250,D,520,D,325,D,650,D,180,D,,A,,A,2730,D,150,D,,A,,A,,A,,A
20171,03387114,45,0,1,1300,D,390,D,,A,1170,D,270,D,,A,,A,910,D,180,D,,A,,A,,A,,A
20171,03387134,31,0,1,2600,D,260,D,,A,1300,D,30,D,,A,50,D,2340,D,60,D,,A,,A,,A,,A
20171,03387154,39,0,1,1560,D,130,D,,A,260,D,0,D,,A,,A,1430,D,0,D,,A,,A,,A,,A
20171,03387164,36,0,1,780,D,130,D,,A,1495,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20171,03387194,25,0,1,1950,D,650,D,,A,0,D,0,D,,A,,A,1300,D,0,D,,A,,A,260,D,20,D
20171,03387224,41,0,1,650,D,130,D,,A,3250,D,60,D,,A,,A,520,D,75,D,,A,,A,,A,,A
20171,03387234,37,0,1,1300,D,0,D,,A,0,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
