QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,TXLIMX,TXLIMX_,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,JTRANWQV,JTRA_WQV,JTRANSQV,JTRA_SQV,JTRANOQV,JTRA_OQV,SALONX,SALONX_,TRANWRKX,TRAN_RKX,JSUBSIDY,JSUB_IDY,WIGSX,WIGSX_,JAMTRAKX,JAMT_AKX,JTRANQV,JTRANQV_,LIMO,LIMO_
20171,03386764,53,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A
20171,03386774,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A,,A
20171,03386804,22,0,1,30,D,,A,,A,50,D,70,D,5,D,36,D,240,D,0,D,0,D,90,D,80,D,,A,,A,,A,,A,,A
20171,03386874,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386884,39,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,160,D,,A,,A,,A,,A,,A,,A
20171,03386894,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386904,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386924,40,0,1,,A,,A,,A,200,D,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A
20171,03386944,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03386964,83,0,1,,A,,A,,A,,A,,A,15,D,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A,,A
20171,03386974,18,0,1,,A,,A,,A,20,D,80,D,,A,,A,30,D,0,D,30,D,,A,10,D,75,F,,A,,A,,A,,A
20171,03386984,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387004,55,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,46,D,,A,,A,,A,,A,,A,,A
20171,03387034,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A,,A
20171,03387054,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,400,D,,A,,A,,A,,A,,A,,A
20171,03387084,45,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,,A,,A,,A,,A
20171,03387094,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387104,67,0,1,,A,,A,45,D,25,D,,A,120,D,,A,,A,,A,,A,105,D,,A,,A,,A,,A,,A,,A
20171,03387114,46,0,1,,A,,A,,A,85,D,,A,,A,36,D,0,D,0,D,15,D,,A,0,D,,A,,A,,A,,A,,A
20171,03387134,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A,,A
20171,03387154,40,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,46,D,,A,,A,,A,,A,,A,,A
20171,03387164,37,0,1,,A,,A,,A,,A,150,D,12,D,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A,,A
20171,03387194,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A
20171,03387224,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A,,A
20171,03387234,38,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387274,19,0,1,,A,,A,,A,,A,,A,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387304,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,,A,,A,,A,,A
20171,03387314,57,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387344,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387354,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,34,D,,A,,A,,A,,A,,A,,A
20171,03387384,20,0,1,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387404,37,0,1,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,210,D,,A,,A,,A,,A,,A,,A
20171,03387414,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387424,81,0,1,,A,,A,,A,,A,,A,50,D,,A,450,D,0,D,0,D,180,D,150,D,200,D,,A,,A,,A,,A
20171,03387444,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387474,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,,A,,A,,A,,A,,A,,A
20171,03387514,15,0,1,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A
20171,03387544,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,,A,,A,,A,,A,,A,,A
20171,03387574,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,500,D,,A,,A,,A,,A,,A,,A
20171,03387584,54,0,1,,A,,A,,A,52,D,,A,,A,24,D,,A,,A,,A,77,D,,A,,A,,A,,A,,A,,A
20171,03387594,43,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387614,44,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387624,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A
20171,03387654,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A,,A
20171,03387664,43,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A,,A
20171,03387684,34,0,1,,A,,A,,A,100,D,20,D,30,D,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A
20171,03387694,38,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387714,15,0,1,,A,,A,,A,,A,90,D,,A,,A,0,D,0,D,15,D,40,D,0,D,,A,,A,,A,,A,,A
20171,03387724,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387734,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387744,27,0,1,65,D,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
