NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03386764,1,2015,2014,0,.15300,.15300,1,.25000,.25000,18,D,.05800,.05800,0,D,0,D,105257,D,0,D,-34800,D,0,D,0,D,0,D,4800,D,0,D,260,D,0,D,0,D,0,D,10933,3753,10933,10833,3753,3751,16104,16104,70457,70457,70457,70457,0,0,0,0,0,0,0,0,70457,70457,0,0,10933,10833,10933,10833,2400,2440,260,260,0,0,0,0,0,0,0
03386774,1,2015,2014,0,.15300,.15300,1,.10000,.10000,36,D,.01980,.02110,0,D,0,D,16000,D,0,D,1,D,0,D,11916,D,0,D,6660,D,0,D,25,D,0,D,0,D,1008,D,585,134,585,570,134,125,2448,2448,16001,16001,16001,16001,0,0,0,0,0,0,0,0,16001,16001,0,0,585,570,585,570,0,0,0,0,0,0,0,0,0,0,0
03386804,1,2015,2014,1,.15300,.15300,3,.25980,.25980,33,D,.09290,.09290,0,D,0,D,25000,D,0,D,0,D,0,D,0,D,0,D,13200,D,0,D,25,D,0,D,0,D,0,D,-1359,-223,-1359,-1489,-223,-263,3825,3825,25000,25000,25000,25000,0,0,0,0,0,0,2159,2264,25000,25000,0,0,800,775,800,775,10950,11100,0,0,0,0,0,0,588,619,0
03386804,2,2015,2014,0,.15300,.15300,1,.15000,.15000,33,D,.06450,.06450,0,D,0,D,40000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4024,1748,4024,3994,1748,1734,6120,6120,40000,40000,40000,40000,0,0,0,0,0,0,0,0,40000,40000,0,0,4024,3994,4024,3994,7800,7900,0,0,0,0,0,0,0,0,0
03386874,1,2015,2014,0,.00000,.00000,1,-.0765,-.0765,12,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,450,D,0,D,0,D,0,D,1400,D,0,D,0,D,0,D,26868,D,0,-85,0,0,-85,-85,0,0,450,450,450,450,0,0,0,0,0,0,0,0,450,450,0,0,0,0,0,0,2200,2200,28305,28305,0,0,0,0,0,0,0
03386884,1,2015,2014,2,.00000,.00000,3,-.4000,-.4000,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,228,D,0,D,0,D,0,D,3000,D,1599,D,0,D,0,D,210,D,0,0,0,0,0,0,0,0,228,228,228,228,0,0,0,0,0,0,0,0,228,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03386894,1,2015,2014,0,.15300,.15300,1,.15000,.15000,10,D,.00000,.00000,0,D,0,D,21515,D,0,D,0,D,0,D,0,D,0,D,20400,D,0,D,0,D,0,D,0,D,0,D,1251,0,1251,1221,0,0,3292,3292,21515,21515,0,0,0,0,0,0,0,0,0,0,21515,21515,0,0,1251,1221,1251,1221,0,0,0,0,0,0,0,0,0,0,0
03386894,2,2015,2014,0,.15300,.15300,1,.25000,.25000,10,D,.00000,.00000,0,D,0,D,57280,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,7639,0,7639,7539,0,0,8764,8764,57280,57280,0,0,0,0,0,0,0,0,0,0,57280,57280,0,0,7639,7539,7639,7539,0,0,0,0,0,0,0,0,0,0,0
03386904,1,2015,2014,0,.00000,.00000,1,-.0765,-.0765,36,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,8760,D,0,D,2880,D,0,D,11,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03386924,1,2015,2014,0,.07640,.07640,2,.28000,.28000,34,D,.05750,.05800,0,D,0,D,131000,D,81000,D,-17646,D,0,D,0,D,0,D,5720,D,0,D,563,D,0,D,0,D,0,D,35982,10403,35982,35703,10403,10313,30700,30886,194354,194354,194354,194354,0,0,0,0,0,0,0,0,194354,194354,0,0,35982,35703,35982,35703,15000,15000,0,0,0,0,0,0,0,0,0
03386944,1,2015,2014,0,.00000,.00000,1,.00000,.00000,28,D,.00000,.00000,1,D,1,D,0,D,0,D,13200,D,0,D,23208,D,0,D,0,D,4500,D,34,D,0,D,0,D,4800,D,0,0,0,0,0,0,0,0,13200,13200,13200,13200,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,9334,9334,0,0,0,0,0,0,0
03386964,1,2015,2014,2,.03710,.03710,2,.26950,.32500,14,D,.03750,.05000,0,D,0,D,15420,D,219468,D,9823,D,0,D,0,D,0,D,0,D,10700,D,115,D,60,D,2,D,43736,D,33786,11276,33786,33475,11276,8319,23232,23418,244711,244711,244711,244711,0,0,0,0,12,12,0,0,200975,200975,888,0,32911,33487,32911,33487,0,0,0,0,535,535,0,0,0,0,0
03386974,1,2015,2014,0,.00000,.00000,1,.25000,.25000,10,D,.00000,.00000,0,D,0,D,0,D,0,D,69304,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,10645,0,10645,10545,0,0,0,0,69304,69304,0,0,0,0,0,0,0,0,0,0,69304,69304,0,0,10645,10545,10645,10545,0,0,0,0,0,0,0,0,0,0,0
03386984,1,2015,2014,0,.00000,.00000,1,-.0765,-.0765,47,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4800,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03386984,3,2015,2014,0,.00000,.00000,1,-.0765,-.0765,47,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,11774,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03387004,1,2015,2014,2,.15300,.15300,3,.31060,.31060,0,T,.00000,.00000,0,D,0,D,30000,D,0,D,0,D,0,D,0,D,0,D,0,D,3600,D,90,D,0,D,2,D,0,D,-3992,0,-3992,-4177,0,0,4590,4590,30000,30000,0,0,905,875,1095,1125,0,0,2897,3052,30000,30000,0,0,905,875,905,875,0,0,0,0,0,0,0,0,0,0,0
03387004,2,2015,2014,0,.00000,.00000,2,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,7908,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
