NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03566504,1,2016,2015,0,.15300,.15300,2,.25000,.25000,05,D,.08000,.08000,0,D,0,D,35000,D,34000,D,39110,D,0,D,0,D,0,D,7776,D,0,D,60,D,0,D,0,D,0,D,13413,4005,13465,13395,4076,3981,10557,10557,108110,108110,108110,108110,0,0,0,0,0,0,0,0,108110,108110,0,0,13465,13395,13465,13395,8088,8258,60,60,0,0,0,0,0,0,0
03566514,1,2016,2015,3,.00000,.00000,3,-.4500,-.4500,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,997,D,0,D,0,D,0,D,920,D,100,D,0,D,0,D,4408,D,0,0,0,0,0,0,0,0,997,997,0,0,0,0,0,0,0,0,0,0,997,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03566534,1,2016,2015,2,.05740,.05740,2,.41040,.41040,31,D,.08970,.08970,0,D,0,D,138000,D,41000,D,893372,D,0,D,0,D,0,D,0,D,18759,D,384,D,0,D,1,D,8464,D,368941,77804,369141,368875,77804,77804,24969,24969,1072372,1072372,1072372,1072372,0,0,0,0,0,0,0,0,1063908,1063908,0,0,337891,337625,337891,337625,0,0,0,0,0,0,0,0,0,0,0
03566544,1,2016,2015,1,.15300,.15300,3,.25000,.25000,0,T,.00000,.00000,0,D,0,D,100000,D,0,D,2400,D,0,D,0,D,0,D,0,D,700,D,44,D,0,D,1,D,3904,D,15563,0,15610,15548,0,0,15300,15300,102400,102400,0,0,0,0,0,0,0,0,0,0,102400,102400,0,0,15610,15548,15610,15548,0,0,0,0,0,0,0,0,0,0,0
03566544,2,2016,2015,2,.15300,.15300,3,.15000,.15000,0,T,.00000,.00000,0,D,0,D,48000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1,D,0,D,2329,0,2355,2320,0,0,7344,7344,48000,48000,0,0,1000,1000,0,0,0,0,0,0,48000,48000,0,0,3355,3320,3355,3320,0,0,0,0,0,0,0,0,0,0,0
03566544,3,2016,2015,2,.00000,.00000,3,-.4000,-.4000,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03566624,1,2016,2015,3,.15300,.15300,2,.36060,.15000,44,D,.00000,.00000,0,D,0,D,28000,D,25480,D,0,D,0,D,0,D,0,D,0,D,250,D,0,D,0,D,1,D,0,D,1173,0,1210,1161,0,0,8182,8182,53480,53480,0,0,1000,1000,0,0,0,0,0,6,53480,53480,0,0,2210,2167,2210,2167,0,0,0,0,0,0,0,0,0,0,0
03566634,1,2016,2015,0,.15300,.15300,2,.14910,.14910,10,D,.00000,.00000,0,D,0,D,37000,D,67000,D,0,D,0,D,0,D,0,D,0,D,5000,D,30,D,0,D,0,D,23472,D,9034,0,9051,9029,0,0,15912,15912,104000,104000,0,0,0,0,0,0,0,0,0,0,80528,80528,0,0,9051,9029,9051,9029,0,0,0,0,0,0,0,0,0,0,0
03566634,2,2016,2015,0,.15300,.15300,1,.15000,.15000,10,D,.00000,.00000,0,D,0,D,35564,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3321,0,3328,3318,0,0,5441,5441,35564,35564,0,0,0,0,0,0,0,0,0,0,35564,35564,0,0,3328,3318,3328,3318,0,0,0,0,0,0,0,0,0,0,0
03566644,1,2016,2015,0,.15300,.15300,1,.15000,.15000,18,D,.05800,.05800,0,D,0,D,29000,D,0,D,0,D,0,D,0,D,0,D,0,D,600,D,0,D,0,D,0,D,4124,D,2336,1214,2344,2334,1214,1214,4437,4437,29000,29000,29000,29000,0,0,0,0,0,0,0,0,29000,29000,0,0,2344,2334,2344,2334,2440,2460,4724,4724,0,0,0,0,0,0,0
