,true_mean,oracle_mean,naive_mean,pi_naive_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
1,0,21.51319579,26.15862449,26.05895432,26.07807773,25.8158087,25.67295632,0,0
2,0,21.40702639,26.1520125,26.06561862,25.97153995,25.65870507,25.86083385,0,0
3,0,21.6020949,26.21650686,26.14181403,26.17723139,26.20932933,26.21429386,0,0
4,0,21.49331052,26.18863108,26.09516095,26.0789084,24.21913512,26.06206249,0,0
5,0,21.50978211,26.19836936,26.10430228,26.10233141,26.1418179,25.825615,0,0
6,0,21.54242697,26.10396004,26.01391088,26.15390603,26.1077025,24.09093182,0,0
7,0,21.54774493,26.16537255,26.08820055,26.10006573,22.30623775,26.06314686,0,0
8,0,21.54833057,26.11168678,26.03367508,26.08125674,21.48117334,26.11423154,0,0
9,0,21.62387868,26.24425693,26.15459192,26.19005917,26.25309523,26.2134333,0,0
10,0,21.63413113,26.22653734,26.13965296,26.19114445,26.14972059,26.22397573,0,0
11,0,21.5848991,26.1179438,26.0202577,26.19531284,26.19545979,26.21434499,0,0
12,0,21.5491434,26.14932396,26.05998926,26.1281429,21.53150154,26.15902843,0,0
13,0,21.53126776,26.19036876,26.09881511,26.13930122,21.51448295,21.57196178,0,0
14,0,21.49595247,26.17864787,26.09826413,26.12664204,22.3619672,25.66305949,0,0
15,0,21.59083639,26.2336828,26.15445753,26.18637346,26.12000515,26.16171106,0,0
16,0,21.48727721,26.16658735,26.05971829,26.1024712,21.52805686,23.36120584,0,0
17,0,21.74597586,26.19651405,26.10546148,26.37678152,26.33331411,25.28867063,0,0
18,0,21.57927054,26.1496336,26.06092966,26.17786199,26.05114747,26.09797183,0,0
19,0,21.55204676,26.16032496,26.07427535,26.13395309,26.14517738,21.59299062,0,0
20,0,21.58283002,26.19492634,26.09608168,26.18320912,26.18495147,26.19856378,0,0
21,0,21.54751298,26.17858258,26.09815772,26.13884061,21.29964825,24.89712212,0,0
22,0,21.57534327,26.14036216,26.04982167,26.20346799,24.96626727,26.18733103,0,0
23,0,21.50228418,26.16104903,26.0703949,26.07492393,25.9755342,25.95098821,0,0
24,0,21.56254015,26.15492681,26.07687022,26.11654119,26.11787986,23.60236005,0,0
25,0,21.54605057,26.16208813,26.07671484,26.18078139,21.58718314,25.0412785,0,0
26,0,21.4997079,26.17322421,26.09363158,26.08503368,25.87133629,21.12703236,0,0
27,0,21.55943841,26.18838706,26.11657532,26.18979739,21.84169265,25.33315543,0,0
28,0,21.58979924,26.18453528,26.10756599,26.15175129,26.0896776,26.08817638,0,0
